DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	0.81199	0.81314	0.80844	0.80909	27568	0	44
2015.01.05	0.81123	0.82042	0.80834	0.81326	47724	0	44
2015.01.06	0.81339	0.82218	0.81339	0.81589	49832	0	44
2015.01.07	0.81863	0.82009	0.81490	0.81884	112112	0	44
2015.01.08	0.81886	0.82775	0.81848	0.82657	150202	0	44
2015.01.09	0.82674	0.83383	0.82450	0.83066	178314	0	44
2015.01.12	0.83206	0.83577	0.82572	0.82738	158874	0	44
2015.01.13	0.82734	0.83302	0.82497	0.83276	179820	0	44
2015.01.14	0.83256	0.83454	0.82138	0.82962	227859	0	44
2015.01.15	0.82969	0.84059	0.60300	0.68805	258905	0	44
2015.01.16	0.69066	0.72495	0.68826	0.70576	214545	0	58
2015.01.19	0.70736	0.72246	0.70161	0.72134	161585	0	7
2015.01.20	0.72194	0.72263	0.71122	0.71468	108069	0	7
2015.01.21	0.71516	0.71921	0.69356	0.69445	138579	0	13
2015.01.22	0.69484	0.70707	0.69115	0.69825	115873	0	7
2015.01.23	0.69869	0.69994	0.68941	0.69056	107211	0	32
2015.01.26	0.69321	0.71589	0.69142	0.71489	98109	0	44
2015.01.27	0.71519	0.72899	0.70953	0.71606	131243	1323250000	3
2015.01.28	0.71616	0.72643	0.71093	0.71324	133827	0	38
2015.01.29	0.71356	0.71957	0.71141	0.71630	103308	11000000	25
2015.01.30	0.71651	0.72165	0.71151	0.71298	114939	0	44
2015.02.02	0.71854	0.72825	0.71465	0.72380	127734	0	52
2015.02.03	0.72362	0.72624	0.70581	0.71917	149731	0	50
2015.02.04	0.71941	0.72601	0.71387	0.71735	148962	0	31
2015.02.05	0.71736	0.72733	0.71480	0.71810	169416	0	48
2015.02.06	0.71784	0.72612	0.71688	0.72151	147107	0	54
2015.02.09	0.71889	0.72410	0.71582	0.72014	142385	0	45
2015.02.10	0.72001	0.72367	0.71609	0.71948	164917	0	45
2015.02.11	0.71916	0.72135	0.71332	0.71613	146029	0	51
2015.02.12	0.71629	0.72202	0.70885	0.71973	185201	0	46
2015.02.13	0.71966	0.72534	0.71614	0.72139	151023	0	68
2015.02.16	0.72436	0.72509	0.72147	0.72377	174087	0	80
2015.02.17	0.72381	0.73275	0.72145	0.73201	184325	0	50
2015.02.18	0.73216	0.73753	0.72824	0.73564	166443	0	51
2015.02.19	0.73544	0.74002	0.72912	0.73942	144071	0	38
2015.02.20	0.73941	0.74712	0.73388	0.73480	168053	0	21
2015.02.23	0.73791	0.74219	0.73540	0.74070	126825	0	38
2015.02.24	0.74056	0.74469	0.73424	0.74425	128467	0	31
2015.02.25	0.74409	0.74980	0.74240	0.74767	117403	0	42
2015.02.26	0.74751	0.74950	0.74148	0.74272	138820	0	34
2015.02.27	0.74261	0.74553	0.73903	0.74415	139298	0	50
2015.03.02	0.74464	0.74568	0.74019	0.74416	117844	0	27
2015.03.03	0.74386	0.75245	0.74165	0.75118	154845	0	32
2015.03.04	0.75101	0.75567	0.74824	0.75268	179358	0	30
2015.03.05	0.75269	0.75793	0.75178	0.75738	160015	0	46
