DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	08:00:00	0.81199	0.81314	0.81071	0.81160	7352	0	44
2015.01.02	12:00:00	0.81159	0.81239	0.80914	0.80993	7022	0	44
2015.01.02	16:00:00	0.80994	0.81264	0.80974	0.81170	8894	0	44
2015.01.02	20:00:00	0.81168	0.81203	0.80844	0.80909	4300	0	44
2015.01.05	00:00:00	0.81123	0.82042	0.81080	0.81207	10228	0	68
2015.01.05	04:00:00	0.81206	0.81294	0.80927	0.81040	5965	0	44
2015.01.05	08:00:00	0.81039	0.81285	0.80834	0.81259	9083	0	44
2015.01.05	12:00:00	0.81260	0.81498	0.81215	0.81433	9580	0	44
2015.01.05	16:00:00	0.81434	0.81624	0.81374	0.81520	8610	0	44
2015.01.05	20:00:00	0.81518	0.81549	0.81325	0.81326	4258	0	44
2015.01.06	00:00:00	0.81339	0.81701	0.81339	0.81634	5701	0	68
2015.01.06	04:00:00	0.81637	0.81893	0.81627	0.81814	6019	0	44
2015.01.06	08:00:00	0.81812	0.82063	0.81671	0.82010	9724	0	44
2015.01.06	12:00:00	0.82013	0.82218	0.81941	0.81945	9081	0	44
2015.01.06	16:00:00	0.81939	0.81976	0.81504	0.81654	12583	0	44
2015.01.06	20:00:00	0.81655	0.81819	0.81589	0.81589	6724	0	44
2015.01.07	00:00:00	0.81863	0.81939	0.81493	0.81614	70054	0	68
2015.01.07	04:00:00	0.81615	0.81696	0.81546	0.81591	4830	0	44
2015.01.07	08:00:00	0.81593	0.81765	0.81490	0.81658	9334	0	44
2015.01.07	12:00:00	0.81655	0.82009	0.81523	0.81754	10485	0	44
2015.01.07	16:00:00	0.81755	0.81840	0.81657	0.81723	9386	0	44
2015.01.07	20:00:00	0.81724	0.81956	0.81641	0.81884	8023	0	44
2015.01.08	00:00:00	0.81886	0.82752	0.81848	0.82162	114695	0	68
2015.01.08	04:00:00	0.82163	0.82425	0.82111	0.82425	4927	0	44
2015.01.08	08:00:00	0.82420	0.82700	0.82249	0.82655	8482	0	44
2015.01.08	12:00:00	0.82656	0.82774	0.82550	0.82593	8535	0	44
2015.01.08	16:00:00	0.82594	0.82775	0.82484	0.82596	9193	0	44
2015.01.08	20:00:00	0.82595	0.82701	0.82572	0.82657	4370	0	44
2015.01.09	00:00:00	0.82674	0.83357	0.82450	0.82713	137718	0	68
2015.01.09	04:00:00	0.82712	0.82838	0.82702	0.82765	5039	0	44
2015.01.09	08:00:00	0.82762	0.82820	0.82476	0.82524	8220	0	44
2015.01.09	12:00:00	0.82523	0.83151	0.82511	0.83045	10066	0	44
2015.01.09	16:00:00	0.83046	0.83383	0.83000	0.83124	12773	0	44
2015.01.09	20:00:00	0.83125	0.83214	0.83066	0.83066	4498	0	44
2015.01.12	00:00:00	0.83206	0.83564	0.82572	0.83314	121323	0	68
2015.01.12	04:00:00	0.83313	0.83577	0.83285	0.83538	4919	0	44
2015.01.12	08:00:00	0.83539	0.83547	0.82958	0.82964	9705	0	44
2015.01.12	12:00:00	0.82961	0.83195	0.82690	0.82770	9345	0	44
2015.01.12	16:00:00	0.82773	0.82900	0.82600	0.82784	9295	0	44
2015.01.12	20:00:00	0.82785	0.82830	0.82712	0.82738	4287	0	44
2015.01.13	00:00:00	0.82734	0.83289	0.82497	0.82801	138302	0	68
2015.01.13	04:00:00	0.82802	0.83011	0.82775	0.82786	6800	0	44
2015.01.13	08:00:00	0.82793	0.83015	0.82732	0.82764	9728	0	44
2015.01.13	12:00:00	0.82765	0.83153	0.82735	0.83095	8989	0	44
2015.01.13	16:00:00	0.83094	0.83225	0.82955	0.83164	9390	0	44
2015.01.13	20:00:00	0.83163	0.83302	0.83129	0.83276	6611	0	44
2015.01.14	00:00:00	0.83256	0.83454	0.82138	0.83086	176459	0	68
2015.01.14	04:00:00	0.83085	0.83085	0.82301	0.82404	8943	0	44
2015.01.14	08:00:00	0.82407	0.83233	0.82162	0.83183	12795	0	44
2015.01.14	12:00:00	0.83184	0.83215	0.82822	0.82898	11778	0	44
2015.01.14	16:00:00	0.82897	0.83118	0.82825	0.83078	11786	0	44
2015.01.14	20:00:00	0.83075	0.83092	0.82933	0.82962	6098	0	44
2015.01.15	00:00:00	0.82969	0.84034	0.68622	0.83480	177196	0	68
2015.01.15	04:00:00	0.83481	0.83795	0.83384	0.83787	5875	0	44
2015.01.15	08:00:00	0.83786	0.84059	0.60300	0.71362	9735	0	44
2015.01.15	12:00:00	0.71374	0.73900	0.69484	0.72088	25364	0	44
2015.01.15	16:00:00	0.72090	0.75082	0.71627	0.73141	23629	0	44
2015.01.15	20:00:00	0.73157	0.73232	0.68524	0.68805	17106	0	55
2015.01.16	00:00:00	0.69066	0.72495	0.68826	0.70408	145608	0	84
2015.01.16	04:00:00	0.70416	0.72117	0.70201	0.72091	11631	0	68
2015.01.16	08:00:00	0.72108	0.72471	0.70843	0.71636	16176	0	58
2015.01.16	12:00:00	0.71631	0.72209	0.71219	0.71510	15549	0	131
2015.01.16	16:00:00	0.71511	0.71561	0.69284	0.70496	17409	0	118
2015.01.16	20:00:00	0.70504	0.71006	0.70247	0.70576	8172	0	95
2015.01.19	00:00:00	0.70736	0.72241	0.70161	0.70687	121215	0	35
2015.01.19	04:00:00	0.70688	0.71348	0.70684	0.70998	14470	0	34
2015.01.19	08:00:00	0.71015	0.71453	0.70240	0.71073	14760	0	35
2015.01.19	12:00:00	0.71063	0.71791	0.70893	0.71525	4304	0	7
2015.01.19	16:00:00	0.71538	0.72099	0.71383	0.72067	3936	0	10
2015.01.19	20:00:00	0.72069	0.72246	0.71980	0.72134	2900	0	14
2015.01.20	00:00:00	0.72194	0.72255	0.71122	0.72038	83526	0	45
2015.01.20	04:00:00	0.72077	0.72134	0.71719	0.71789	3785	0	41
2015.01.20	08:00:00	0.71786	0.72263	0.71595	0.71736	4803	0	28
2015.01.20	12:00:00	0.71748	0.71872	0.71143	0.71207	5094	0	15
2015.01.20	16:00:00	0.71218	0.71748	0.71139	0.71568	7528	0	7
2015.01.20	20:00:00	0.71564	0.71833	0.71422	0.71468	3333	0	10
2015.01.21	00:00:00	0.71516	0.71921	0.69356	0.71428	104612	0	40
2015.01.21	04:00:00	0.71423	0.71711	0.71408	0.71620	3191	0	37
2015.01.21	08:00:00	0.71616	0.71921	0.70711	0.70715	6265	0	13
2015.01.21	12:00:00	0.70710	0.71141	0.70503	0.70533	7436	0	30
