DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	0.81123	0.83383	0.80834	0.83066	538184	0	44
2015.01.11	0.83206	0.84059	0.60300	0.70576	1040003	0	44
2015.01.18	0.70736	0.72263	0.68941	0.69056	631317	0	7
2015.01.25	0.69321	0.72899	0.69142	0.71298	581426	1334250000	3
2015.02.01	0.71854	0.72825	0.70581	0.72151	742950	0	31
2015.02.08	0.71889	0.72534	0.70885	0.72139	789555	0	45
2015.02.15	0.72436	0.74712	0.72145	0.73480	836979	0	21
2015.02.22	0.73791	0.74980	0.73424	0.74415	650813	0	31
2015.03.01	0.74464	0.76673	0.74019	0.76019	807803	0	27
2015.03.08	0.76034	0.77398	0.75513	0.76727	981311	0	3
2015.03.15	0.76708	0.77155	0.75263	0.75756	563304	0	1
2015.03.22	0.75840	0.76515	0.74082	0.74476	534102	0	14
2015.03.29	0.74364	0.74446	0.72274	0.72412	728971	0	10
2015.04.05	0.72674	0.75406	0.72383	0.75133	779978	0	15
2015.04.12	0.75198	0.75340	0.73701	0.73992	1140112	0	7
2015.04.19	0.74407	0.75409	0.73481	0.74505	1042552	0	7
2015.04.26	0.74647	0.76728	0.72811	0.73129	1223394	0	6
2015.05.03	0.73124	0.74088	0.72080	0.73901	980616	0	1
2015.05.10	0.73865	0.74817	0.73251	0.73571	1115481	0	1
2015.05.17	0.73546	0.74572	0.73256	0.73830	1164979	0	5
2015.05.24	0.73781	0.74216	0.71496	0.71819	1239890	0	14
2015.05.31	0.71836	0.73103	0.71412	0.71494	1434127	0	1
2015.06.07	0.71776	0.72613	0.70765	0.71691	1479903	0	7
2015.06.14	0.72084	0.72896	0.70862	0.71328	1171959	0	7
2015.06.21	0.71142	0.72864	0.70966	0.71389	1176923	0	7
2015.06.28	0.71527	0.72611	0.70582	0.70650	1356990	0	3
2015.07.05	0.70504	0.71133	0.69458	0.69719	1483332	0	15
2015.07.12	0.69802	0.71107	0.69578	0.70923	1310694	0	15
2015.07.19	0.70947	0.71292	0.69704	0.70056	1168545	167881187000	5
2015.07.26	0.69920	0.70980	0.69396	0.70406	1068339	486842645000	8
2015.08.02	0.70727	0.72984	0.70227	0.72946	1076836	483055323000	7
2015.08.09	0.72750	0.73071	0.71152	0.71937	1140613	513186063000	4
2015.08.16	0.72000	0.72264	0.69102	0.69106	1016457	474424809000	25
2015.08.23	0.69010	0.69592	0.65351	0.68934	1674800	661363920000	15
2015.08.30	0.68858	0.68996	0.67007	0.67093	1199486	576174229000	15
2015.09.06	0.67298	0.69326	0.67107	0.68701	1084644	581681148000	11
2015.09.13	0.68599	0.69999	0.68308	0.69354	755578	518439992000	11
2015.09.20	0.69559	0.69734	0.67488	0.68702	705779	533757060000	14
2015.09.27	0.68704	0.69263	0.67236	0.68466	578384	558859530000	16
2015.10.04	0.68516	0.70616	0.68359	0.70477	698180	542211824000	13
2015.10.11	0.70309	0.70951	0.68898	0.69196	676937	510024938000	0
2015.10.18	0.69116	0.71187	0.68689	0.70586	637958	462711900000	0
2015.10.25	0.70610	0.71380	0.69892	0.70412	666099	454309196000	0
2015.11.01	0.70089	0.71646	0.70087	0.70746	673786	499825987000	0
2015.11.08	0.70601	0.71937	0.70445	0.71616	675350	549934890000	0
2015.11.15	0.71716	0.73812	0.71280	0.73638	675557	550196283000	0
2015.11.22	0.73699	0.74347	0.72985	0.73996	676544	541068137000	0
2015.11.29	0.74049	0.75475	0.72486	0.73068	804807	626522476000	0
2015.12.06	0.73159	0.73303	0.70427	0.70545	752682	593518042000	0
2015.12.13	0.70847	0.71947	0.70425	0.71016	796176	653285597000	0
2015.12.20	0.71183	0.71989	0.70912	0.71736	378467	306908843000	0
2015.12.27	0.71885	0.73110	0.71532	0.72887	436799	271744477000	0
2016.01.03	0.72896	0.73006	0.69088	0.69125	864773	702619786000	0
2016.01.10	0.69340	0.70976	0.68023	0.68651	965948	771996356000	22
2016.01.17	0.68464	0.71462	0.68226	0.71046	1040229	897693089000	0
2016.01.24	0.71084	0.72796	0.70008	0.72408	1071061	950995334000	0
2016.01.31	0.72342	0.72646	0.69880	0.69944	1044021	889218688000	0
2016.02.07	0.70127	0.70785	0.67488	0.69243	1291835	1064884994000	0
2016.02.14	0.69412	0.71302	0.69334	0.70700	986253	822069228000	0
2016.02.21	0.70780	0.72382	0.70622	0.70968	973674	803151316000	0
2016.02.28	0.71001	0.73974	0.70775	0.73793	1063327	974960747000	0
2016.03.06	0.73476	0.75540	0.72936	0.74236	1014116	938174447000	0
2016.03.13	0.74171	0.74688	0.73297	0.73630	924193	891461842000	0
2016.03.20	0.73585	0.74407	0.72978	0.73165	716787	709174840000	0
2016.03.27	0.73399	0.74166	0.72941	0.73472	831884	776450031000	0
2016.04.03	0.73413	0.73601	0.71507	0.71971	905587	856616586000	0
2016.04.10	0.71827	0.74823	0.71661	0.74723	851032	793792968000	0
2016.04.17	0.73842	0.75961	0.73709	0.75240	869998	798879233000	0
2016.04.24	0.75329	0.75542	0.72788	0.72905	816285	779108443000	0
2016.05.01	0.72752	0.73636	0.70958	0.71561	795162	738772441000	0
2016.05.08	0.71501	0.72044	0.70619	0.70629	676752	673389475000	0
2016.05.15	0.70689	0.71987	0.70641	0.71447	804302	652348438000	0
2016.05.22	0.71534	0.71808	0.70836	0.71442	788927	635570594000	0
2016.05.29	0.71332	0.72546	0.71056	0.71822	813460	629561266000	0
2016.06.05	0.71945	0.72205	0.70972	0.71064	739807	602593868000	25
2016.06.12	0.71086	0.71592	0.70285	0.70689	903065	698670897000	0
2016.06.19	0.71402	0.73646	0.70968	0.72485	957303	681967071000	0
2016.06.26	0.72281	0.73162	0.71565	0.72916	999514	743983816000	0
2016.07.03	0.72476	0.74444	0.72338	0.74095	909052	712452748000	0
2016.07.10	0.74252	0.75503	0.73908	0.74206	978614	761794935000	0
2016.07.17	0.74546	0.74828	0.73417	0.73626	765998	690719639000	0
2016.07.24	0.73662	0.75021	0.73063	0.73641	873816	701687075000	25
2016.07.31	0.73665	0.74889	0.72413	0.74656	805769	636293978000	0
2016.08.07	0.74681	0.75687	0.74389	0.74521	692561	534639261000	0
2016.08.14	0.74505	0.74861	0.72729	0.73201	829345	639931109000	0
2016.08.21	0.73058	0.74329	0.72855	0.73835	863991	672404666000	0
2016.08.28	0.73947	0.74372	0.73577	0.73988	914291	650962352000	0
2016.09.04	0.74166	0.74989	0.73300	0.73300	910393	671300894000	0
