DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	98.034	98.082	97.332	97.455	57630	0	1300
2015.01.05	97.245	97.531	96.539	96.667	109312	0	1300
2015.01.06	96.662	97.205	95.658	95.659	125722	0	1300
2015.01.07	95.659	96.353	95.630	96.301	118100	0	1300
2015.01.08	96.302	97.254	96.242	97.168	99177	0	1300
2015.01.09	97.169	97.649	96.831	97.133	109723	0	1300
2015.01.12	97.138	97.590	96.376	96.502	106310	0	1300
2015.01.13	96.508	96.984	95.798	96.236	120966	0	1300
2015.01.14	96.238	96.328	94.250	95.606	136052	0	1300
2015.01.15	95.607	96.945	95.166	95.397	146407	0	1400
2015.01.16	95.393	96.896	94.949	96.647	135889	0	1400
2015.01.19	96.564	96.858	95.923	96.484	66160	0	7
2015.01.20	96.514	97.383	96.339	97.052	71515	0	9
2015.01.21	97.050	97.059	95.210	95.352	81741	0	14
2015.01.22	95.359	95.814	94.820	95.067	80172	0	7
2015.01.23	95.059	95.332	93.045	93.111	79655	0	14
2015.01.26	92.629	93.960	92.158	93.850	65601	0	14
2015.01.27	93.854	94.083	93.181	93.524	84101	0	2
2015.01.28	93.522	94.616	92.629	92.692	94115	0	2
2015.01.29	92.675	93.278	91.378	91.770	80591	18000000	12
2015.01.30	91.774	92.209	90.856	91.121	76241	0	14
2015.02.02	90.686	92.031	90.686	91.731	85752	0	2
2015.02.03	91.691	92.026	89.365	91.596	104954	0	2
2015.02.04	91.590	92.366	90.718	90.895	96606	0	2
2015.02.05	90.893	91.930	90.741	91.627	102449	0	7
2015.02.06	91.625	93.104	91.579	92.700	99999	0	7
2015.02.09	92.359	92.978	92.112	92.523	85963	0	7
2015.02.10	92.490	92.964	92.247	92.773	100380	0	7
2015.02.11	92.771	93.097	92.464	92.954	84740	0	7
2015.02.12	92.942	93.060	91.336	92.110	109584	0	7
2015.02.13	92.111	92.381	91.847	92.046	89201	0	7
2015.02.16	92.098	92.392	91.748	92.063	76770	0	7
2015.02.17	92.060	93.367	91.586	93.204	94237	0	7
2015.02.18	93.207	93.302	92.660	92.766	90737	0	7
2015.02.19	92.762	92.977	92.177	92.665	87433	0	7
2015.02.20	92.662	93.449	92.430	93.287	86233	0	2
2015.02.23	93.428	93.456	92.621	92.689	72230	0	7
