DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.04751	1.05326	1.04736	1.04889	89803	0	52
2015.01.05	1.04915	1.05676	1.04888	1.05085	142276	0	52
2015.01.06	1.05105	1.05393	1.03852	1.04039	170454	0	52
2015.01.07	1.04100	1.04307	1.03469	1.03711	158868	0	52
2015.01.08	1.03703	1.04229	1.03641	1.03709	135683	0	52
2015.01.09	1.03725	1.04871	1.03685	1.04441	158153	0	52
2015.01.12	1.04563	1.05155	1.04424	1.04666	148470	0	52
2015.01.13	1.04703	1.05667	1.04703	1.05401	158298	0	52
2015.01.14	1.05455	1.05649	1.04550	1.05501	199899	0	52
2015.01.15	1.05547	1.06348	1.04636	1.04835	238969	0	52
2015.01.16	1.04909	1.05796	1.04685	1.05340	154385	0	52
2015.01.19	1.05511	1.05789	1.05131	1.05444	115079	0	9
2015.01.20	1.05445	1.07096	1.05286	1.06891	141853	0	23
2015.01.21	1.06890	1.07283	1.06598	1.06963	203491	0	26
2015.01.22	1.06965	1.07547	1.06775	1.06892	215350	0	28
2015.01.23	1.06883	1.06995	1.05745	1.05962	201790	0	37
2015.01.26	1.05893	1.07057	1.05772	1.06665	155798	0	39
2015.01.27	1.06638	1.06910	1.06203	1.06447	152948	959500000	3
2015.01.28	1.06420	1.07938	1.06156	1.07756	180410	0	1
2015.01.29	1.07716	1.07935	1.06580	1.06738	160296	28000000	28
2015.01.30	1.06750	1.07371	1.06557	1.06846	135883	0	36
2015.02.02	1.06845	1.07381	1.06690	1.06756	140697	0	1
2015.02.03	1.06738	1.07106	1.05343	1.05821	234978	0	1
2015.02.04	1.05805	1.06290	1.05061	1.05175	240116	0	1
2015.02.05	1.05128	1.05849	1.04997	1.05393	225747	0	11
2015.02.06	1.05348	1.06126	1.04889	1.05830	175276	0	9
2015.02.09	1.05438	1.05749	1.04982	1.05220	120194	0	9
2015.02.10	1.05185	1.05423	1.04770	1.04914	159026	0	9
2015.02.11	1.04878	1.05024	1.04263	1.04657	136130	0	9
2015.02.12	1.04705	1.04813	1.03799	1.04133	176352	0	10
2015.02.13	1.04103	1.04524	1.03354	1.03873	128193	0	9
2015.02.16	1.03855	1.03907	1.03248	1.03575	133386	0	9
2015.02.17	1.03543	1.03935	1.03342	1.03643	161623	0	9
2015.02.18	1.03628	1.03859	1.03247	1.03460	155245	0	9
2015.02.19	1.03498	1.03656	1.02942	1.03586	150616	0	9
2015.02.20	1.03555	1.04284	1.03498	1.04169	168497	0	9
2015.02.23	1.04173	1.04291	1.03442	1.03659	138529	0	9
2015.02.24	1.03606	1.04742	1.03458	1.04502	162987	0	9
2015.02.25	1.04470	1.04752	1.04223	1.04328	153505	0	9
2015.02.26	1.04293	1.04356	1.03329	1.03464	145403	0	9
2015.02.27	1.03450	1.03677	1.03102	1.03204	123305	0	9
2015.03.02	1.03248	1.03487	1.03064	1.03377	109694	0	9
2015.03.03	1.03328	1.04163	1.03173	1.03494	130762	0	9
2015.03.04	1.03468	1.03601	1.02764	1.02916	125335	0	9
2015.03.05	1.02923	1.04150	1.02767	1.03936	136237	0	9
2015.03.06	1.03913	1.05002	1.03821	1.04736	149411	0	9
2015.03.09	1.04595	1.04992	1.04473	1.04739	112707	0	9
2015.03.10	1.04673	1.05201	1.04516	1.04810	181814	0	9
2015.03.11	1.04745	1.05295	1.03978	1.04243	187153	0	12
2015.03.12	1.04030	1.04374	1.03486	1.04221	191949	0	9
2015.03.13	1.04253	1.04528	1.03916	1.04071	155958	0	9
2015.03.16	1.03996	1.04134	1.03434	1.03609	90232	0	8
2015.03.17	1.03592	1.04286	1.03199	1.04119	93901	0	2
2015.03.18	1.04138	1.04397	1.03448	1.03584	109346	0	1
2015.03.19	1.03758	1.03950	1.03029	1.03107	124464	0	8
2015.03.20	1.03116	1.03308	1.02514	1.02640	104476	0	22
2015.03.23	1.02601	1.03062	1.02134	1.02856	114159	0	9
2015.03.24	1.02891	1.03323	1.02555	1.02992	122419	0	52
2015.03.25	1.02859	1.03289	1.02600	1.03094	94958	0	31
2015.03.26	1.03067	1.03399	1.02716	1.03024	108871	0	19
2015.03.27	1.02936	1.03232	1.02222	1.02309	106880	0	20
2015.03.30	1.02313	1.02621	1.01497	1.02002	140082	0	19
2015.03.31	1.01945	1.02155	1.01530	1.01714	141931	0	52
2015.04.01	1.01708	1.02575	1.01688	1.01915	149393	0	31
2015.04.02	1.01898	1.02229	1.00909	1.01048	134136	0	19
2015.04.03	1.01020	1.01510	1.00224	1.00224	80152	0	30
2015.04.06	1.00515	1.00821	1.00137	1.00614	67017	0	14
2015.04.07	1.00600	1.02178	1.00539	1.01814	151371	0	6
2015.04.08	1.01778	1.02039	1.01407	1.01689	151403	0	7
2015.04.09	1.01688	1.02079	1.01528	1.01623	139987	0	6
2015.04.10	1.01580	1.02038	1.01474	1.01832	127850	0	8
2015.04.13	1.01880	1.02010	1.01429	1.01777	145086	0	7
2015.04.14	1.01731	1.01985	1.01126	1.01330	155383	0	8
2015.04.15	1.01309	1.01456	1.00709	1.01093	165258	0	6
2015.04.16	1.01061	1.02203	1.00974	1.01620	202900	0	22
2015.04.17	1.01648	1.01784	1.01014	1.01250	160713	0	7
2015.04.20	1.01515	1.01583	1.00646	1.00768	138103	0	7
2015.04.21	1.00750	1.00855	1.00311	1.00557	168237	0	9
2015.04.22	1.00443	1.01350	1.00350	1.01056	203616	0	10
2015.04.23	1.01067	1.02630	1.01056	1.02395	248362	0	9
2015.04.24	1.02340	1.03092	1.02284	1.02871	209500	0	9
2015.04.27	1.02938	1.03037	1.02424	1.02742	167964	0	9
2015.04.28	1.02710	1.03936	1.02549	1.03900	213402	0	9
2015.04.29	1.03940	1.04408	1.03408	1.04149	274005	0	9
2015.04.30	1.04140	1.05188	1.03311	1.03803	288880	0	9
2015.05.01	1.03701	1.04114	1.03596	1.04004	187989	0	9
