DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	1.04751	1.05278	1.04736	1.05018	42093	0	240
2015.01.02	08:00:00	1.04914	1.05085	1.04807	1.05056	11797	0	52
2015.01.02	12:00:00	1.05057	1.05234	1.04901	1.05142	13966	0	52
2015.01.02	16:00:00	1.05138	1.05326	1.05044	1.05320	14896	0	52
2015.01.02	20:00:00	1.05318	1.05322	1.04841	1.04889	7051	0	52
2015.01.05	00:00:00	1.04915	1.05651	1.04888	1.05385	77328	0	97
2015.01.05	04:00:00	1.05386	1.05676	1.05323	1.05375	10309	0	52
2015.01.05	08:00:00	1.05376	1.05566	1.05313	1.05373	16001	0	52
2015.01.05	12:00:00	1.05372	1.05394	1.05069	1.05106	16682	0	52
2015.01.05	16:00:00	1.05107	1.05149	1.04976	1.05090	15296	0	52
2015.01.05	20:00:00	1.05090	1.05213	1.04959	1.05085	6660	0	52
2015.01.06	00:00:00	1.05105	1.05393	1.03852	1.05256	89342	0	97
2015.01.06	04:00:00	1.05254	1.05293	1.05126	1.05205	11694	0	52
2015.01.06	08:00:00	1.05205	1.05287	1.04968	1.05049	17741	0	52
2015.01.06	12:00:00	1.05049	1.05154	1.04806	1.04853	16387	0	52
2015.01.06	16:00:00	1.04854	1.04889	1.03889	1.04008	22847	0	52
2015.01.06	20:00:00	1.04009	1.04242	1.03969	1.04039	12443	0	52
2015.01.07	00:00:00	1.04100	1.04307	1.03469	1.04002	84953	0	97
2015.01.07	04:00:00	1.04003	1.04141	1.04000	1.04058	9123	0	52
2015.01.07	08:00:00	1.04056	1.04151	1.03919	1.04010	16832	0	52
2015.01.07	12:00:00	1.04005	1.04244	1.03978	1.04167	18006	0	52
2015.01.07	16:00:00	1.04166	1.04193	1.03751	1.03800	16261	0	52
2015.01.07	20:00:00	1.03802	1.03818	1.03513	1.03711	13693	0	52
2015.01.08	00:00:00	1.03703	1.04229	1.03641	1.04148	70393	0	97
2015.01.08	04:00:00	1.04147	1.04152	1.03958	1.03992	8817	0	52
2015.01.08	08:00:00	1.03991	1.04006	1.03793	1.03834	16228	0	52
2015.01.08	12:00:00	1.03831	1.04144	1.03760	1.03980	15759	0	52
2015.01.08	16:00:00	1.03981	1.03999	1.03727	1.03855	15817	0	52
2015.01.08	20:00:00	1.03855	1.03913	1.03708	1.03709	8669	0	52
2015.01.09	00:00:00	1.03725	1.04825	1.03685	1.03887	88452	0	97
2015.01.09	04:00:00	1.03888	1.03920	1.03760	1.03900	9145	0	52
2015.01.09	08:00:00	1.03901	1.03994	1.03755	1.03903	14626	0	52
2015.01.09	12:00:00	1.03902	1.04376	1.03801	1.04365	17018	0	52
2015.01.09	16:00:00	1.04368	1.04871	1.04301	1.04635	21512	0	52
2015.01.09	20:00:00	1.04635	1.04710	1.04440	1.04441	7400	0	52
2015.01.12	00:00:00	1.04563	1.05109	1.04424	1.04754	78186	0	97
2015.01.12	04:00:00	1.04755	1.05116	1.04670	1.05115	9447	0	52
2015.01.12	08:00:00	1.05111	1.05155	1.04777	1.05051	17495	0	52
2015.01.12	12:00:00	1.05050	1.05131	1.04900	1.05079	17352	0	52
2015.01.12	16:00:00	1.05079	1.05110	1.04864	1.04999	17256	0	52
2015.01.12	20:00:00	1.04998	1.05027	1.04666	1.04666	8734	0	52
2015.01.13	00:00:00	1.04703	1.05625	1.04703	1.04995	83535	0	97
2015.01.13	04:00:00	1.04993	1.05138	1.04933	1.04988	11833	0	52
2015.01.13	08:00:00	1.04989	1.05101	1.04921	1.04925	17450	0	52
2015.01.13	12:00:00	1.04924	1.05437	1.04898	1.05425	17215	0	52
2015.01.13	16:00:00	1.05425	1.05641	1.05300	1.05587	16532	0	52
2015.01.13	20:00:00	1.05584	1.05667	1.05400	1.05401	11733	0	52
2015.01.14	00:00:00	1.05455	1.05649	1.04550	1.05383	111650	0	97
2015.01.14	04:00:00	1.05385	1.05417	1.04823	1.04868	14594	0	52
2015.01.14	08:00:00	1.04868	1.05294	1.04557	1.05225	22323	0	52
2015.01.14	12:00:00	1.05221	1.05353	1.04989	1.05123	19611	0	52
2015.01.14	16:00:00	1.05124	1.05496	1.05079	1.05410	20028	0	52
2015.01.14	20:00:00	1.05411	1.05555	1.05335	1.05501	11693	0	52
2015.01.15	00:00:00	1.05547	1.06348	1.04671	1.06139	142052	0	97
2015.01.15	04:00:00	1.06142	1.06218	1.05920	1.06203	10952	0	52
2015.01.15	08:00:00	1.06203	1.06332	1.04636	1.05099	20804	0	52
2015.01.15	12:00:00	1.05066	1.05594	1.04902	1.05132	28081	0	54
2015.01.15	16:00:00	1.05134	1.05819	1.04882	1.04914	24139	0	52
2015.01.15	20:00:00	1.04915	1.05258	1.04722	1.04835	12941	0	52
