DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.04915	1.05676	1.03469	1.04441	765434	0	52
2015.01.11	1.04563	1.06348	1.04424	1.05340	900021	0	52
2015.01.18	1.05511	1.07547	1.05131	1.05962	877563	0	9
2015.01.25	1.05893	1.07938	1.05772	1.06846	785335	987500000	1
2015.02.01	1.06845	1.07381	1.04889	1.05830	1016814	0	1
2015.02.08	1.05438	1.05749	1.03354	1.03873	719895	0	9
2015.02.15	1.03855	1.04284	1.02942	1.04169	769367	0	9
2015.02.22	1.04173	1.04752	1.03102	1.03204	723729	0	9
2015.03.01	1.03248	1.05002	1.02764	1.04736	651439	0	9
2015.03.08	1.04595	1.05295	1.03486	1.04071	829581	0	9
2015.03.15	1.03996	1.04397	1.02514	1.02640	522419	0	1
2015.03.22	1.02601	1.03399	1.02134	1.02309	547287	0	9
2015.03.29	1.02313	1.02621	1.00224	1.00224	645694	0	19
2015.04.05	1.00515	1.02178	1.00137	1.01832	637628	0	6
2015.04.12	1.01880	1.02203	1.00709	1.01250	829340	0	6
2015.04.19	1.01515	1.03092	1.00311	1.02871	967818	0	7
2015.04.26	1.02938	1.05188	1.02424	1.04004	1132240	0	9
2015.05.03	1.03980	1.06839	1.03291	1.05890	629162	0	8
2015.05.10	1.06026	1.08875	1.06010	1.07601	927974	0	13
2015.05.17	1.07810	1.08469	1.06841	1.07064	977606	0	14
2015.05.24	1.06928	1.07825	1.05694	1.07606	1089416	0	13
2015.05.31	1.07763	1.09121	1.06927	1.08008	1212418	0	9
2015.06.07	1.08154	1.10916	1.07046	1.10557	1185804	0	8
2015.06.14	1.10873	1.12841	1.10407	1.12453	1061631	0	9
2015.06.21	1.12399	1.12976	1.11553	1.11899	1026774	0	8
2015.06.28	1.11443	1.14281	1.11285	1.12236	1129944	0	5
2015.07.05	1.12086	1.12493	1.10115	1.10649	1037840	0	16
2015.07.12	1.10593	1.13766	1.10349	1.12948	992787	0	13
2015.07.19	1.13144	1.13233	1.10378	1.10706	1145095	137616122500	5
2015.07.26	1.10584	1.11098	1.08905	1.10592	1176574	436705948500	1
2015.08.02	1.10718	1.13154	1.10033	1.11960	1203227	482085073000	3
2015.08.09	1.11995	1.13009	1.10906	1.12756	1180345	418288287002	18
2015.08.16	1.12703	1.12831	1.09157	1.09276	1221464	547469740180	26
2015.08.23	1.09434	1.15283	1.09156	1.10807	1592377	519678494999	23
2015.08.30	1.10593	1.12607	1.09393	1.09952	1287530	512550403657	15
2015.09.06	1.09858	1.12628	1.09304	1.12209	1204958	493067725068	16
2015.09.13	1.12148	1.13450	1.11807	1.12257	1093481	458590255922	16
