DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	0.81286	0.81441	0.80756	0.80874	74533	0	50
2015.01.02	08:00:00	0.81412	0.81450	0.81259	0.81413	12410	0	8
2015.01.02	12:00:00	0.81416	0.81422	0.81052	0.81075	14800	0	8
2015.01.02	16:00:00	0.81072	0.81309	0.81011	0.81114	16198	0	8
2015.01.02	20:00:00	0.81114	0.81135	0.80770	0.80878	7749	0	11
2015.01.05	00:00:00	0.80688	0.81053	0.80331	0.80814	147216	0	28
2015.01.05	04:00:00	0.80815	0.80955	0.80343	0.80496	10621	0	9
2015.01.05	08:00:00	0.80494	0.80875	0.80384	0.80858	17451	0	8
2015.01.05	12:00:00	0.80858	0.80884	0.80557	0.80755	18793	0	9
2015.01.05	16:00:00	0.80756	0.81064	0.80731	0.80902	17539	0	9
2015.01.05	20:00:00	0.80901	0.80993	0.80810	0.80810	7023	0	9
2015.01.06	00:00:00	0.80819	0.81555	0.80796	0.81151	150575	0	28
2015.01.06	04:00:00	0.81153	0.81497	0.81148	0.81419	10827	0	8
2015.01.06	08:00:00	0.81418	0.81567	0.81149	0.81298	19284	0	8
2015.01.06	12:00:00	0.81299	0.81405	0.81198	0.81236	17868	0	8
2015.01.06	16:00:00	0.81237	0.81367	0.81015	0.81059	22284	0	8
2015.01.06	20:00:00	0.81061	0.81184	0.80805	0.80805	9822	0	10
2015.01.07	00:00:00	0.80815	0.80881	0.80306	0.80731	143143	0	28
2015.01.07	04:00:00	0.80732	0.80807	0.80630	0.80704	8722	0	8
2015.01.07	08:00:00	0.80700	0.80805	0.80529	0.80607	18387	0	8
2015.01.07	12:00:00	0.80607	0.80800	0.80502	0.80543	18868	0	8
2015.01.07	16:00:00	0.80542	0.80556	0.80321	0.80502	17283	0	8
2015.01.07	20:00:00	0.80502	0.80888	0.80355	0.80755	11989	0	9
2015.01.08	00:00:00	0.80764	0.81285	0.80691	0.80922	121421	0	28
2015.01.08	04:00:00	0.80921	0.81146	0.80840	0.81125	8738	0	8
2015.01.08	08:00:00	0.81124	0.81245	0.80916	0.81100	17552	0	8
2015.01.08	12:00:00	0.81101	0.81149	0.80932	0.81076	16461	0	8
2015.01.08	16:00:00	0.81076	0.81301	0.80924	0.81275	16954	0	8
2015.01.08	20:00:00	0.81276	0.81291	0.81030	0.81214	7059	0	10
2015.01.09	00:00:00	0.81212	0.82065	0.81038	0.81291	152087	0	28
2015.01.09	04:00:00	0.81292	0.81458	0.81291	0.81391	9381	0	8
2015.01.09	08:00:00	0.81392	0.81398	0.81129	0.81199	16471	0	8
2015.01.09	12:00:00	0.81199	0.81721	0.81192	0.81523	18247	0	8
2015.01.09	16:00:00	0.81526	0.82017	0.81519	0.81899	22668	0	8
2015.01.09	20:00:00	0.81898	0.82073	0.81887	0.81987	7532	0	10
2015.01.12	00:00:00	0.82100	0.82528	0.81286	0.82271	124616	0	28
2015.01.12	04:00:00	0.82272	0.82515	0.82216	0.82514	8781	0	8
2015.01.12	08:00:00	0.82515	0.82541	0.81607	0.81617	19426	0	8
2015.01.12	12:00:00	0.81616	0.81717	0.81303	0.81503	18908	0	8
2015.01.12	16:00:00	0.81502	0.81639	0.81371	0.81531	18720	0	8
2015.01.12	20:00:00	0.81533	0.81684	0.81533	0.81553	7112	0	8
2015.01.13	00:00:00	0.81552	0.81962	0.81257	0.81689	138411	0	28
2015.01.13	04:00:00	0.81690	0.81962	0.81523	0.81546	11218	0	9
2015.01.13	08:00:00	0.81547	0.81832	0.81320	0.81389	19025	0	8
2015.01.13	12:00:00	0.81388	0.81631	0.81281	0.81451	19061	0	8
2015.01.13	16:00:00	0.81450	0.81709	0.81325	0.81616	18692	0	8
2015.01.13	20:00:00	0.81616	0.81669	0.81466	0.81618	10727	0	10
2015.01.14	00:00:00	0.81643	0.81879	0.80662	0.81479	166874	0	28
2015.01.14	04:00:00	0.81478	0.81499	0.80763	0.80922	14857	0	9
2015.01.14	08:00:00	0.80920	0.81436	0.80675	0.81358	22838	0	9
2015.01.14	12:00:00	0.81359	0.81780	0.81114	0.81633	21155	0	9
2015.01.14	16:00:00	0.81635	0.81703	0.81375	0.81551	20948	0	8
2015.01.14	20:00:00	0.81555	0.81573	0.81378	0.81484	10031	0	8
2015.01.15	00:00:00	0.81468	0.82932	0.81311	0.81864	248628	0	28
2015.01.15	04:00:00	0.81865	0.82119	0.81774	0.82109	10302	0	8
2015.01.15	08:00:00	0.82109	0.82367	0.81523	0.81865	21645	0	8
2015.01.15	12:00:00	0.81866	0.82939	0.81488	0.82485	29261	0	10
2015.01.15	16:00:00	0.82485	0.82494	0.81971	0.82104	25395	0	8
2015.01.15	20:00:00	0.82103	0.82276	0.82044	0.82135	12600	0	11
2015.01.16	00:00:00	0.82111	0.82544	0.81662	0.82362	152315	0	28
2015.01.16	04:00:00	0.82361	0.82551	0.82267	0.82326	13782	0	10
2015.01.16	08:00:00	0.82325	0.82350	0.82110	0.82125	17570	0	8
2015.01.16	12:00:00	0.82124	0.82234	0.81943	0.81956	15650	0	8
2015.01.16	16:00:00	0.81956	0.82232	0.81673	0.82205	23943	0	8
2015.01.16	20:00:00	0.82206	0.82372	0.82169	0.82207	9616	0	10
2015.01.19	00:00:00	0.82212	0.82419	0.81940	0.82190	159933	0	7
2015.01.19	04:00:00	0.82190	0.82274	0.81957	0.82167	10304	0	8
2015.01.19	08:00:00	0.82185	0.82307	0.81977	0.82071	10849	0	7
2015.01.19	12:00:00	0.82068	0.82215	0.81950	0.82215	6333	0	11
2015.01.19	16:00:00	0.82214	0.82266	0.82066	0.82076	5664	0	7
2015.01.19	20:00:00	0.82076	0.82161	0.81979	0.82076	6032	0	12
2015.01.20	00:00:00	0.82124	0.82163	0.81579	0.82026	150231	0	12
2015.01.20	04:00:00	0.82070	0.82122	0.81589	0.81819	6029	0	7
2015.01.20	08:00:00	0.81818	0.82173	0.81630	0.82041	7674	0	13
2015.01.20	12:00:00	0.82044	0.82138	0.81884	0.81936	6964	0	13
2015.01.20	16:00:00	0.81937	0.81981	0.81667	0.81702	6992	0	7
2015.01.20	20:00:00	0.81701	0.81779	0.81632	0.81687	4185	0	7
2015.01.21	00:00:00	0.81695	0.82320	0.80761	0.81822	168140	0	12
2015.01.21	04:00:00	0.81824	0.82224	0.81821	0.82118	6558	0	11
2015.01.21	08:00:00	0.82119	0.82330	0.81668	0.81819	7868	0	13
2015.01.21	12:00:00	0.81813	0.82276	0.81773	0.82229	7894	0	13
2015.01.21	16:00:00	0.82226	0.82290	0.80772	0.80943	13690	0	13
2015.01.21	20:00:00	0.80942	0.81020	0.80805	0.80826	4865	0	7
2015.01.22	00:00:00	0.80833	0.81352	0.79932	0.80894	191877	0	12
2015.01.22	04:00:00	0.80897	0.80916	0.80547	0.80654	6814	0	11
2015.01.22	08:00:00	0.80651	0.81087	0.80637	0.81063	8484	0	13
2015.01.22	12:00:00	0.81062	0.81347	0.80958	0.81063	10079	0	13
2015.01.22	16:00:00	0.81061	0.81223	0.80688	0.80750	10968	0	10
2015.01.22	20:00:00	0.80750	0.80768	0.79950	0.80242	6350	0	7
2015.01.23	00:00:00	0.80240	0.80519	0.78790	0.80161	201298	0	12
2015.01.23	04:00:00	0.80157	0.80362	0.79634	0.79886	7477	0	11
2015.01.23	08:00:00	0.79887	0.80083	0.79493	0.79544	10858	0	13
2015.01.23	12:00:00	0.79543	0.79702	0.78800	0.79235	13821	0	13
2015.01.23	16:00:00	0.79236	0.79541	0.79052	0.79205	9942	0	13
2015.01.23	20:00:00	0.79206	0.79334	0.79035	0.79086	4527	0	13
2015.01.26	00:00:00	0.78769	0.79317	0.78562	0.78927	150454	0	15
2015.01.26	04:00:00	0.78926	0.79031	0.78710	0.78944	4924	0	13
2015.01.26	08:00:00	0.78946	0.79245	0.78742	0.79213	9269	0	13
2015.01.26	12:00:00	0.79211	0.79267	0.78989	0.79162	7564	0	13
2015.01.26	16:00:00	0.79160	0.79327	0.79117	0.79256	7660	0	13
2015.01.26	20:00:00	0.79257	0.79271	0.79123	0.79225	3960	0	13
2015.01.27	00:00:00	0.79232	0.79728	0.79036	0.79269	148536	0	14
2015.01.27	04:00:00	0.79268	0.79464	0.79096	0.79408	5227	0	12
2015.01.27	08:00:00	0.79406	0.79679	0.79182	0.79482	9976	5491316000	3
2015.01.27	12:00:00	0.79485	0.79596	0.79330	0.79432	12926	0	1
