DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	0.80688	0.82073	0.80306	0.81987	1082266	0	8
2015.01.11	0.82100	0.82939	0.80662	0.82207	1252107	0	8
2015.01.18	0.82212	0.82419	0.78790	0.79086	1072700	0	7
2015.01.25	0.78769	0.80244	0.77179	0.77573	985448	5506816000	1
2015.02.01	0.77541	0.78751	0.76242	0.77904	1115560	0	2
2015.02.08	0.77594	0.78411	0.76421	0.77596	832668	0	7
2015.02.15	0.77741	0.78484	0.77403	0.78401	796508	0	1
2015.02.22	0.78457	0.79126	0.77376	0.78065	778418	0	7
2015.03.01	0.78053	0.78624	0.77043	0.77155	730056	0	7
2015.03.08	0.77051	0.77395	0.75586	0.76331	884179	0	5
2015.03.15	0.76182	0.78462	0.75889	0.77687	580265	0	1
2015.03.22	0.77802	0.79377	0.77431	0.77463	600737	0	7
2015.03.29	0.77326	0.77466	0.75311	0.76343	754148	0	6
2015.04.05	0.76393	0.77381	0.75749	0.76789	744196	0	4
2015.04.12	0.76664	0.78419	0.75508	0.77849	980419	0	4
2015.04.19	0.78260	0.78401	0.76800	0.78193	1039285	0	4
2015.04.26	0.78203	0.80753	0.77895	0.78435	1223446	0	6
2015.05.03	0.78321	0.80299	0.77855	0.79323	799767	0	1
2015.05.10	0.79292	0.81626	0.78743	0.80364	940786	0	7
2015.05.17	0.80371	0.80513	0.78086	0.78293	918949	0	8
2015.05.24	0.78232	0.78388	0.76157	0.76417	998133	0	7
2015.05.31	0.76371	0.78178	0.75962	0.76144	1169138	0	2
2015.06.07	0.76242	0.77922	0.76011	0.77319	1252498	0	7
2015.06.14	0.77505	0.78477	0.76418	0.77702	1000702	0	6
2015.06.21	0.77654	0.77959	0.76284	0.76535	922291	0	7
2015.06.28	0.76208	0.77377	0.75074	0.75203	1137883	0	4
2015.07.05	0.74788	0.75321	0.73702	0.74375	1166121	0	4
2015.07.12	0.74154	0.74877	0.73478	0.73779	1136526	0	6
2015.07.19	0.73794	0.74490	0.72580	0.72837	1378777	246976804000	5
2015.07.26	0.72688	0.73662	0.72323	0.72978	1272451	793938353000	4
2015.08.02	0.73183	0.74281	0.72581	0.74179	1309254	827774572000	6
2015.08.09	0.74138	0.74390	0.72134	0.73726	1164920	528743069000	6
2015.08.16	0.73755	0.73887	0.72830	0.73102	1262086	803885276000	9
2015.08.23	0.73001	0.73111	0.70376	0.71694	1600414	761121444000	9
2015.08.30	0.71534	0.71623	0.69066	0.69079	1266758	769225266000	9
2015.09.06	0.69263	0.70992	0.69105	0.70903	1120878	683969756000	9
