DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	120.604	120.844	119.880	120.172	174856	0	21
2015.01.05	119.744	119.944	118.437	118.751	321770	0	21
2015.01.06	118.784	118.791	117.102	117.102	361840	0	21
2015.01.07	117.188	117.949	116.928	117.519	325559	0	21
2015.01.08	117.548	117.962	117.136	117.433	260697	0	21
2015.01.09	117.470	117.680	116.692	116.693	301047	0	21
2015.01.12	116.706	117.290	116.329	116.564	269061	0	21
2015.01.13	116.593	116.979	115.141	115.546	328260	0	21
2015.01.14	115.572	115.624	114.053	115.125	379237	0	21
2015.01.15	115.139	151.220	114.944	138.321	346538	0	21
2015.01.16	137.995	138.910	132.159	136.758	330670	0	54
2015.01.19	136.476	137.088	133.525	133.559	227874	0	9
2015.01.20	133.630	136.349	133.569	135.574	190494	0	34
2015.01.21	135.641	138.253	134.074	137.056	251689	0	37
2015.01.22	137.191	137.987	134.998	135.911	204781	0	30
2015.01.23	135.968	136.731	133.436	134.229	230333	0	37
2015.01.26	133.572	134.730	130.965	131.120	212021	0	37
2015.01.27	131.132	132.146	128.750	130.475	210389	2977856000	3
2015.01.28	130.566	131.125	129.296	129.803	171370	0	44
2015.01.29	129.827	129.978	127.540	127.968	156444	6300000	36
2015.01.30	128.047	128.340	126.530	127.573	165234	0	45
2015.02.02	126.165	127.468	125.744	126.654	177106	0	22
2015.02.03	126.655	127.665	125.842	127.195	181323	0	53
2015.02.04	127.226	127.695	126.286	126.553	164889	0	33
2015.02.05	126.596	127.627	126.048	127.527	206739	0	66
2015.02.06	127.546	129.049	126.776	128.334	195037	0	9
2015.02.09	128.416	129.003	127.780	128.382	167684	0	59
2015.02.10	128.439	129.253	128.001	128.880	194019	0	57
2015.02.11	128.899	130.040	128.657	129.632	175366	0	62
2015.02.12	129.714	129.969	127.512	127.909	237322	0	66
2015.02.13	127.922	128.253	126.794	127.371	206090	0	9
2015.02.16	127.159	127.685	126.854	127.091	174928	0	59
2015.02.17	127.110	127.850	126.552	127.227	238071	0	58
2015.02.18	127.215	127.883	125.758	126.041	228802	0	59
2015.02.19	126.049	126.466	125.157	125.230	226178	0	49
2015.02.20	125.254	127.019	124.345	126.747	252096	0	1
2015.02.23	126.556	126.783	124.745	125.050	206420	0	53
2015.02.24	125.065	125.994	124.919	125.097	204724	0	35
2015.02.25	125.115	125.512	124.754	125.293	165760	0	48
2015.02.26	125.280	125.640	124.805	125.299	205729	0	54
2015.02.27	125.316	126.251	124.950	125.308	207620	0	55
2015.03.02	125.408	125.746	125.060	125.275	156556	0	47
2015.03.03	125.325	125.554	124.360	124.506	232949	0	48
2015.03.04	124.538	124.749	123.605	124.184	270306	0	49
2015.03.05	124.202	124.588	123.181	123.293	246368	0	50
2015.03.06	123.314	123.605	122.292	122.497	275335	0	59
2015.03.09	122.427	123.208	122.315	122.903	174354	0	55
2015.03.10	122.860	123.326	121.036	121.209	246637	0	59
2015.03.11	121.138	121.644	120.087	120.353	281365	0	50
2015.03.12	120.307	121.167	119.872	120.868	267854	0	54
2015.03.13	120.973	121.033	120.081	120.597	235596	0	2
2015.03.16	120.513	120.947	120.338	120.353	101452	0	1
2015.03.17	120.383	121.135	120.235	120.589	79970	0	1
2015.03.18	120.581	124.058	120.443	122.291	106866	0	1
2015.03.19	122.762	122.952	120.864	121.925	149761	0	1
2015.03.20	121.950	123.677	121.892	122.976	113116	0	54
2015.03.23	122.893	124.161	122.272	123.836	119323	0	1
2015.03.24	123.879	125.340	123.453	124.871	101040	0	12
2015.03.25	124.949	125.059	124.212	124.407	96335	0	67
2015.03.26	124.498	124.856	123.435	123.680	126668	0	5
2015.03.27	123.726	124.565	123.131	123.735	110404	0	7
2015.03.30	123.907	124.571	123.425	124.090	186528	0	58
2015.03.31	124.139	124.360	123.030	123.471	178923	0	12
2015.04.01	123.472	124.073	123.144	123.775	222512	0	74
2015.04.02	123.779	125.124	123.568	124.690	167765	0	1
2015.04.03	124.729	125.297	124.475	125.224	121939	0	36
2015.04.06	124.863	125.257	124.417	124.635	117161	0	1
2015.04.07	124.583	125.305	124.373	124.451	190920	0	7
2015.04.08	124.515	124.731	124.035	124.236	213582	0	23
2015.04.09	124.281	124.347	123.138	123.292	189525	0	1
2015.04.10	123.308	123.568	122.384	122.713	173241	0	6
2015.04.13	122.613	123.183	121.904	122.768	191328	0	1
2015.04.14	122.801	123.137	122.228	122.725	243671	0	13
2015.04.15	122.753	123.562	122.312	123.542	250923	0	1
2015.04.16	123.494	124.642	122.801	124.392	305092	0	1
2015.04.17	124.439	125.050	124.095	124.850	278244	0	1
2015.04.20	125.079	125.127	124.008	124.675	230295	0	1
2015.04.21	124.585	125.654	124.130	125.246	232956	0	1
2015.04.22	125.291	125.685	123.366	123.392	247892	0	2
2015.04.23	123.399	125.492	123.327	125.237	269240	0	2
2015.04.24	125.246	125.552	124.484	124.710	238527	0	3
2015.04.27	124.478	125.453	124.405	124.610	201133	0	2
2015.04.28	124.591	125.038	123.950	124.381	179994	0	1
2015.04.29	124.377	127.225	124.118	126.697	229907	0	1
2015.04.30	126.655	128.277	125.863	128.007	285719	0	1
2015.05.01	128.015	129.168	127.907	128.751	164691	0	1
2015.05.04	128.709	128.982	128.024	128.684	122089	0	1
2015.05.05	128.623	129.711	127.758	129.343	178014	0	1
2015.05.06	129.324	130.828	129.199	130.319	209298	0	1
2015.05.07	130.366	131.405	129.714	129.910	185165	0	1
2015.05.08	129.869	130.372	128.407	128.426	218590	0	1
2015.05.11	128.368	129.035	128.200	128.535	195031	0	1
2015.05.12	128.512	130.231	128.319	128.962	251464	0	1
2015.05.13	128.952	130.036	128.868	129.959	233082	0	1
2015.05.14	129.949	131.287	129.861	130.582	256459	0	1
2015.05.15	130.581	131.001	129.329	130.359	248309	0	4
2015.05.18	130.282	130.545	129.478	129.500	178508	0	1
2015.05.19	129.499	129.726	128.146	128.782	230584	0	1
2015.05.20	128.775	129.636	128.616	129.446	311502	0	1
2015.05.21	129.464	130.059	129.010	129.197	273275	0	1
2015.05.22	129.156	129.994	128.489	128.757	258329	0	1
2015.05.25	128.765	129.268	128.442	128.632	131979	0	1
2015.05.26	128.630	129.943	128.473	129.103	307092	0	1
2015.05.27	129.096	130.494	128.993	130.220	307594	0	2
2015.05.28	130.194	131.481	130.113	131.305	332647	0	1
2015.05.29	131.330	132.452	130.733	131.973	307838	0	5
2015.06.01	131.894	132.111	130.871	131.896	305500	0	1
2015.06.02	131.872	133.243	131.733	133.016	376697	0	1
2015.06.03	133.057	133.300	132.168	133.001	326765	0	1
2015.06.04	133.000	133.653	132.561	133.171	236907	0	1
2015.06.05	133.180	134.069	132.352	133.656	357210	0	1
2015.06.08	133.303	134.457	133.045	134.200	337477	0	1
2015.06.09	134.176	134.610	133.186	133.570	369688	0	2
2015.06.10	133.580	133.816	131.539	131.627	483959	0	1
2015.06.11	131.657	132.487	131.593	132.190	382945	0	1
2015.06.12	132.159	133.240	131.718	132.880	251507	0	1
2015.06.15	132.433	132.980	131.468	132.722	258196	0	19
2015.06.16	132.763	133.240	132.155	132.321	201379	0	1
2015.06.17	132.305	134.322	132.259	133.817	291730	0	1
2015.06.18	133.825	134.190	133.127	133.407	377668	0	1
2015.06.19	133.441	133.853	132.822	133.559	252855	0	1
2015.06.22	134.061	134.519	133.482	133.863	288609	0	1
2015.06.23	133.848	133.974	132.184	132.679	294656	0	1
2015.06.24	132.663	133.417	132.366	132.625	277880	0	1
2015.06.25	132.558	132.709	131.298	131.918	263260	0	2
2015.06.26	131.945	132.942	131.591	132.594	260849	0	2
2015.06.29	130.758	132.500	129.617	132.465	413856	0	2
2015.06.30	132.436	132.526	130.241	130.930	326192	0	1
2015.07.01	131.056	131.381	129.763	129.835	272437	0	3
2015.07.02	129.844	130.639	129.786	130.394	267297	0	1
