DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	119.744	119.944	116.692	116.693	1570913	0	21
2015.01.11	116.706	151.220	114.053	136.758	1653766	0	21
2015.01.18	136.476	138.253	133.436	134.229	1105171	0	9
2015.01.25	133.572	134.730	126.530	127.573	915458	2984156000	3
2015.02.01	126.165	129.049	125.744	128.334	925094	0	9
2015.02.08	128.416	130.040	126.794	127.371	980481	0	9
2015.02.15	127.159	127.883	124.345	126.747	1120075	0	1
2015.02.22	126.556	126.783	124.745	125.308	990253	0	35
2015.03.01	125.408	125.746	122.292	122.497	1181514	0	47
2015.03.08	122.427	123.326	119.872	120.597	1205806	0	2
2015.03.15	120.513	124.058	120.235	122.976	551165	0	1
2015.03.22	122.893	125.340	122.272	123.735	553770	0	1
2015.03.29	123.907	125.297	123.030	125.224	877667	0	1
2015.04.05	124.863	125.305	122.384	122.713	884429	0	1
2015.04.12	122.613	125.050	121.904	124.850	1269258	0	1
2015.04.19	125.079	125.685	123.327	124.710	1218910	0	1
2015.04.26	124.478	129.168	123.950	128.751	1061444	0	1
2015.05.03	128.709	131.405	127.758	128.426	913156	0	1
2015.05.10	128.368	131.287	128.200	130.359	1184345	0	1
2015.05.17	130.282	130.545	128.146	128.757	1252198	0	1
2015.05.24	128.765	132.452	128.442	131.973	1387150	0	1
2015.05.31	131.894	134.069	130.871	133.656	1603079	0	1
2015.06.07	133.303	134.610	131.539	132.880	1825576	0	1
2015.06.14	132.433	134.322	131.468	133.559	1381828	0	1
2015.06.21	134.061	134.519	131.298	132.594	1385254	0	1
2015.06.28	130.758	132.526	129.617	130.624	1477243	0	1
2015.07.05	129.212	131.176	127.141	130.668	1701090	0	1
2015.07.12	129.736	131.325	128.935	128.982	1295767	0	1
2015.07.19	128.959	129.859	128.359	128.596	1254957	188765812000	1
2015.07.26	128.525	129.406	127.782	128.186	1416978	561443116000	12
2015.08.02	128.099	128.554	126.138	126.181	1343998	614699207000	17
2015.08.09	126.420	127.962	126.013	127.313	1376697	610838976000	8
2015.08.16	127.255	129.029	126.959	128.939	1398759	617374184000	16
2015.08.23	128.781	129.015	124.967	126.377	2692761	897391058000	12
2015.08.30	126.309	126.397	121.918	122.294	2037676	904777890000	12
2015.09.06	122.321	124.513	122.120	124.386	1756457	859477242000	16
2015.09.13	124.323	125.283	123.124	123.806	1265713	754258754000	16
2015.09.20	123.818	124.605	122.390	123.057	1159899	799736334000	17
2015.09.27	123.092	123.649	122.234	123.369	1196460	839999308000	0
2015.10.04	123.440	125.401	123.086	124.894	1039819	772252336000	11
2015.10.11	124.965	125.620	124.172	125.191	887190	610651129000	12
2015.10.18	125.205	125.934	123.416	124.018	897181	632831964000	0
2015.10.25	123.997	124.084	121.168	122.068	933840	617247760000	0
2015.11.01	122.078	122.753	121.782	122.416	861011	620584290000	0
2015.11.08	122.603	123.383	121.665	121.767	886029	660788215000	0
2015.11.15	121.516	122.439	120.409	120.467	826933	595034708000	0
2015.11.22	120.430	120.975	118.683	119.161	786313	633243430000	0
2015.11.29	119.184	123.827	118.956	123.442	966192	729117944000	0
2015.12.06	123.467	124.004	122.669	122.936	921955	622199121000	0
2015.12.13	123.106	124.031	121.628	122.086	1051257	630053743000	0
2015.12.20	122.060	122.717	121.585	121.847	503621	279575172000	0
2015.12.27	121.659	122.255	119.901	120.211	481832	231622700000	0
2016.01.03	120.056	120.386	116.756	117.700	1261012	705326140000	17
2016.01.10	117.741	118.300	116.558	116.694	1234754	832286417000	14
2016.01.17	116.476	117.540	115.306	116.817	1187597	897771937000	11
2016.01.24	116.799	119.290	116.073	118.352	1176704	911202434000	13
2016.01.31	118.691	119.062	116.811	117.798	1284521	970149229000	15
2016.02.07	117.716	118.600	114.424	115.623	1631773	1072249400000	11
2016.02.14	115.986	116.355	113.257	113.646	1125055	779193686000	16
2016.02.21	113.714	114.453	112.245	114.098	1110096	776873945000	12
2016.02.28	114.190	114.873	112.341	114.550	1112634	928208751000	10
2016.03.06	114.683	115.957	111.861	115.770	1035573	781269549000	15
2016.03.13	115.810	115.932	114.160	114.995	952540	730026373000	15
2016.03.20	115.058	116.027	114.450	115.545	1072034	590341607000	0
2016.03.27	115.754	117.410	115.634	116.295	835225	618545522000	0
2016.04.03	116.498	116.609	112.678	112.934	992431	704674876000	0
2016.04.10	113.280	113.894	112.214	112.293	850062	610945882000	0
2016.04.17	112.036	114.259	111.454	114.157	861235	616823707000	0
2016.04.24	114.191	115.006	110.764	110.791	920751	629242038000	0
2016.05.01	110.685	112.545	109.793	109.971	797322	690437513000	0
2016.05.08	110.059	112.752	110.050	111.035	808784	699896035000	0
2016.05.15	111.338	112.106	110.804	111.182	888784	640426280000	0
2016.05.22	111.170	111.420	110.160	110.807	890873	590106680000	0
2016.05.29	111.006	112.327	108.999	109.126	1045614	733256177000	0
2016.06.05	109.071	111.770	108.878	110.875	1072088	800066604000	0
2016.06.12	110.759	110.883	107.095	108.170	1374054	975925599000	0
2016.06.19	108.919	111.403	101.599	104.880	1347648	894019043000	0
2016.06.26	104.220	105.912	103.497	105.172	1219044	863650356000	0
2016.07.03	105.332	105.677	102.028	102.028	1033675	804298959000	0
2016.07.10	102.415	108.468	102.217	106.480	1389011	971417565000	0
2016.07.17	107.229	108.932	106.799	107.262	1045363	803448955000	0
2016.07.24	107.367	107.959	105.024	105.205	1289941	864326970000	0
2016.07.31	105.497	106.190	103.397	103.783	1074778	731553543000	0
2016.08.07	104.007	104.850	103.228	103.889	821077	553280403000	0
2016.08.14	103.803	105.129	103.242	104.332	1074924	712957062000	0
2016.08.21	104.745	104.862	103.385	103.938	1004567	571160773000	17
2016.08.28	104.274	106.305	103.986	105.586	1041754	561693817000	0
2016.09.04	106.153	106.214	104.286	104.886	1105146	602204918000	0
2016.09.11	105.171	105.808	104.190	104.279	1162562	564943546000	0
2016.09.18	104.196	104.753	102.843	103.724	1129562	608090833000	0
2016.09.25	104.116	105.280	103.125	104.270	1046331	655744201000	0
2016.10.02	104.145	106.443	103.922	104.903	1005804	648536792000	0
2016.10.09	105.369	105.759	104.273	105.100	981524	615438779000	0
2016.10.16	105.310	105.458	103.963	104.355	899984	563861545000	0
2016.10.23	104.352	106.191	104.314	105.636	1001847	601843563000	0
2016.10.30	105.745	106.932	105.499	106.391	1306570	701027644000	0
2016.11.06	106.446	108.376	105.560	107.687	1910662	1001204181000	0
2016.11.13	107.968	109.845	107.834	109.415	1761668	986510966000	0
2016.11.20	109.745	111.882	109.427	111.414	1603882	936477604000	0
2016.11.27	111.349	113.142	110.212	111.951	1783942	1055426256000	0
2016.12.04	111.969	113.782	110.917	113.048	1483553	884113505000	0
