DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.20240	1.20256	1.20161	1.20205	18962	0	50
2015.01.05	1.20193	1.20305	1.20110	1.20136	38950	0	50
2015.01.06	1.20137	1.20176	1.20074	1.20083	26080	0	50
2015.01.07	1.20084	1.20110	1.20065	1.20076	26788	0	50
2015.01.08	1.20077	1.20117	1.20068	1.20080	26088	0	50
2015.01.09	1.20081	1.20098	1.20063	1.20075	33566	0	50
2015.01.12	1.20078	1.20103	1.20064	1.20076	18172	0	50
2015.01.13	1.20077	1.20090	1.20068	1.20079	10924	0	50
2015.01.14	1.20078	1.20082	1.20066	1.20072	15687	0	50
2015.01.15	1.20073	1.20086	0.97013	0.97560	99355	0	50
2015.01.16	0.97497	1.02485	0.97489	0.99372	161635	0	50
2015.01.19	0.99443	1.02130	0.98693	1.02038	163015	0	8
2015.01.20	1.02061	1.02239	1.00618	1.01069	115186	0	25
2015.01.21	1.01133	1.01354	0.98437	0.99761	148452	0	39
2015.01.22	0.99786	1.00318	0.98361	0.98956	179685	0	29
2015.01.23	0.98991	0.99162	0.97710	0.98237	288653	0	50
2015.01.26	0.98143	1.01680	0.97808	1.01456	311819	0	50
2015.01.27	1.01464	1.03810	1.00761	1.02709	316397	2670299000	3
2015.01.28	1.02687	1.03183	1.01762	1.02104	209941	0	22
2015.01.29	1.02182	1.04632	1.01989	1.04472	204271	11000000	34
2015.01.30	1.04505	1.05226	1.03508	1.03908	186333	0	50
2015.02.02	1.04838	1.05867	1.03970	1.05163	196215	0	50
2015.02.03	1.05209	1.06189	1.04564	1.06032	250528	0	50
2015.02.04	1.06032	1.06250	1.04746	1.05035	182980	0	47
2015.02.05	1.05045	1.06415	1.04647	1.05643	230518	0	46
2015.02.06	1.05699	1.05952	1.04515	1.04727	223074	0	49
2015.02.09	1.04684	1.05317	1.04080	1.04539	163413	0	37
2015.02.10	1.04555	1.04938	1.04276	1.04834	171454	0	33
2015.02.11	1.04843	1.05303	1.04352	1.05165	156297	0	9
2015.02.12	1.05227	1.06363	1.04823	1.06092	184197	0	46
2015.02.13	1.06140	1.06362	1.05692	1.06181	145918	0	18
