DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.55346	1.56292	1.55084	1.55625	121895	0	56
2015.01.05	1.55525	1.56717	1.54480	1.55137	231688	0	51
2015.01.06	1.55144	1.55250	1.52776	1.53106	195452	0	52
2015.01.07	1.53133	1.53344	1.51966	1.51971	216990	0	53
2015.01.08	1.51958	1.52331	1.50555	1.50618	170372	0	50
2015.01.09	1.50601	1.51360	1.50371	1.50911	196485	0	51
2015.01.12	1.50875	1.52494	1.50648	1.51963	201718	0	48
2015.01.13	1.51951	1.52596	1.51828	1.52024	242993	0	53
2015.01.14	1.52059	1.53282	1.51661	1.52660	300163	0	52
2015.01.15	1.52589	1.52806	1.48104	1.48485	325946	0	51
2015.01.16	1.48561	1.49356	1.47785	1.48244	393606	0	53
2015.01.19	1.48284	1.49602	1.48038	1.49055	252245	0	16
2015.01.20	1.49023	1.51492	1.48795	1.51078	211574	0	17
2015.01.21	1.51158	1.53688	1.50573	1.53643	293586	0	88
2015.01.22	1.53641	1.54289	1.50840	1.51400	339199	0	57
2015.01.23	1.51361	1.51631	1.48802	1.50111	315248	0	91
2015.01.26	1.49894	1.52410	1.49668	1.51251	226043	0	90
2015.01.27	1.51233	1.52846	1.50941	1.52679	225193	638000000	3
2015.01.28	1.52562	1.54242	1.51252	1.54214	240379	0	1
2015.01.29	1.54181	1.56290	1.53465	1.55680	260724	17000000	39
2015.01.30	1.55663	1.56826	1.55021	1.55265	232245	0	79
2015.02.02	1.55764	1.56381	1.54926	1.55209	167317	0	4
2015.02.03	1.55133	1.58195	1.54847	1.55915	254311	0	1
2015.02.04	1.55940	1.57060	1.53716	1.53938	264187	0	7
2015.02.05	1.53711	1.55259	1.53345	1.55123	233945	0	24
2015.02.06	1.55031	1.55222	1.53374	1.53581	197092	0	16
2015.02.09	1.53590	1.54064	1.51898	1.52746	175584	0	16
2015.02.10	1.52684	1.53196	1.52178	1.52862	219200	0	20
2015.02.11	1.52765	1.54002	1.52047	1.53809	194058	0	13
2015.02.12	1.53891	1.54812	1.52392	1.53519	270148	0	4
2015.02.13	1.53473	1.53913	1.52519	1.52744	194391	0	16
2015.02.16	1.52303	1.52483	1.50989	1.51326	182890	0	16
2015.02.17	1.51343	1.51870	1.50666	1.51310	225903	0	23
2015.02.18	1.51193	1.51576	1.50444	1.51012	192130	0	21
2015.02.19	1.50997	1.52069	1.50706	1.51150	194010	0	16
2015.02.20	1.51070	1.51476	1.49363	1.51160	226949	0	3
2015.02.23	1.51235	1.51510	1.50141	1.50597	188796	0	17
2015.02.24	1.50533	1.52300	1.50329	1.51340	215605	0	16
2015.02.25	1.51277	1.51687	1.50062	1.50310	188465	0	17
2015.02.26	1.50264	1.50544	1.48238	1.48561	205784	0	16
2015.02.27	1.48554	1.48875	1.47780	1.47964	190238	0	16
2015.03.02	1.47876	1.49182	1.47712	1.48874	169884	0	16
2015.03.03	1.48819	1.49009	1.47688	1.47976	182191	0	16
2015.03.04	1.47957	1.48113	1.45456	1.45903	199725	0	16
2015.03.05	1.45903	1.48138	1.45774	1.47358	211808	0	16
2015.03.06	1.47326	1.47676	1.45688	1.47194	224096	0	16
2015.03.09	1.47013	1.47977	1.46771	1.47497	168017	0	16
2015.03.10	1.47465	1.48685	1.46585	1.46791	272864	0	16
2015.03.11	1.46945	1.47597	1.44322	1.44836	292688	0	18
2015.03.12	1.44546	1.44956	1.42799	1.43754	290044	0	18
2015.03.13	1.43818	1.44665	1.42776	1.42876	251729	0	11
2015.03.16	1.42886	1.43539	1.42487	1.43308	125025	0	16
2015.03.17	1.43292	1.45143	1.42898	1.44728	118739	0	1
2015.03.18	1.44928	1.46351	1.43600	1.44861	138309	0	1
2015.03.19	1.45005	1.45377	1.43474	1.43667	187287	0	3
2015.03.20	1.43663	1.44225	1.42457	1.42904	148610	0	50
2015.03.23	1.42969	1.43400	1.41211	1.42919	168353	0	16
2015.03.24	1.42926	1.43591	1.42314	1.42775	161338	0	75
2015.03.25	1.42639	1.44362	1.42360	1.44116	137354	0	50
2015.03.26	1.44123	1.44925	1.42683	1.43123	154154	0	37
2015.03.27	1.43148	1.44434	1.42690	1.43774	143370	0	37
2015.03.30	1.43960	1.44462	1.43773	1.44393	224821	0	45
2015.03.31	1.44304	1.44518	1.43009	1.43541	223373	0	70
2015.04.01	1.43602	1.45227	1.43535	1.44346	235637	0	50
2015.04.02	1.44297	1.45425	1.43981	1.44814	222746	0	13
2015.04.03	1.44777	1.45075	1.44051	1.44051	131301	0	45
