DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	1.55346	1.56240	1.55084	1.55726	60623	0	240
2015.01.02	08:00:00	1.55306	1.55600	1.55133	1.55571	14675	0	56
2015.01.02	12:00:00	1.55568	1.56292	1.55402	1.55997	16727	0	57
2015.01.02	16:00:00	1.55988	1.56139	1.55496	1.55904	21182	0	56
2015.01.02	20:00:00	1.55905	1.55969	1.55494	1.55625	8688	0	60
2015.01.05	00:00:00	1.55525	1.56716	1.54480	1.55853	142892	0	188
2015.01.05	04:00:00	1.55851	1.56717	1.55780	1.56208	13197	0	60
2015.01.05	08:00:00	1.56227	1.56655	1.55729	1.55774	21991	0	58
2015.01.05	12:00:00	1.55772	1.55788	1.54954	1.55031	23938	0	55
2015.01.05	16:00:00	1.55031	1.55112	1.54557	1.54849	21894	0	51
2015.01.05	20:00:00	1.54856	1.55222	1.54665	1.55137	7776	0	56
2015.01.06	00:00:00	1.55144	1.55250	1.52776	1.54834	100238	0	188
2015.01.06	04:00:00	1.54838	1.54878	1.54210	1.54487	11299	0	54
2015.01.06	08:00:00	1.54488	1.54614	1.53722	1.53845	21155	0	54
2015.01.06	12:00:00	1.53846	1.53983	1.53493	1.53671	21262	0	54
2015.01.06	16:00:00	1.53673	1.53859	1.52823	1.52956	27732	0	52
2015.01.06	20:00:00	1.52956	1.53193	1.52823	1.53106	13766	0	56
2015.01.07	00:00:00	1.53133	1.53344	1.51970	1.52964	121429	0	188
2015.01.07	04:00:00	1.52966	1.53218	1.52922	1.53131	9001	0	58
2015.01.07	08:00:00	1.53131	1.53309	1.52731	1.52901	21740	0	55
2015.01.07	12:00:00	1.52898	1.53234	1.52539	1.52982	25869	0	53
2015.01.07	16:00:00	1.52982	1.53021	1.52423	1.52483	24217	0	55
2015.01.07	20:00:00	1.52492	1.52537	1.51966	1.51971	14734	0	60
2015.01.08	00:00:00	1.51958	1.52331	1.50555	1.52155	85982	0	188
2015.01.08	04:00:00	1.52154	1.52155	1.51495	1.51514	9461	0	53
2015.01.08	08:00:00	1.51513	1.51682	1.50724	1.50803	20117	0	50
2015.01.08	12:00:00	1.50800	1.51242	1.50606	1.51155	22190	0	55
2015.01.08	16:00:00	1.51154	1.51318	1.50693	1.50966	23031	0	53
2015.01.08	20:00:00	1.50958	1.51008	1.50618	1.50618	9591	0	55
2015.01.09	00:00:00	1.50601	1.51293	1.50377	1.50768	108655	0	188
2015.01.09	04:00:00	1.50769	1.50778	1.50478	1.50750	10090	0	52
2015.01.09	08:00:00	1.50748	1.51313	1.50525	1.51174	18387	0	51
2015.01.09	12:00:00	1.51175	1.51360	1.50371	1.50880	21828	0	51
2015.01.09	16:00:00	1.50881	1.51297	1.50594	1.51116	28048	0	52
2015.01.09	20:00:00	1.51129	1.51225	1.50891	1.50911	9477	0	53
2015.01.12	00:00:00	1.50875	1.52442	1.50648	1.50926	113654	0	188
2015.01.12	04:00:00	1.50925	1.51151	1.50665	1.51084	10169	0	52
2015.01.12	08:00:00	1.51086	1.52112	1.51061	1.52029	21438	0	48
2015.01.12	12:00:00	1.52034	1.52466	1.51629	1.52440	22295	0	54
2015.01.12	16:00:00	1.52440	1.52494	1.52024	1.52265	23624	0	52
2015.01.12	20:00:00	1.52266	1.52367	1.51918	1.51963	10538	0	56
2015.01.13	00:00:00	1.51951	1.52528	1.51828	1.52203	144065	0	188
2015.01.13	04:00:00	1.52196	1.52289	1.51894	1.52263	13022	0	59
2015.01.13	08:00:00	1.52262	1.52375	1.51960	1.52213	22676	0	54
2015.01.13	12:00:00	1.52212	1.52515	1.51877	1.52322	23712	0	55
2015.01.13	16:00:00	1.52321	1.52596	1.52101	1.52436	24949	0	53
2015.01.13	20:00:00	1.52438	1.52557	1.52024	1.52024	14569	0	55
2015.01.14	00:00:00	1.52059	1.53235	1.51661	1.52232	192436	0	188
2015.01.14	04:00:00	1.52233	1.52908	1.52233	1.52793	14532	0	57
2015.01.14	08:00:00	1.52793	1.53282	1.51712	1.51869	27739	0	54
2015.01.14	12:00:00	1.51865	1.52571	1.51854	1.52270	25556	0	52
2015.01.14	16:00:00	1.52271	1.52489	1.52065	1.52295	26530	0	53
2015.01.14	20:00:00	1.52335	1.52736	1.52321	1.52660	13370	0	60
2015.01.15	00:00:00	1.52589	1.52806	1.48104	1.52623	214138	0	188
2015.01.15	04:00:00	1.52624	1.52690	1.52083	1.52189	10899	0	56
2015.01.15	08:00:00	1.52194	1.52264	1.49752	1.50535	23192	0	51
2015.01.15	12:00:00	1.50473	1.51738	1.48569	1.49082	32581	0	61
