DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.55525	1.56717	1.50371	1.50911	1010987	0	50
2015.01.11	1.50875	1.53282	1.47785	1.48244	1464426	0	48
2015.01.18	1.48284	1.54289	1.48038	1.50111	1411852	0	16
2015.01.25	1.49894	1.56826	1.49668	1.55265	1184584	655000000	1
2015.02.01	1.55764	1.58195	1.53345	1.53581	1116852	0	1
2015.02.08	1.53590	1.54812	1.51898	1.52744	1053381	0	4
2015.02.15	1.52303	1.52483	1.49363	1.51160	1021882	0	3
2015.02.22	1.51235	1.52300	1.47780	1.47964	988888	0	16
2015.03.01	1.47876	1.49182	1.45456	1.47194	987704	0	16
2015.03.08	1.47013	1.48685	1.42776	1.42876	1275342	0	11
2015.03.15	1.42886	1.46351	1.42457	1.42904	717970	0	1
2015.03.22	1.42969	1.44925	1.41211	1.43774	764569	0	16
2015.03.29	1.43960	1.45425	1.43009	1.44051	1037878	0	13
2015.04.05	1.44931	1.45445	1.40341	1.40604	749257	0	27
2015.04.12	1.40613	1.42341	1.39698	1.40579	1060418	0	8
2015.04.19	1.40294	1.43917	1.38730	1.42977	849887	0	9
2015.04.26	1.43022	1.48990	1.41688	1.48463	1707630	0	1
2015.05.03	1.48592	1.52449	1.47157	1.49636	977856	0	2
2015.05.10	1.49737	1.53357	1.49737	1.53283	1342595	0	27
2015.05.17	1.53541	1.54044	1.50335	1.50576	1568819	0	13
2015.05.24	1.50375	1.54870	1.49262	1.54699	1607737	0	30
2015.05.31	1.54989	1.59183	1.53028	1.57649	1770272	0	3
2015.06.07	1.57472	1.61549	1.56398	1.60968	1788349	0	8
2015.06.14	1.60327	1.65109	1.59994	1.64201	1573773	0	12
2015.06.21	1.64663	1.65858	1.61413	1.63316	1585689	0	20
2015.06.28	1.60804	1.66225	1.60310	1.65715	1621965	0	4
2015.07.05	1.64611	1.66787	1.63358	1.65945	1436710	0	31
2015.07.12	1.65405	1.68075	1.63538	1.65757	1285100	0	31
2015.07.19	1.66038	1.67241	1.63545	1.66786	1580955	140772498000	13
2015.07.26	1.67042	1.68237	1.64060	1.66431	1452709	410859517000	24
2015.08.02	1.65952	1.67870	1.65220	1.65458	1456272	425426517000	21
2015.08.09	1.65631	1.70987	1.65483	1.69817	1388741	408446976000	29
2015.08.16	1.69875	1.70593	1.66833	1.70020	1607561	458843207000	46
2015.08.23	1.70637	1.85601	1.70072	1.72650	2132807	497128689000	51
2015.08.30	1.72703	1.78920	1.72678	1.77393	1623760	498086008000	10
2015.09.06	1.77026	1.79926	1.73256	1.79414	1476647	476250945000	42
2015.09.13	1.79512	1.80167	1.75796	1.75870	1412972	458079578000	9
2015.09.20	1.76384	1.79439	1.74878	1.75360	1527432	496438965000	31
2015.09.27	1.75712	1.78968	1.72858	1.73750	1952248	556391407000	20
2015.10.04	1.73613	1.74161	1.68332	1.69360	2017939	555723990000	23
2015.10.11	1.69979	1.71945	1.65052	1.66440	2018970	526564216000	0
2015.10.18	1.66922	1.69452	1.61519	1.63050	1885650	530148172000	0
2015.10.25	1.62982	1.65152	1.62110	1.62375	2185666	497633698000	0
2015.11.01	1.63727	1.65607	1.62331	1.64440	2159681	484313023000	0
2015.11.08	1.64449	1.65496	1.63123	1.64320	2108038	511512159000	0
2015.11.15	1.63923	1.65725	1.61786	1.62110	2167788	500748292000	0
2015.11.22	1.62047	1.63730	1.60786	1.62021	2108552	517556166000	0
2015.11.29	1.61951	1.64848	1.57935	1.61120	2464709	593117095000	0
2015.12.06	1.61175	1.67200	1.61091	1.63240	2365142	580131492000	0
2015.12.13	1.63455	1.63878	1.60139	1.61433	2501690	565978889000	0
2015.12.20	1.61323	1.61670	1.59591	1.60183	1329091	337738047000	0
2015.12.27	1.60160	1.60841	1.58305	1.58753	1093321	247484132000	0
2016.01.03	1.59100	1.67012	1.58649	1.66848	2547377	638944915000	0
2016.01.10	1.66397	1.71365	1.64000	1.68626	2811073	712750937000	0
2016.01.17	1.70219	1.72685	1.65151	1.66334	2911616	782687757000	0
2016.01.24	1.66122	1.70039	1.65367	1.66932	2632036	783779511000	0
2016.01.31	1.66840	1.69112	1.65021	1.68224	2644983	793804180000	23
2016.02.07	1.68222	1.72172	1.67289	1.69654	3678379	983082567000	0
2016.02.14	1.69772	1.70389	1.66937	1.67704	2820955	790988977000	0
2016.02.21	1.67106	1.67909	1.62593	1.64692	1915581	795392340000	0
2016.02.28	1.65580	1.66330	1.61166	1.61312	1900423	762379442000	0
2016.03.06	1.61835	1.68406	1.61232	1.65208	1885697	724024353000	0
2016.03.13	1.65521	1.68696	1.64670	1.65729	1745447	719549836000	0
2016.03.20	1.65850	1.67260	1.65576	1.66325	973712	561916318000	0
2016.03.27	1.67166	1.67217	1.62607	1.64852	1172578	653341906000	0
2016.04.03	1.65401	1.68258	1.65038	1.67367	1229022	711145640000	0
2016.04.10	1.67513	1.68014	1.62614	1.62932	1172563	692235739000	0
2016.04.17	1.64042	1.64872	1.60935	1.63573	1077649	636644511000	0
2016.04.24	1.63772	1.65619	1.62110	1.63988	1009446	614651512000	0
2016.05.01	1.64173	1.67653	1.63333	1.66468	1016506	610864502000	0
2016.05.08	1.66785	1.69267	1.66312	1.66712	895981	562045143000	0
2016.05.15	1.67130	1.67581	1.65268	1.65769	1040906	539667748000	0
2016.05.22	1.65650	1.67095	1.64550	1.65886	1054650	527636053000	0
2016.05.29	1.65968	1.66515	1.62193	1.63312	1101521	545326195000	0
2016.06.05	1.63318	1.64665	1.58352	1.59314	1154317	592549633000	0
2016.06.12	1.59288	1.60914	1.58649	1.59994	1218578	621875079000	0
2016.06.19	1.60100	1.60358	1.54466	1.54816	1217166	591702431000	0
2016.06.26	1.55704	1.57697	1.54620	1.55193	1273040	593916229000	0
2016.07.03	1.55285	1.55973	1.50880	1.51024	1073220	512943628000	0
2016.07.10	1.51315	1.55705	1.51126	1.55164	1151014	558739301000	0
2016.07.17	1.54628	1.58345	1.54390	1.56686	984451	496845594000	0
2016.07.24	1.56691	1.57448	1.54553	1.54934	1021605	462269151000	0
2016.07.31	1.54926	1.56218	1.54219	1.55198	970070	440310095000	0
2016.08.07	1.55163	1.56426	1.52111	1.55024	865997	403870810000	0
2016.08.14	1.55270	1.56454	1.53900	1.55546	1010700	433584877000	0
2016.08.21	1.55900	1.56396	1.53120	1.54650	956159	428623194000	0
2016.08.28	1.54627	1.55161	1.52342	1.52733	1031978	466879525000	0
2016.09.04	1.53189	1.53379	1.50180	1.53176	1030336	473437427000	0
2016.09.11	1.53322	1.55072	1.52086	1.53389	1152574	450726482000	0
2016.09.18	1.53528	1.55477	1.51550	1.54703	1096177	523022181000	46
2016.09.25	1.54821	1.55505	1.53288	1.54205	1137959	563785709000	0
2016.10.02	1.54256	1.56807	1.53009	1.55828	1184323	619982534000	0
2016.10.09	1.55663	1.57605	1.54410	1.54556	1111748	566704729000	0
2016.10.16	1.54563	1.54957	1.50917	1.51763	1000844	525214363000	0
2016.10.23	1.51828	1.53596	1.51520	1.53058	1052244	537029524000	0
2016.10.30	1.53525	1.54493	1.51101	1.51986	1152105	592316226000	0
2016.11.06	1.50575	1.55115	1.48392	1.52038	1602819	793157855000	0
2016.11.13	1.51610	1.52525	1.50336	1.50837	1520830	739196521000	0
2016.11.20	1.51381	1.51523	1.49932	1.50023	1331608	714512497000	0
2016.11.27	1.50485	1.50910	1.48296	1.48961	1451118	773985903000	0
2016.12.04	1.48735	1.51575	1.47112	1.47345	1369334	746706753000	0
2016.12.11	1.47591	1.50163	1.46824	1.49892	1478567	752977639000	0
2016.12.18	1.49801	1.52306	1.49565	1.51361	1117332	616690917000	0
2016.12.25	1.51341	1.53178	1.46614	1.51165	853828	463333623000	0
2017.01.01	1.51553	1.51781	1.49896	1.50707	1370707	702302998000	0
2017.01.08	1.51079	1.51884	1.48911	1.49008	1628536	801016998000	0
2017.01.15	1.49015	1.49692	1.47623	1.48971	1632852	792780837000	0
2017.01.22	1.49260	1.49485	1.46880	1.46993	1465910	734491703000	0
2017.01.29	1.47307	1.48777	1.46376	1.47302	1546693	741692295000	0
2017.02.05	1.47516	1.48580	1.45257	1.47528	1434202	694312263000	0
2017.02.12	1.47438	1.48311	1.46487	1.47563	1373880	694257103000	0
2017.02.19	1.47280	1.47983	1.45829	1.46486	1198411	641311573000	0
2017.02.26	1.46620	1.50869	1.46502	1.50420	1352632	724718235000	0
2017.03.05	1.50946	1.54419	1.50410	1.54093	1266879	676338485000	0
2017.03.12	1.53778	1.54510	1.51978	1.52924	1296696	699229147000	81
2017.03.19	1.52787	1.54123	1.52012	1.53557	1234187	653283744000	0
2017.03.26	1.53911	1.54813	1.51732	1.51804	1127864	568136391000	0
2017.04.02	1.52067	1.53371	1.51870	1.52627	1114116	534330558000	0
2017.04.09	1.52468	1.53563	1.51162	1.51403	947359	463582766000	0
2017.04.16	1.51537	1.53712	1.50922	1.52308	962243	483924625000	0
2017.04.23	1.54824	1.59394	1.53837	1.58475	1186102	561559306000	0
2017.04.30	1.58587	1.60192	1.56798	1.58759	1019090	504223940000	0
2017.05.07	1.59467	1.59626	1.56238	1.58997	1117756	546471825000	0
2017.05.14	1.59175	1.62359	1.58398	1.61652	1254482	598492746000	0
2017.05.21	1.61456	1.61977	1.57892	1.58063	1206017	585650770000	0
2017.05.28	1.57942	1.59295	1.56952	1.57682	981582	464584583000	0
2017.06.04	1.57860	1.58362	1.54734	1.55086	1096688	0	49
2017.06.11	1.55388	1.56322	1.53935	1.54176	1117829	0	64
2017.06.18	1.54285	1.54994	1.53152	1.53432	949711	0	71
2017.06.25	1.53546	1.57115	1.52310	1.55599	1235089	0	64
2017.07.02	1.55832	1.57207	1.55360	1.56317	1058467	0	53
2017.07.09	1.56469	1.58971	1.54520	1.55944	1053410	0	81
2017.07.16	1.56027	1.58271	1.55808	1.56290	1180214	0	61
2017.07.23	1.56459	1.57427	1.55278	1.56571	1282846	0	68
2017.07.30	1.56240	1.60272	1.56056	1.58746	1213878	0	66
2017.08.06	1.58876	1.62265	1.58816	1.61346	1131793	0	46
2017.08.13	1.61657	1.62463	1.59917	1.60825	1219678	0	61
2017.08.20	1.60533	1.64854	1.60364	1.64498	1046533	0	68
2017.08.27	1.64717	1.66702	1.64429	1.65694	1316802	0	81
