DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.20565	1.20690	1.19991	1.20014	146779	0	9
2015.01.05	1.19400	1.19757	1.18642	1.19317	242399	0	10
2015.01.06	1.19323	1.19682	1.18831	1.18887	233152	0	10
2015.01.07	1.18896	1.18956	1.18011	1.18386	269459	0	9
2015.01.08	1.18389	1.18467	1.17531	1.17899	208351	0	9
2015.01.09	1.17929	1.18451	1.17614	1.18402	246625	0	10
2015.01.12	1.18497	1.18702	1.17851	1.18325	199062	0	9
2015.01.13	1.18323	1.18589	1.17520	1.17718	225705	0	9
2015.01.14	1.17714	1.18453	1.17263	1.17881	266226	0	9
2015.01.15	1.17884	1.17921	1.15667	1.16298	444446	0	9
2015.01.16	1.16302	1.16479	1.14587	1.15650	364038	0	9
2015.01.19	1.15537	1.16381	1.15503	1.16060	193728	0	7
2015.01.20	1.16022	1.16143	1.15394	1.15479	163921	0	6
2015.01.21	1.15480	1.16796	1.15404	1.16087	208322	0	6
2015.01.22	1.16092	1.16604	1.13151	1.13642	285982	0	7
2015.01.23	1.13644	1.13731	1.11133	1.12032	311767	0	8
2015.01.26	1.11519	1.12945	1.10964	1.12373	230223	0	8
2015.01.27	1.12364	1.14221	1.12227	1.13803	254807	26218873000	1
2015.01.28	1.13799	1.13828	1.12750	1.12865	246655	0	1
2015.01.29	1.12865	1.13670	1.12607	1.13185	204651	14000000	2
2015.01.30	1.13186	1.13628	1.12770	1.12844	197742	0	9
2015.02.02	1.13109	1.13616	1.12914	1.13413	198593	0	1
2015.02.03	1.13395	1.15332	1.13113	1.14781	269289	0	1
2015.02.04	1.14792	1.14842	1.13145	1.13433	237471	0	2
2015.02.05	1.13454	1.14983	1.13030	1.14763	287021	0	5
2015.02.06	1.14760	1.14850	1.13090	1.13102	225349	0	5
2015.02.09	1.12962	1.13586	1.12692	1.13234	216772	0	5
2015.02.10	1.13232	1.13448	1.12718	1.13197	208408	0	5
2015.02.11	1.13197	1.13466	1.12787	1.13351	176619	0	5
2015.02.12	1.13377	1.14224	1.13011	1.14022	227099	0	5
2015.02.13	1.14015	1.14421	1.13788	1.13919	170181	0	5
2015.02.16	1.13977	1.14285	1.13184	1.13528	125754	0	5
