DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.80957	1.81207	1.79830	1.80500	164904	0	62
2015.01.05	1.80271	1.80649	1.78763	1.79302	242308	0	62
2015.01.06	1.79305	1.79494	1.78451	1.79246	247470	0	62
2015.01.07	1.79278	1.79618	1.78335	1.78460	277573	0	62
2015.01.08	1.78473	1.78793	1.77592	1.78428	227839	0	62
2015.01.09	1.78431	1.80127	1.78230	1.79684	259922	0	62
2015.01.12	1.80013	1.81658	1.79178	1.81589	211786	0	62
2015.01.13	1.81625	1.81705	1.80616	1.81206	260275	0	62
2015.01.14	1.81235	1.82578	1.81083	1.81964	314728	0	62
2015.01.15	1.82008	1.82453	1.79931	1.81408	360861	0	62
2015.01.16	1.81633	1.82755	1.80830	1.81497	318434	0	62
2015.01.19	1.81225	1.81789	1.80320	1.80333	254885	0	41
2015.01.20	1.80395	1.83906	1.80064	1.83376	252376	0	62
2015.01.21	1.83408	1.87344	1.82075	1.86786	297888	0	62
2015.01.22	1.86818	1.87934	1.85630	1.85779	334941	0	62
2015.01.23	1.85801	1.86719	1.85239	1.86025	323131	0	62
2015.01.26	1.86745	1.88340	1.86487	1.87945	245468	0	62
2015.01.27	1.88046	1.88907	1.87487	1.88375	271519	0	62
2015.01.28	1.88368	1.89872	1.88055	1.89679	274163	0	62
2015.01.29	1.89706	1.90609	1.89267	1.90025	229960	0	62
2015.01.30	1.90043	1.92711	1.89968	1.91543	245755	0	62
2015.02.02	1.91713	1.92443	1.88563	1.88884	235429	0	62
2015.02.03	1.88908	1.89947	1.87581	1.88214	296807	0	62
2015.02.04	1.88234	1.91852	1.87933	1.90826	274735	0	62
2015.02.05	1.90880	1.91445	1.89701	1.90550	265218	0	59
2015.02.06	1.90543	1.91213	1.89039	1.90792	227670	0	62
2015.02.09	1.90910	1.91040	1.89124	1.89540	179030	0	96
2015.02.10	1.89651	1.92544	1.89589	1.91934	194729	0	104
2015.02.11	1.91970	1.93575	1.91657	1.92344	182011	0	56
2015.02.12	1.92425	1.93079	1.91013	1.92370	215451	0	48
2015.02.13	1.92395	1.92807	1.91246	1.91470	171973	0	85
2015.02.16	1.91900	1.91982	1.91152	1.91380	120891	0	90
2015.02.17	1.91491	1.91575	1.89811	1.90145	189169	0	44
2015.02.18	1.90168	1.92361	1.89991	1.92196	225683	0	62
2015.02.19	1.92198	1.93821	1.92135	1.92564	243617	0	62
2015.02.20	1.92571	1.93254	1.91040	1.92826	266749	0	62
2015.02.23	1.92893	1.94750	1.92694	1.94263	217160	0	62
2015.02.24	1.94250	1.95531	1.92868	1.92893	256146	0	62
2015.02.25	1.92925	1.93386	1.92113	1.93058	223531	0	62
2015.02.26	1.93048	1.93492	1.91979	1.92750	257709	0	62
2015.02.27	1.92758	1.93451	1.91844	1.93010	223955	0	62
2015.03.02	1.92780	1.93197	1.91998	1.92559	195222	0	62
2015.03.03	1.92550	1.92658	1.91004	1.91881	224044	0	62
2015.03.04	1.91893	1.92285	1.89266	1.89642	261229	0	62
2015.03.05	1.89636	1.90618	1.89063	1.90239	256411	0	62
2015.03.06	1.90250	1.90517	1.88977	1.89684	282470	0	62
2015.03.09	1.89736	1.90702	1.89618	1.90598	209727	0	62
2015.03.10	1.90620	1.91174	1.89906	1.90922	282041	0	62
2015.03.11	1.91160	1.91384	1.90039	1.90168	351109	0	62
2015.03.12	1.90280	1.90538	1.88619	1.88852	337226	0	62
2015.03.13	1.88738	1.89349	1.87877	1.88330	334403	0	62
2015.03.16	1.88606	1.89585	1.88431	1.89366	115101	0	62
2015.03.17	1.89347	1.89609	1.87860	1.88466	106629	0	62
2015.03.18	1.88560	1.89094	1.87042	1.88216	146593	0	62
2015.03.19	1.88110	1.89035	1.87194	1.87510	150783	0	62
