DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.80271	1.80649	1.77592	1.79684	1255112	0	62
2015.01.11	1.80013	1.82755	1.79178	1.81497	1466084	0	62
2015.01.18	1.81225	1.87934	1.80064	1.86025	1463221	0	41
2015.01.25	1.86745	1.92711	1.86487	1.91543	1266865	0	62
2015.02.01	1.91713	1.92443	1.87581	1.90792	1299859	0	59
2015.02.08	1.90910	1.93575	1.89124	1.91470	943194	0	48
2015.02.15	1.91900	1.93821	1.89811	1.92826	1046109	0	44
2015.02.22	1.92893	1.95531	1.91844	1.93010	1178501	0	62
2015.03.01	1.92780	1.93197	1.88977	1.89684	1219376	0	62
2015.03.08	1.89736	1.91384	1.87877	1.88330	1514506	0	62
2015.03.15	1.88606	1.89609	1.86616	1.87501	660295	0	62
2015.03.22	1.87922	1.88290	1.84728	1.87419	704986	0	62
2015.03.29	1.87560	1.89097	1.85309	1.86220	1233373	0	41
2015.04.05	1.85875	1.87203	1.83744	1.83746	1135889	0	62
2015.04.12	1.83911	1.85753	1.81434	1.83038	1344243	0	62
2015.04.19	1.82688	1.85037	1.81591	1.84905	1134174	0	62
2015.04.26	1.84964	1.86502	1.83326	1.84265	1237428	0	39
2015.05.03	1.84099	1.87874	1.82225	1.86511	1362008	0	39
2015.05.10	1.86652	1.89908	1.86443	1.88939	1146394	0	39
2015.05.17	1.88973	1.91829	1.88329	1.90281	1303084	0	39
2015.05.24	1.90100	1.91832	1.89496	1.90122	1401252	0	40
2015.05.31	1.90250	1.92179	1.89516	1.89771	1683601	0	39
2015.06.07	1.89762	1.91836	1.88422	1.91398	1702845	0	39
2015.06.14	1.91468	1.95240	1.91227	1.94757	1318768	0	39
2015.06.21	1.94472	1.95063	1.93321	1.93856	1114135	0	39
2015.06.28	1.93629	1.97205	1.93132	1.95611	1372141	0	39
2015.07.05	1.95888	1.97834	1.94782	1.96556	1411415	0	39
2015.07.12	1.96710	2.03222	1.96650	2.02422	1402759	0	39
2015.07.19	2.02427	2.03877	2.00865	2.02250	1482887	0	39
2015.07.26	2.02207	2.04528	2.01215	2.04333	1841807	351885042700	14
2015.08.02	2.04632	2.06281	2.02031	2.03464	2028022	395822951000	29
2015.08.09	2.03331	2.04982	2.02272	2.04821	1959901	354733271886	28
2015.08.16	2.04927	2.06983	2.03559	2.06759	1945688	408322861707	34
2015.08.23	2.06727	2.09701	2.02812	2.03123	2558350	414162623643	38
2015.08.30	2.03630	2.05263	1.99503	2.01386	1927854	360786492774	3
2015.09.06	2.01499	2.05151	2.01048	2.04588	1732940	375571386721	14
2015.09.13	2.04458	2.05584	2.02554	2.05195	1188034	403188115446	23
2015.09.20	2.05439	2.05582	2.01677	2.02314	1059488	396990478500	29
2015.09.27	2.02437	2.03967	1.99489	1.99587	1016008	387927824931	28
2015.10.04	1.99735	2.00284	1.97673	1.98338	1053232	422529137553	22
2015.10.11	1.98459	2.00841	1.97127	1.99343	990023	404656760728	0
2015.10.18	1.99206	2.03306	1.99154	2.01550	1000978	382982552139	0
2015.10.25	2.01581	2.03242	2.00551	2.01692	987621	326000642130	0
2015.11.01	2.01988	2.03043	1.99197	2.00111	948399	316498328000	0
2015.11.08	2.00147	2.03042	1.99782	2.02922	894903	324711318000	0
2015.11.15	2.02513	2.03599	2.01907	2.02719	908641	327486015943	0
2015.11.22	2.02491	2.03405	2.00049	2.00947	924421	361014735857	0
2015.11.29	2.00823	2.02822	1.98415	2.01759	1076845	382313539296	43
2015.12.06	2.01872	2.09488	2.01774	2.09327	1041335	368764941500	0
2015.12.13	2.08898	2.09107	2.05934	2.07759	1119442	437413499000	0
2015.12.20	2.07610	2.08613	2.05498	2.06845	658088	253123707906	0
2015.12.27	2.05928	2.07285	2.03600	2.03700	730182	276640381468	0
2016.01.03	2.03549	2.06740	2.03486	2.05703	1231789	496815981807	0
2016.01.10	2.05716	2.09206	2.04304	2.07175	1286811	591687650615	0
2016.01.17	2.08035	2.08126	2.01319	2.01359	1452557	732689537299	0
2016.01.24	2.01740	2.03699	1.98637	1.98955	1568068	768176547992	0
2016.01.31	1.99018	2.03100	1.98747	2.01731	1495538	754181567457	35
2016.02.07	2.01264	2.02882	1.98794	2.00604	1618663	829720940778	0
2016.02.14	2.01224	2.01264	1.94957	1.98228	1386477	652390357500	0
2016.02.21	1.96424	1.97158	1.87235	1.87297	1525557	797108968272	0
2016.02.28	1.87235	1.90766	1.86656	1.89331	1451663	715149100000	0
2016.03.06	1.89475	1.91605	1.87431	1.89937	1258971	624300314120	0
2016.03.13	1.89887	1.90719	1.85016	1.88162	1143249	661642088500	0
2016.03.20	1.87932	1.88870	1.84980	1.87333	993058	542159019680	0
2016.03.27	1.87523	1.88496	1.84669	1.84993	1172838	629136185500	0
2016.04.03	1.85296	1.87360	1.82779	1.83283	1253471	635710126500	0
2016.04.10	1.83197	1.85007	1.81033	1.81935	1248671	611841654051	0
2016.04.17	1.83884	1.84062	1.80990	1.82055	1161548	609312484118	0
2016.04.24	1.83036	1.85021	1.82302	1.83309	1132475	643305511094	0
2016.05.01	1.83098	1.87176	1.82868	1.86029	999194	615425501000	0
2016.05.08	1.86624	1.87466	1.84718	1.85621	948042	567220049187	0
2016.05.15	1.85695	1.92062	1.85065	1.90141	1248421	562627320199	0
2016.05.22	1.90227	1.93092	1.89794	1.90386	1177213	533156856101	0
2016.05.29	1.90236	1.91677	1.87430	1.87735	1237461	581504591638	0
2016.06.05	1.87236	1.87903	1.81120	1.82086	1191279	609260147000	0
2016.06.12	1.82422	1.85147	1.80239	1.85064	1262703	712336269000	0
2016.06.19	1.85801	1.91264	1.70750	1.77445	1422246	820367504066	0
2016.06.26	1.75240	1.75906	1.70848	1.71171	1397786	735637909201	0
2016.07.03	1.71046	1.71582	1.66849	1.68868	1278723	697970280533	0
2016.07.10	1.68847	1.74167	1.68199	1.71063	1468277	773814547800	0
2016.07.17	1.70720	1.74517	1.70193	1.72055	1157993	670925600347	0
2016.07.24	1.72459	1.74447	1.72143	1.72376	1204111	549457890674	0
2016.07.31	1.72277	1.75430	1.70356	1.72067	1142951	490398135143	0
2016.08.07	1.72293	1.72517	1.67032	1.67310	1018252	500885684000	0
2016.08.14	1.67350	1.68799	1.65972	1.68158	1142667	505592219487	0
2016.08.21	1.68204	1.71555	1.67935	1.70572	1127070	503386117309	0
2016.08.28	1.70408	1.74532	1.69897	1.72427	1250101	555267961908	0
2016.09.04	1.72721	1.73122	1.71227	1.72850	1258682	570571492592	0
2016.09.11	1.73061	1.75226	1.71633	1.71716	1409297	533110654210	0
2016.09.18	1.71833	1.72393	1.68816	1.70640	1423631	696132838573	0
2016.09.25	1.70566	1.72355	1.69674	1.70268	1426425	667138392336	0
2016.10.02	1.69477	1.69860	1.52874	1.65224	1506839	739908427131	0
2016.10.09	1.64190	1.64924	1.59766	1.59766	1532043	730193496874	0
2016.10.16	1.59521	1.63241	1.59290	1.62854	1315491	584459267375	0
2016.10.23	1.62799	1.63950	1.61161	1.63032	1431099	643716244343	0
2016.10.30	1.63486	1.68506	1.62593	1.67573	1473749	661884089498	0
2016.11.06	1.66220	1.71174	1.63902	1.70216	1744920	823786432742	0
2016.11.13	1.69628	1.70401	1.66244	1.66428	1691017	831550239451	0
2016.11.20	1.66566	1.68885	1.65594	1.68471	1328648	728556423029	0
2016.11.27	1.68243	1.69788	1.66051	1.68935	1435479	750331083624	0
2016.12.04	1.68398	1.69834	1.65241	1.65679	1320152	666147159106	0
2016.12.11	1.65275	1.67487	1.64865	1.66367	1480206	518757664765	0
2016.12.18	1.66445	1.66903	1.64766	1.66308	1127680	445139590637	0
2016.12.25	1.65838	1.66872	1.60854	1.65520	848639	351438392910	0
2017.01.01	1.65886	1.65953	1.62225	1.62519	1364289	563074150003	0
2017.01.08	1.62185	1.62514	1.59362	1.59503	1681050	620727949208	0
2017.01.15	1.57532	1.64873	1.57282	1.64608	1716630	652804341856	0
2017.01.22	1.64753	1.66266	1.63986	1.64962	1624883	594818098587	0
2017.01.29	1.65095	1.65579	1.62107	1.62458	1749111	612869571042	43
2017.02.05	1.62542	1.65171	1.62073	1.63120	1572581	570165928327	0
2017.02.12	1.63363	1.64153	1.61987	1.62249	1381253	600374491952	0
2017.02.19	1.62466	1.64685	1.62348	1.62893	1145367	529701976349	0
2017.02.26	1.63297	1.65107	1.62305	1.64241	1344869	585406965853	0
2017.03.05	1.64275	1.64832	1.63052	1.63634	1315658	599959523817	43
2017.03.12	1.63543	1.65462	1.62817	1.65274	1334933	597235126410	0
2017.03.19	1.65205	1.67298	1.64678	1.66588	1228414	563082014243	0
2017.03.26	1.66798	1.68874	1.65277	1.66845	1158945	511569295984	0
2017.04.02	1.66732	1.68003	1.65491	1.65614	1071997	457727958055	43
2017.04.09	1.65880	1.66961	1.65133	1.66693	958705	417400548148	43
2017.04.16	1.66732	1.73393	1.66605	1.72649	1063613	449347370025	0
2017.04.23	1.72735	1.77158	1.71661	1.76670	1261643	484810078799	0
2017.04.30	1.76584	1.78531	1.75748	1.77124	1096196	441274404133	0
2017.05.07	1.77267	1.78159	1.76015	1.76505	1231397	501715695911	0
2017.05.14	1.76354	1.78195	1.75272	1.75973	1331761	548009080230	0
2017.05.21	1.75570	1.76014	1.71873	1.71873	1215174	489646070411	0
2017.05.28	1.72086	1.74491	1.71712	1.73623	1022557	403736777779	0
2017.06.04	1.73446	1.75337	1.70772	1.71511	974968	0	43
2017.06.11	1.71060	1.71683	1.67835	1.68594	1195057	0	43
2017.06.18	1.68549	1.69626	1.67203	1.68455	1074782	0	43
2017.06.25	1.68844	1.69750	1.67631	1.68713	1181958	0	43
2017.07.02	1.68686	1.69058	1.65626	1.65907	1022269	0	43
2017.07.09	1.65790	1.66920	1.63510	1.65448	936311	0	43
2017.07.16	1.65618	1.66109	1.62353	1.62914	988684	0	43
2017.07.23	1.62753	1.64419	1.62681	1.63249	1066349	0	43
2017.07.30	1.63151	1.67244	1.63073	1.64876	993039	0	43
2017.08.06	1.64846	1.65627	1.64092	1.64818	931030	0	43
2017.08.13	1.64463	1.65164	1.61321	1.61953	979134	0	43
2017.08.20	1.61375	1.62520	1.60037	1.60629	857554	0	43
2017.08.27	1.61121	1.63539	1.60279	1.60502	965554	0	43
2017.09.03	1.60923	1.62042	1.57104	1.60292	601324	0	43
2017.09.10	1.60251	1.65767	1.59332	1.65630	710768	804780145	0
2017.09.17	1.65183	1.67591	1.64794	1.66433	793702	0	0
2017.09.24	1.66245	1.67963	1.65264	1.66927	760865	0	0
2017.10.01	1.66888	1.67157	1.63498	1.63703	623128	0	0
2017.10.08	1.63984	1.66509	1.63610	1.65518	645334	0	0
2017.10.15	1.65701	1.66870	1.63825	1.64560	673108	0	0
2017.10.22	1.66272	1.70002	1.66073	1.68092	736523	0	0
2017.10.29	1.68115	1.71632	1.66473	1.66838	666920	0	0
2017.11.05	1.66748	1.68358	1.66237	1.67342	1173187	0	0
2017.11.12	1.66956	1.69282	1.65887	1.68654	1557487	0	0
2017.11.19	1.68602	1.70092	1.68427	1.69364	1315928	0	0
2017.11.26	1.69093	1.74659	1.69093	1.70826	1669742	0	0
2017.12.03	1.70631	1.73808	1.69152	1.71987	1378919	0	0
2017.12.10	1.71736	1.72962	1.70057	1.71239	1343292	0	0
2017.12.17	1.71127	1.72748	1.69777	1.69958	1494101	0	4
