DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.55118	1.55261	1.53404	1.53434	155400	0	39
2015.01.05	1.53972	1.54046	1.53035	1.53501	243204	0	39
2015.01.06	1.53514	1.53615	1.52483	1.52966	236466	0	39
2015.01.07	1.53015	1.53665	1.52873	1.53212	237025	0	39
2015.01.08	1.53237	1.53837	1.52837	1.53612	206825	0	39
2015.01.09	1.53604	1.54254	1.53455	1.53633	231754	0	39
2015.01.12	1.53835	1.54224	1.53316	1.53900	203455	0	39
2015.01.13	1.53942	1.54807	1.53330	1.54588	246563	0	39
2015.01.14	1.54614	1.55279	1.54292	1.55116	274837	0	39
2015.01.15	1.55155	1.55450	1.18563	1.27297	300011	0	39
2015.01.16	1.27861	1.33843	1.27264	1.30048	295564	0	75
2015.01.19	1.30236	1.33134	1.29361	1.32795	236247	0	24
2015.01.20	1.32901	1.33307	1.31851	1.32491	154457	0	44
2015.01.21	1.32599	1.32977	1.28343	1.30097	199830	0	59
2015.01.22	1.30180	1.31438	1.29359	1.30627	176221	0	49
2015.01.23	1.30716	1.32250	1.30168	1.31991	180921	0	58
2015.01.26	1.32050	1.36374	1.31428	1.36035	166482	0	56
2015.01.27	1.36128	1.38454	1.34627	1.37166	179230	0	49
2015.01.28	1.37177	1.37854	1.36282	1.36933	145779	0	54
2015.01.29	1.36982	1.39756	1.36872	1.39094	127951	8000000	46
2015.01.30	1.39140	1.39870	1.37796	1.38464	155849	0	61
2015.02.02	1.39923	1.40712	1.38600	1.39505	159668	0	6
2015.02.03	1.39523	1.40269	1.38712	1.40029	149775	0	69
2015.02.04	1.40068	1.41287	1.39797	1.40544	161709	0	57
2015.02.05	1.40577	1.41861	1.40039	1.41163	209268	0	85
2015.02.06	1.41157	1.41687	1.39955	1.41119	174305	0	12
2015.02.09	1.41110	1.41707	1.39958	1.40460	162628	0	74
2015.02.10	1.40491	1.41432	1.40362	1.41250	172289	0	69
2015.02.11	1.41262	1.41977	1.40780	1.41455	144349	0	85
2015.02.12	1.41448	1.43586	1.41087	1.43169	187294	0	87
2015.02.13	1.43193	1.43740	1.42250	1.43373	155815	0	72
2015.02.16	1.43724	1.43750	1.42758	1.43081	185867	0	72
2015.02.17	1.43158	1.43893	1.42647	1.43772	195803	0	76
2015.02.18	1.43813	1.45898	1.43002	1.45393	193308	0	73
2015.02.19	1.45417	1.46494	1.44975	1.46314	179707	0	62
2015.02.20	1.46328	1.46843	1.44180	1.44401	206734	0	23
2015.02.23	1.44841	1.47196	1.44399	1.46777	182293	0	58
2015.02.24	1.46771	1.47030	1.46191	1.46852	181903	0	49
2015.02.25	1.46890	1.47346	1.46640	1.47240	149892	0	62
2015.02.26	1.47239	1.47635	1.46577	1.46729	176606	0	61
