DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.53972	1.54254	1.52483	1.53633	1155274	0	39
2015.01.11	1.53835	1.55450	1.18563	1.30048	1320430	0	39
2015.01.18	1.30236	1.33307	1.28343	1.31991	947676	0	24
2015.01.25	1.32050	1.39870	1.31428	1.38464	775291	8000000	46
2015.02.01	1.39923	1.41861	1.38600	1.41119	854725	0	6
2015.02.08	1.41110	1.43740	1.39958	1.43373	822375	0	69
2015.02.15	1.43724	1.46843	1.42647	1.44401	961419	0	23
2015.02.22	1.44841	1.47635	1.44399	1.47232	884322	0	49
2015.03.01	1.47150	1.48691	1.46545	1.48201	1036661	0	62
2015.03.08	1.48415	1.51910	1.47629	1.48152	1184023	0	3
2015.03.15	1.48490	1.49619	1.45089	1.45693	643219	0	1
2015.03.22	1.45968	1.46330	1.41822	1.43026	617287	0	14
2015.03.29	1.43164	1.44490	1.41387	1.41624	884933	0	1
2015.04.05	1.41930	1.44291	1.41795	1.43222	949117	0	1
2015.04.12	1.43363	1.44167	1.42130	1.42276	1415341	0	1
2015.04.19	1.42275	1.46069	1.41939	1.44780	1339661	0	1
2015.04.26	1.44912	1.47099	1.41063	1.41243	1699889	0	1
2015.05.03	1.41407	1.43986	1.38135	1.43870	1425360	0	1
2015.05.10	1.43932	1.46077	1.43237	1.43999	1447540	0	1
2015.05.17	1.44159	1.46823	1.43681	1.46114	1557325	0	1
2015.05.24	1.45972	1.46738	1.42974	1.43695	1505535	0	2
2015.05.31	1.43845	1.44698	1.42474	1.43391	1771540	0	1
2015.06.07	1.43682	1.45413	1.41370	1.44464	1968586	0	1
2015.06.14	1.44613	1.46771	1.44211	1.45757	1528605	0	1
2015.06.21	1.45562	1.47944	1.45024	1.46947	1538009	0	1
2015.06.28	1.47247	1.48359	1.45415	1.46274	1557578	0	1
2015.07.05	1.46787	1.47362	1.44631	1.45592	1607076	0	1
2015.07.12	1.45937	1.50267	1.45533	1.50054	1516114	0	1
2015.07.19	1.49973	1.50558	1.48303	1.49286	1470324	118117543000	2
2015.07.26	1.49263	1.51790	1.47866	1.50836	1534346	344711263000	31
2015.08.02	1.51169	1.53670	1.50530	1.52360	1535693	361473179000	14
2015.08.09	1.52059	1.54084	1.51403	1.52605	1531353	349496269000	19
2015.08.16	1.52845	1.53649	1.48305	1.48351	1480923	341535184000	33
2015.08.23	1.48390	1.49144	1.46006	1.48082	2136460	451227848000	33
2015.08.30	1.48408	1.49100	1.46373	1.47381	1449807	330694965000	14
2015.09.06	1.47526	1.51071	1.47252	1.49519	1376072	357633647000	9
2015.09.13	1.49487	1.50943	1.48954	1.50256	1189601	351018518000	9
2015.09.20	1.50407	1.51169	1.47579	1.48491	1385051	403303608000	13
2015.09.27	1.48666	1.49252	1.46700	1.47406	1494277	409966017000	11
2015.10.04	1.47622	1.49244	1.47020	1.47261	1486614	410812801000	20
2015.10.11	1.47295	1.47884	1.45328	1.47233	1328587	372427850000	17
2015.10.18	1.47244	1.50304	1.46976	1.49830	1390353	366191327000	0
2015.10.25	1.49906	1.52611	1.49511	1.52358	1457548	339013423000	0
2015.11.01	1.52297	1.53504	1.50514	1.51145	1471119	374744323000	0
2015.11.08	1.51269	1.53502	1.50667	1.53143	1527768	401750357000	33
2015.11.15	1.53224	1.55704	1.52653	1.54669	1524765	386198630000	0
2015.11.22	1.54833	1.55299	1.52869	1.54682	1524574	401233098000	33
2015.11.29	1.54846	1.55434	1.49620	1.50568	1848441	455324493000	0
2015.12.06	1.50645	1.51228	1.48589	1.49508	1570703	394115151000	0
2015.12.13	1.49817	1.49826	1.47545	1.47545	1760231	415395255000	0
2015.12.20	1.47945	1.48504	1.45967	1.47497	895028	208013872000	0
2015.12.27	1.47425	1.48008	1.46075	1.47295	794748	199783946000	0
