DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	2.00333	2.00593	1.98841	1.98961	100624	0	35
2015.01.05	1.98936	2.00592	1.97377	1.98336	167984	0	40
2015.01.06	1.98335	1.98505	1.94260	1.95156	160274	0	38
2015.01.07	1.94974	1.95526	1.93900	1.94080	211722	0	0
2015.01.08	1.93924	1.94450	1.92394	1.92796	232564	0	0
2015.01.09	1.92675	1.94011	1.92301	1.93416	256913	0	0
2015.01.12	1.93228	1.95552	1.92723	1.94868	252201	0	0
2015.01.13	1.94830	1.96570	1.94260	1.95852	296398	0	0
2015.01.14	1.95790	1.97380	1.95654	1.97326	350485	0	0
2015.01.15	1.97200	1.97686	1.93167	1.93980	377294	0	0
2015.01.16	1.94117	1.95316	1.93152	1.94450	406793	0	0
2015.01.19	1.94285	1.95112	1.93724	1.94129	272223	0	0
2015.01.20	1.94063	1.98600	1.93504	1.98185	274064	0	0
2015.01.21	1.98196	2.00505	1.96069	2.00422	322628	0	0
2015.01.22	2.00367	2.01444	1.98943	1.99999	288380	0	0
2015.01.23	1.99941	2.01542	1.99300	2.01067	290946	0	0
2015.01.26	2.01596	2.03903	2.00953	2.02969	221834	0	0
2015.01.27	2.02892	2.04236	2.02366	2.03857	228630	0	0
2015.01.28	2.03763	2.06910	2.02561	2.06815	263620	0	0
2015.01.29	2.06745	2.08182	2.05991	2.07299	258821	0	0
2015.01.30	2.07245	2.08638	2.06524	2.07425	245249	0	0
2015.02.02	2.07873	2.08148	2.05379	2.05790	213013	0	0
2015.02.03	2.05726	2.09327	2.04156	2.05982	272161	0	0
2015.02.04	2.06053	2.07635	2.03441	2.06001	278619	0	0
2015.02.05	2.05659	2.07544	2.05382	2.07176	253695	0	0
2015.02.06	2.07077	2.08074	2.05807	2.07007	254472	0	0
2015.02.09	2.07059	2.07526	2.04465	2.05257	270172	0	0
2015.02.10	2.05170	2.06318	2.04632	2.05982	305465	0	0
2015.02.11	2.05920	2.07271	2.04882	2.06771	301145	0	0
2015.02.12	2.06809	2.08560	2.05370	2.07099	399859	0	0
2015.02.13	2.07084	2.07443	2.05904	2.06410	314946	0	0
2015.02.16	2.06069	2.06159	2.04259	2.04722	344922	0	0
2015.02.17	2.04814	2.05202	2.03099	2.03507	319370	0	0
2015.02.18	2.03398	2.05533	2.03336	2.04513	313097	0	0
