DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	08:00:00	2.00333	2.00593	1.99672	1.99745	22451	0	35
2015.01.02	12:00:00	1.99745	2.00184	1.99346	1.99928	29015	0	46
2015.01.02	16:00:00	1.99929	2.00030	1.98983	1.99399	30812	0	44
2015.01.02	20:00:00	1.99399	1.99416	1.98841	1.98961	18346	0	52
2015.01.05	00:00:00	1.98936	1.99690	1.97567	1.99581	33361	0	64
2015.01.05	04:00:00	1.99580	2.00592	1.99363	2.00095	21474	0	45
2015.01.05	08:00:00	2.00095	2.00415	1.99380	1.99471	30668	0	45
2015.01.05	12:00:00	1.99471	1.99608	1.97833	1.97940	34085	0	45
2015.01.05	16:00:00	1.97943	1.98197	1.97377	1.97780	31332	0	40
2015.01.05	20:00:00	1.97778	1.98455	1.97766	1.98336	17064	0	43
2015.01.06	00:00:00	1.98335	1.98505	1.97869	1.97964	17364	0	60
2015.01.06	04:00:00	1.97962	1.98000	1.97100	1.97203	19630	0	47
2015.01.06	08:00:00	1.97203	1.97242	1.96146	1.96440	31064	0	38
2015.01.06	12:00:00	1.96440	1.96634	1.95663	1.95927	31874	0	42
2015.01.06	16:00:00	1.95928	1.96248	1.94260	1.94681	36450	0	42
2015.01.06	20:00:00	1.94679	1.95278	1.94501	1.95156	23892	0	47
2015.01.07	00:00:00	1.94974	1.95526	1.93900	1.95112	71913	0	0
2015.01.07	04:00:00	1.95112	1.95381	1.95010	1.95185	17606	0	33
2015.01.07	08:00:00	1.95185	1.95490	1.94778	1.95106	30492	0	35
2015.01.07	12:00:00	1.95104	1.95493	1.94891	1.95336	33700	0	45
2015.01.07	16:00:00	1.95335	1.95363	1.94443	1.94522	32512	0	43
2015.01.07	20:00:00	1.94521	1.94579	1.93974	1.94080	25499	0	41
2015.01.08	00:00:00	1.93924	1.94450	1.92394	1.94317	105144	0	0
2015.01.08	04:00:00	1.94317	1.94323	1.93377	1.93408	17603	0	45
2015.01.08	08:00:00	1.93407	1.93690	1.92476	1.92739	28419	0	41
2015.01.08	12:00:00	1.92739	1.93634	1.92633	1.93363	31065	0	36
2015.01.08	16:00:00	1.93362	1.93541	1.92953	1.93140	31274	0	38
2015.01.08	20:00:00	1.93134	1.93347	1.92791	1.92796	19059	0	43
2015.01.09	00:00:00	1.92675	1.93929	1.92301	1.92885	126027	0	0
2015.01.09	04:00:00	1.92884	1.92885	1.92383	1.92730	18538	0	34
2015.01.09	08:00:00	1.92730	1.93966	1.92686	1.93624	27453	0	29
2015.01.09	12:00:00	1.93625	1.94011	1.93122	1.93570	31196	0	39
2015.01.09	16:00:00	1.93570	1.93994	1.93051	1.93453	35554	0	43
2015.01.09	20:00:00	1.93457	1.93696	1.93340	1.93416	18145	0	39
2015.01.12	00:00:00	1.93228	1.95459	1.92723	1.93196	118978	0	0
2015.01.12	04:00:00	1.93198	1.93333	1.92820	1.93213	18818	0	43
2015.01.12	08:00:00	1.93213	1.94682	1.93207	1.94650	30106	0	28
2015.01.12	12:00:00	1.94645	1.95552	1.94332	1.95461	31821	0	33
2015.01.12	16:00:00	1.95462	1.95539	1.94809	1.95279	33421	0	36
2015.01.12	20:00:00	1.95277	1.95348	1.94859	1.94868	19057	0	43
2015.01.13	00:00:00	1.94830	1.96492	1.94260	1.95083	148495	0	0
2015.01.13	04:00:00	1.95077	1.95199	1.94672	1.95169	24173	0	39
2015.01.13	08:00:00	1.95170	1.95199	1.94333	1.94774	31853	0	40
2015.01.13	12:00:00	1.94775	1.96212	1.94651	1.96150	34381	0	42
2015.01.13	16:00:00	1.96149	1.96570	1.95927	1.96158	33900	0	41
2015.01.13	20:00:00	1.96135	1.96435	1.95819	1.95852	23596	0	36
2015.01.14	00:00:00	1.95790	1.97355	1.95654	1.96197	192375	0	0
2015.01.14	04:00:00	1.96204	1.96767	1.96135	1.96508	27700	0	37
2015.01.14	08:00:00	1.96508	1.97001	1.95910	1.96238	36771	0	38
2015.01.14	12:00:00	1.96240	1.96963	1.96015	1.96498	34477	0	44
2015.01.14	16:00:00	1.96499	1.96868	1.96288	1.96743	36514	0	39
2015.01.14	20:00:00	1.96744	1.97380	1.96723	1.97326	22648	0	46
2015.01.15	00:00:00	1.97200	1.97686	1.93167	1.97530	205870	0	0
2015.01.15	04:00:00	1.97529	1.97545	1.96719	1.96989	21291	0	45
2015.01.15	08:00:00	1.96989	1.97123	1.94931	1.95110	33532	0	37
2015.01.15	12:00:00	1.95102	1.97087	1.93267	1.94099	44570	0	53
2015.01.15	16:00:00	1.94105	1.95181	1.93498	1.93620	42203	0	54
2015.01.15	20:00:00	1.93622	1.94528	1.93499	1.93980	29828	0	55
2015.01.16	00:00:00	1.94117	1.95246	1.93152	1.93416	244867	0	0
2015.01.16	04:00:00	1.93415	1.93783	1.93243	1.93574	26654	0	54
2015.01.16	08:00:00	1.93575	1.95304	1.93386	1.95226	33628	0	49
2015.01.16	12:00:00	1.95229	1.95316	1.94466	1.94841	35629	0	37
2015.01.16	16:00:00	1.94846	1.95068	1.94237	1.94492	40375	0	50
2015.01.16	20:00:00	1.94484	1.94899	1.94127	1.94450	25640	0	52
2015.01.19	00:00:00	1.94285	1.95015	1.93724	1.94365	153966	0	0
2015.01.19	04:00:00	1.94367	1.94433	1.94037	1.94274	13904	0	40
2015.01.19	08:00:00	1.94273	1.94768	1.93820	1.94509	29605	0	32
2015.01.19	12:00:00	1.94510	1.94772	1.94274	1.94514	28903	0	29
2015.01.19	16:00:00	1.94514	1.95112	1.94414	1.94616	26730	0	26
2015.01.19	20:00:00	1.94627	1.94674	1.94039	1.94129	19115	0	33
2015.01.20	00:00:00	1.94063	1.98600	1.93504	1.94013	143086	0	0
2015.01.20	04:00:00	1.94014	1.95252	1.93862	1.95170	18915	0	35
2015.01.20	08:00:00	1.95171	1.95970	1.95006	1.95874	30678	0	31
2015.01.20	12:00:00	1.95881	1.97079	1.95661	1.97046	30891	0	27
2015.01.20	16:00:00	1.97047	1.97776	1.96691	1.97138	30560	0	28
2015.01.20	20:00:00	1.97157	1.98557	1.96990	1.98185	19934	0	34
2015.01.21	00:00:00	1.98196	2.00433	1.96069	1.98014	181276	0	0
2015.01.21	04:00:00	1.98015	1.98180	1.97675	1.97952	19648	0	29
