DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.98936	2.00592	1.92301	1.93416	1029457	0	0
2015.01.11	1.93228	1.97686	1.92723	1.94450	1683171	0	0
2015.01.18	1.94285	2.01542	1.93504	2.01067	1448241	0	0
2015.01.25	2.01596	2.08638	2.00953	2.07425	1218154	0	0
2015.02.01	2.07873	2.09327	2.03441	2.07007	1271960	0	0
2015.02.08	2.07059	2.08560	2.04465	2.06410	1591587	0	0
2015.02.15	2.06069	2.06159	2.03099	2.04573	1598812	0	0
2015.02.22	2.04419	2.07689	2.03476	2.03986	1593426	0	0
2015.03.01	2.04061	2.04924	2.00434	2.04162	1559385	0	0
2015.03.08	2.04150	2.08339	2.00536	2.00875	1994135	0	0
2015.03.15	2.01268	2.02694	1.96903	1.97533	1091757	0	0
2015.03.22	1.97472	1.97816	1.93576	1.96509	1251358	0	0
2015.03.29	1.96963	1.99968	1.95609	1.96034	1038926	0	0
2015.04.05	1.96519	1.98146	1.93650	1.94073	875820	0	0
2015.04.12	1.94226	1.97205	1.94063	1.94580	1216027	0	0
2015.04.19	1.94012	2.00281	1.92940	1.99826	1576880	0	0
2015.04.26	1.99809	2.03568	1.97859	2.00839	1177055	0	0
2015.05.03	2.01011	2.08543	1.99954	2.06141	1148958	0	0
2015.05.10	2.06851	2.13990	2.06851	2.10663	1279067	0	0
2015.05.17	2.11092	2.14832	2.08972	2.11915	1488885	0	0
2015.05.24	2.11471	2.15553	2.10785	2.15185	1411497	0	0
2015.05.31	2.15800	2.17094	2.13047	2.16535	1486032	0	0
2015.06.07	2.16503	2.23234	2.13278	2.22540	1449803	0	0
2015.06.14	2.22382	2.30547	2.21436	2.29717	1161270	0	0
2015.06.21	2.29884	2.30928	2.26618	2.30220	1119602	0	0
2015.06.28	2.29604	2.33841	2.28525	2.32540	1204807	0	0
2015.07.05	2.32948	2.34729	2.26921	2.30920	1159784	0	0
2015.07.12	2.31065	2.40218	2.29718	2.38932	1184113	0	0
2015.07.19	2.39244	2.39637	2.32845	2.35752	1164760	0	0
2015.07.26	2.35988	2.38341	2.31501	2.36636	1340755	220026721761	0
2015.08.02	2.36409	2.40296	2.33380	2.33786	1258341	255098022993	0
