DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.55538	1.55562	1.53242	1.53244	198019	0	12
2015.01.05	1.53008	1.53185	1.51718	1.52483	281484	0	12
2015.01.06	1.52462	1.52729	1.51398	1.51485	281163	0	12
2015.01.07	1.51498	1.51546	1.50530	1.51084	308022	0	12
2015.01.08	1.51083	1.51166	1.50328	1.50882	242718	0	11
2015.01.09	1.50838	1.51746	1.50759	1.51571	293183	0	10
2015.01.12	1.51782	1.51929	1.50973	1.51694	224077	0	12
2015.01.13	1.51718	1.51908	1.50754	1.51582	275253	0	12
2015.01.14	1.51579	1.52678	1.51438	1.52320	310552	0	12
2015.01.15	1.52327	1.52665	1.51488	1.51805	442953	0	11
2015.01.16	1.51818	1.52336	1.50734	1.51450	372695	0	9
2015.01.19	1.51368	1.51780	1.51072	1.51098	260554	0	8
2015.01.20	1.51105	1.51985	1.50558	1.51417	188743	0	12
2015.01.21	1.51442	1.51780	1.50747	1.51399	242933	0	14
2015.01.22	1.51409	1.52114	1.49707	1.50076	295467	0	14
2015.01.23	1.50089	1.50346	1.49497	1.49876	301567	0	11
2015.01.26	1.50095	1.51026	1.49858	1.50758	209662	0	15
2015.01.27	1.50738	1.52227	1.50581	1.51958	246733	16414778000	1
2015.01.28	1.51941	1.52185	1.51295	1.51364	254963	0	1
2015.01.29	1.51357	1.51616	1.50168	1.50642	190081	8000000	6
2015.01.30	1.50630	1.50950	1.49875	1.50619	197189	0	13
2015.02.02	1.50940	1.50993	1.50041	1.50373	194663	0	8
2015.02.03	1.50384	1.51970	1.49866	1.51650	227831	0	8
2015.02.04	1.51644	1.52499	1.51376	1.51801	208062	0	2
2015.02.05	1.51824	1.53427	1.51642	1.53264	212805	0	8
2015.02.06	1.53259	1.53516	1.52095	1.52250	195914	0	8
2015.02.09	1.52287	1.52662	1.51990	1.52136	176260	0	6
2015.02.10	1.52152	1.52746	1.51950	1.52530	190961	0	8
2015.02.11	1.52533	1.52988	1.52175	1.52358	178734	0	6
2015.02.12	1.52355	1.54134	1.52075	1.53825	235797	0	6
2015.02.13	1.53825	1.54215	1.53696	1.53928	183178	0	8
2015.02.16	1.54241	1.54396	1.53379	1.53613	193624	0	8
2015.02.17	1.53643	1.54013	1.53146	1.53518	181959	0	10
2015.02.18	1.53508	1.54787	1.53403	1.54344	208646	0	8
2015.02.19	1.54356	1.54649	1.54027	1.54134	177965	0	8
2015.02.20	1.54138	1.54333	1.53420	1.53983	213669	0	1
2015.02.23	1.53965	1.54739	1.53310	1.54558	140091	0	8
2015.02.24	1.54551	1.54733	1.54005	1.54515	166821	0	8
2015.02.25	1.54536	1.55380	1.54456	1.55273	150075	0	8
2015.02.26	1.55266	1.55516	1.53928	1.54051	180270	0	8
2015.02.27	1.54052	1.54580	1.53827	1.54365	176061	0	7
2015.03.02	1.54205	1.54281	1.53498	1.53636	137159	0	8
2015.03.03	1.53635	1.53970	1.53432	1.53588	127681	0	7
2015.03.04	1.53589	1.53713	1.52504	1.52638	158673	0	6
2015.03.05	1.52633	1.52690	1.52136	1.52388	181914	0	8
2015.03.06	1.52385	1.52554	1.50303	1.50333	203112	0	8
2015.03.09	1.50367	1.51366	1.50311	1.51272	144289	0	5
2015.03.10	1.51263	1.51296	1.50273	1.50534	217964	0	6
2015.03.11	1.50685	1.50959	1.48918	1.49281	257033	0	8
2015.03.12	1.49282	1.50260	1.48485	1.48845	240167	0	8
2015.03.13	1.48804	1.48962	1.46977	1.47397	217996	0	6
2015.03.16	1.47453	1.48529	1.47314	1.48253	124521	0	2
2015.03.17	1.48265	1.48447	1.47225	1.47428	128965	0	1
2015.03.18	1.47476	1.51648	1.46330	1.49574	160913	0	1
2015.03.19	1.49783	1.50094	1.46870	1.47543	185020	0	2
2015.03.20	1.47517	1.49880	1.47208	1.49450	152488	0	10
2015.03.23	1.49709	1.49881	1.48372	1.49535	156939	0	6
2015.03.24	1.49515	1.49835	1.48411	1.48428	154050	0	10
2015.03.25	1.48478	1.49533	1.48297	1.48844	131276	0	10
2015.03.26	1.48792	1.49933	1.48057	1.48499	148700	0	6
2015.03.27	1.48481	1.49210	1.47952	1.48700	140663	0	8
2015.03.30	1.48853	1.49003	1.47513	1.48092	196671	0	8
2015.03.31	1.48091	1.48710	1.47538	1.48164	218238	0	14
2015.04.01	1.48142	1.48707	1.47381	1.48224	251760	0	8
2015.04.02	1.48238	1.48679	1.47754	1.48268	204912	0	4
2015.04.03	1.48272	1.49445	1.48089	1.49179	144130	0	12
2015.04.06	1.49226	1.49806	1.48693	1.48785	99075	0	6
2015.04.07	1.48764	1.49197	1.48020	1.48069	208720	0	4
2015.04.08	1.48074	1.49727	1.48066	1.48662	225699	0	4
2015.04.09	1.48663	1.48855	1.46829	1.47111	204185	0	4
2015.04.10	1.47110	1.47241	1.45857	1.46310	206498	0	4
2015.04.13	1.46198	1.46809	1.45644	1.46745	207676	0	4
2015.04.14	1.46737	1.48011	1.46020	1.47798	238694	0	4
2015.04.15	1.47793	1.48533	1.46993	1.48412	243600	0	4
2015.04.16	1.48403	1.49690	1.48106	1.49320	268304	0	8
2015.04.17	1.49313	1.50527	1.49149	1.49595	244721	0	4
2015.04.20	1.49609	1.49831	1.48866	1.49075	198627	0	4
2015.04.21	1.49050	1.49724	1.48549	1.49251	221577	0	2
2015.04.22	1.49261	1.50792	1.49121	1.50399	250980	0	2
2015.04.23	1.50342	1.50696	1.49583	1.50584	245879	0	2
2015.04.24	1.50551	1.51868	1.50258	1.51855	251750	0	2
2015.04.27	1.51758	1.52614	1.51055	1.52341	220554	0	2
2015.04.28	1.52359	1.53424	1.51719	1.53395	253501	0	2
2015.04.29	1.53375	1.54977	1.53262	1.54377	335264	0	2
2015.04.30	1.54356	1.54918	1.53024	1.53524	351702	0	2
2015.05.01	1.53504	1.53965	1.51130	1.51473	236639	0	2
2015.05.04	1.51461	1.51742	1.50888	1.51203	200881	0	1
2015.05.05	1.51171	1.52172	1.50875	1.51807	188553	0	1
2015.05.06	1.51791	1.52904	1.51485	1.52415	246563	0	1
2015.05.07	1.52476	1.52743	1.51622	1.52436	209930	0	3
2015.05.08	1.52526	1.55212	1.52460	1.54426	323575	0	6
2015.05.11	1.54462	1.56120	1.53917	1.55847	215562	0	7
2015.05.12	1.55848	1.57096	1.55559	1.56681	255037	0	8
2015.05.13	1.56695	1.57683	1.56318	1.57436	249429	0	7
2015.05.14	1.57448	1.58149	1.57271	1.57747	237423	0	7
2015.05.15	1.57734	1.58076	1.56998	1.57271	242935	0	7
2015.05.18	1.57435	1.57446	1.56363	1.56515	209885	0	1
2015.05.19	1.56530	1.56689	1.54451	1.55099	291499	0	8
2015.05.20	1.55108	1.55870	1.54708	1.55342	315112	0	8
2015.05.21	1.55340	1.56991	1.55236	1.56600	287527	0	7
2015.05.22	1.56601	1.56888	1.54586	1.54957	290239	0	8
2015.05.25	1.54746	1.55069	1.54552	1.54675	131174	0	15
2015.05.26	1.54669	1.54747	1.53525	1.53819	300012	0	6
2015.05.27	1.53834	1.54364	1.52997	1.53499	290101	0	8
2015.05.28	1.53552	1.53847	1.52590	1.53119	289525	0	10
2015.05.29	1.53182	1.53413	1.52348	1.52842	268193	0	9
2015.06.01	1.52953	1.53038	1.51687	1.51989	292222	0	7
2015.06.02	1.51984	1.53666	1.51781	1.53424	346409	0	6
2015.06.03	1.53426	1.53743	1.52495	1.53383	261514	0	3
2015.06.04	1.53387	1.54405	1.53024	1.53608	208288	0	1
2015.06.05	1.53622	1.53688	1.51889	1.52711	358391	0	8
2015.06.08	1.52564	1.53632	1.52197	1.53471	284509	0	8
2015.06.09	1.53469	1.53884	1.52558	1.53837	320548	0	8
2015.06.10	1.53845	1.55529	1.53674	1.55285	386956	0	1
2015.06.11	1.55278	1.55330	1.54198	1.55157	293671	0	1
2015.06.12	1.55163	1.55975	1.54654	1.55571	287787	0	1
2015.06.15	1.55470	1.56133	1.54859	1.55995	240961	0	1
2015.06.16	1.56003	1.56536	1.55407	1.56461	279636	0	2
2015.06.17	1.56469	1.58464	1.56241	1.58303	368557	0	4
2015.06.18	1.58313	1.59293	1.58045	1.58769	351370	0	8
2015.06.19	1.58769	1.58959	1.58341	1.58760	240808	0	8
2015.06.22	1.58728	1.59093	1.58038	1.58225	251258	0	8
2015.06.23	1.58220	1.58309	1.57072	1.57286	293150	0	8
2015.06.24	1.57290	1.58021	1.56658	1.57031	289828	0	8
2015.06.25	1.57041	1.57698	1.56751	1.57455	281133	0	8
2015.06.26	1.57468	1.57663	1.57069	1.57455	257673	0	8
2015.06.29	1.56969	1.57878	1.56613	1.57352	452899	0	8
2015.06.30	1.57359	1.57755	1.56911	1.57065	366057	0	8
2015.07.01	1.57113	1.57332	1.55869	1.56146	329025	0	6
2015.07.02	1.56139	1.56394	1.55618	1.56068	273414	0	4
2015.07.03	1.56059	1.56433	1.55556	1.55773	249237	0	4
2015.07.06	1.55472	1.56278	1.55303	1.56016	315713	0	5
2015.07.07	1.56025	1.56090	1.54119	1.54609	370150	0	5
2015.07.08	1.54606	1.54666	1.53286	1.53606	332519	0	5
2015.07.09	1.53587	1.54199	1.53421	1.53790	298496	0	5
2015.07.10	1.53813	1.55501	1.53626	1.55129	321477	0	5
2015.07.13	1.55011	1.55884	1.54798	1.54842	323262	0	5
2015.07.14	1.54875	1.56384	1.54494	1.56348	328747	0	5
2015.07.15	1.56348	1.56744	1.55752	1.56365	317670	0	5
2015.07.16	1.56374	1.56500	1.55589	1.56066	348249	0	5
2015.07.17	1.56093	1.56723	1.55525	1.56054	253413	0	8
2015.07.20	1.56037	1.56269	1.55366	1.55595	242695	0	8
2015.07.21	1.55636	1.55900	1.55277	1.55528	326452	0	6
2015.07.22	1.55536	1.56460	1.55441	1.56107	421633	0	5
2015.07.23	1.56109	1.56701	1.54996	1.55129	342199	103386484000	8
2015.07.24	1.55118	1.55256	1.54653	1.55127	265086	102987460000	11
2015.07.27	1.55134	1.55948	1.54889	1.55568	314923	118164786000	8
2015.07.28	1.55597	1.56272	1.55265	1.56105	316463	128861822000	11
2015.07.29	1.56135	1.56891	1.55863	1.56042	353906	130967523000	8
2015.07.30	1.56000	1.56429	1.55612	1.55994	335208	136902529000	0
2015.07.31	1.55994	1.56778	1.55478	1.56201	400291	152305027000	5
2015.08.03	1.56305	1.56443	1.55639	1.55846	338862	153419597000	9
2015.08.04	1.55850	1.56333	1.55565	1.55603	361451	165919873000	11
2015.08.05	1.55614	1.56507	1.55247	1.55976	380328	151129646000	8
2015.08.06	1.56013	1.56363	1.54656	1.55099	331938	134603506000	11
2015.08.07	1.55109	1.55452	1.54231	1.54958	354199	112349599000	11
2015.08.10	1.54945	1.56053	1.54567	1.55842	269191	90213179000	10
2015.08.11	1.55914	1.56162	1.55540	1.55654	329934	109731551000	5
2015.08.12	1.55687	1.56594	1.55330	1.56058	364622	122401901000	11
2015.08.13	1.56119	1.56363	1.55717	1.56058	279436	89498798000	4
2015.08.14	1.56092	1.56592	1.55873	1.56407	258233	93517820000	11
2015.08.17	1.56538	1.56875	1.55775	1.55810	278523	123800847000	11
2015.08.18	1.55857	1.57166	1.55609	1.56548	276710	121758909000	11
2015.08.19	1.56586	1.57000	1.56338	1.56750	363721	144995693000	10
2015.08.20	1.56782	1.57011	1.56046	1.56833	340170	137256453000	11
2015.08.21	1.56897	1.57228	1.56566	1.56853	380551	150924455000	11
2015.08.24	1.56773	1.58028	1.56289	1.57697	581783	131915816000	10
2015.08.25	1.57752	1.58186	1.56799	1.56808	488322	161882847000	11
2015.08.26	1.56859	1.57195	1.54512	1.54578	462368	164646242000	11
2015.08.27	1.54611	1.55083	1.53685	1.53979	376128	147281640000	11
2015.08.28	1.54007	1.54425	1.53337	1.53897	334388	136502219000	11
2015.08.31	1.54125	1.54363	1.53378	1.53415	249558	105521325000	11
2015.09.01	1.53420	1.54074	1.52985	1.53018	344202	126631992000	8
2015.09.02	1.53024	1.53253	1.52627	1.52964	329268	132511145000	11
2015.09.03	1.52966	1.53129	1.52177	1.52543	292832	118448792000	11
2015.09.04	1.52556	1.52758	1.51623	1.51675	266577	117095611000	11
2015.09.07	1.51786	1.52878	1.51701	1.52739	303161	99866071000	11
2015.09.08	1.52727	1.54121	1.52689	1.53926	267343	112112797000	11
2015.09.09	1.53926	1.54040	1.53482	1.53641	262917	123736848000	11
2015.09.10	1.53688	1.54756	1.53372	1.54410	327297	135063525000	11
2015.09.11	1.54440	1.54612	1.53985	1.54270	264879	110006122000	9
2015.09.14	1.54285	1.54706	1.53709	1.54231	219221	91666295000	9
2015.09.15	1.54256	1.54566	1.53282	1.53412	207321	105012568000	11
2015.09.16	1.53422	1.55281	1.53292	1.54903	208136	109660138000	9
2015.09.17	1.54920	1.56275	1.54847	1.55878	322649	126511183000	4
2015.09.18	1.55882	1.56579	1.55125	1.55243	277312	139421423000	11
2015.09.21	1.55251	1.55674	1.54791	1.55055	247539	120039613000	10
2015.09.22	1.55053	1.55279	1.53391	1.53612	268943	121203347000	10
2015.09.23	1.53615	1.53664	1.52193	1.52413	290381	120670596000	11
2015.09.24	1.52420	1.52885	1.51991	1.52403	306131	134429893000	11
2015.09.25	1.52419	1.52600	1.51339	1.51773	289705	124370987000	11
2015.09.28	1.51916	1.52406	1.51559	1.51716	245976	109631578000	10
2015.09.29	1.51731	1.52045	1.51275	1.51483	278211	122011468000	11
2015.09.30	1.51495	1.52132	1.51062	1.51260	274622	122026562000	6
2015.10.01	1.51263	1.51796	1.51057	1.51282	250067	109219383000	0
2015.10.02	1.51300	1.52370	1.51269	1.51768	295827	116355762000	11
2015.10.05	1.51963	1.52440	1.51349	1.51431	298764	136093394000	11
2015.10.06	1.51450	1.52429	1.51385	1.52230	238629	106659801000	9
2015.10.07	1.52247	1.53391	1.52180	1.53148	275014	121745289000	11
2015.10.08	1.53166	1.53717	1.52598	1.53450	291110	123882856000	5
2015.10.09	1.53468	1.53828	1.52985	1.53238	271035	120381327000	10
2015.10.12	1.53193	1.53728	1.53039	1.53465	220825	100128601000	4
2015.10.13	1.53472	1.53872	1.51987	1.52462	287528	122989194000	11
2015.10.14	1.52465	1.54939	1.52459	1.54762	285151	127411189000	11
2015.10.15	1.54753	1.55081	1.54137	1.54511	296626	129216480000	11
2015.10.16	1.54426	1.54860	1.54290	1.54357	256038	114093684000	11
2015.10.19	1.54407	1.54966	1.54262	1.54646	218888	104951895000	11
2015.10.20	1.54621	1.55058	1.54340	1.54409	241325	106768940000	11
2015.10.21	1.54420	1.54769	1.54105	1.54183	229371	110797805000	11
2015.10.22	1.54138	1.55101	1.53452	1.53931	321894	141712322000	0
2015.10.23	1.53921	1.54185	1.53050	1.53120	297955	134933124000	11
2015.10.26	1.53177	1.53814	1.53037	1.53488	242973	116724147000	0
2015.10.27	1.53497	1.53583	1.52810	1.53041	240811	103728468000	0
2015.10.28	1.52999	1.53467	1.52471	1.52666	285242	113140935000	0
2015.10.29	1.52596	1.53210	1.52409	1.53113	262841	115621839000	0
2015.10.30	1.53086	1.54673	1.53065	1.54275	288137	121603785000	11
2015.11.02	1.54498	1.54971	1.54024	1.54153	216302	106263362000	11
2015.11.03	1.54146	1.54447	1.53579	1.54215	230313	116700539000	0
2015.11.04	1.54185	1.54446	1.53594	1.53831	254392	113903714000	11
2015.11.05	1.53827	1.54011	1.52036	1.52059	288604	119625278000	11
2015.11.06	1.52066	1.52189	1.50255	1.50430	274290	122124847000	0
2015.11.09	1.50518	1.51278	1.50381	1.51123	223626	118245863000	9
2015.11.10	1.51141	1.51449	1.50900	1.51179	217622	122680808000	9
2015.11.11	1.51146	1.52204	1.51143	1.52115	232865	113405298000	0
2015.11.12	1.52112	1.52460	1.51725	1.52317	280877	148854885000	0
2015.11.13	1.52296	1.52648	1.51861	1.52299	228554	113451475000	0
2015.11.16	1.52284	1.52308	1.51799	1.51998	215229	104867592000	11
2015.11.17	1.52006	1.52381	1.51530	1.52120	228979	112033676000	0
2015.11.18	1.52106	1.52481	1.51866	1.52311	234818	108895362000	11
2015.11.19	1.52354	1.53351	1.52264	1.52914	256163	121508273000	11
2015.11.20	1.52893	1.53093	1.51814	1.51892	224260	112752972000	11
2015.11.23	1.51868	1.51957	1.51076	1.51228	241344	123417471000	11
2015.11.24	1.51229	1.51551	1.50530	1.50786	247990	127565996000	8
2015.11.25	1.50825	1.51356	1.50545	1.51286	259956	127145082000	0
2015.11.26	1.51271	1.51299	1.50646	1.51013	231302	105034887000	11
2015.11.27	1.51009	1.51092	1.50289	1.50331	225695	103534429000	0
2015.11.30	1.50344	1.50680	1.49922	1.50556	206623	106606193000	11
2015.12.01	1.50547	1.51251	1.50491	1.50794	256822	116533558000	0
2015.12.02	1.50796	1.50820	1.48935	1.49495	271746	129657337000	0
2015.12.03	1.49505	1.51586	1.49026	1.51434	373430	164556866000	0
2015.12.04	1.51431	1.51563	1.50764	1.51049	366772	157111368000	11
2015.12.07	1.51071	1.51141	1.50434	1.50526	237701	113417873000	11
2015.12.08	1.50528	1.50609	1.49551	1.50071	283661	138376027000	11
2015.12.09	1.50058	1.51913	1.50030	1.51806	312675	143919843000	11
2015.12.10	1.51794	1.52015	1.51094	1.51572	286069	116816154000	11
2015.12.11	1.51579	1.52391	1.51237	1.52226	261148	116656483000	11
2015.12.14	1.52282	1.52311	1.51061	1.51394	287253	133741142000	11
2015.12.15	1.51397	1.51845	1.50279	1.50350	279443	121968736000	11
2015.12.16	1.50375	1.50984	1.49588	1.49998	368586	139584924000	11
2015.12.17	1.50017	1.50089	1.48635	1.48975	296973	130711733000	0
2015.12.18	1.48990	1.49495	1.48843	1.48867	277588	116159290000	11
2015.12.21	1.49003	1.49289	1.48759	1.48815	241211	106578856000	11
2015.12.22	1.48837	1.49074	1.48041	1.48256	243811	106791206000	11
2015.12.23	1.48265	1.49000	1.48181	1.48693	219488	96042498000	11
2015.12.24	1.48680	1.49438	1.48482	1.49406	147133	56487485000	0
2015.12.28	1.49089	1.49340	1.48726	1.48785	159420	66535633000	11
2015.12.29	1.48790	1.49127	1.47840	1.48125	188980	80801975000	0
2015.12.30	1.48152	1.48482	1.47915	1.48120	210788	93589130000	0
2015.12.31	1.48160	1.48438	1.47313	1.47317	173647	71242011000	0
2016.01.04	1.47361	1.48152	1.46626	1.47167	300755	122029446000	11
2016.01.05	1.47139	1.47250	1.46368	1.46720	253215	123940884000	0
2016.01.06	1.46740	1.46816	1.46012	1.46295	300394	131807778000	11
2016.01.07	1.46298	1.46398	1.45317	1.46150	333273	143824921000	0
2016.01.08	1.46161	1.46444	1.45048	1.45156	330674	135177761000	11
2016.01.11	1.45263	1.46040	1.44909	1.45395	270650	111383258000	2
2016.01.12	1.45415	1.45599	1.43506	1.44456	296826	132279115000	0
2016.01.13	1.44451	1.44755	1.43784	1.44051	299305	133432869000	11
2016.01.14	1.44060	1.44447	1.43587	1.44090	319805	134947816000	11
2016.01.15	1.44100	1.44272	1.42503	1.42543	342750	134107123000	11
2016.01.18	1.42489	1.43227	1.42356	1.42414	263332	118616906000	11
2016.01.19	1.42414	1.43396	1.41277	1.41557	336454	146827609000	11
2016.01.20	1.41553	1.42186	1.41239	1.41897	347481	159160490000	11
2016.01.21	1.41881	1.42485	1.40790	1.42198	381711	164699613000	0
2016.01.22	1.42193	1.43620	1.42033	1.42645	323723	143739345000	4
2016.01.25	1.42683	1.43092	1.42221	1.42467	292645	140938553000	0
2016.01.26	1.42471	1.43666	1.41718	1.43487	323863	145569512000	0
2016.01.27	1.43487	1.43547	1.42285	1.42327	352112	163582852000	0
2016.01.28	1.42320	1.44069	1.42315	1.43581	365574	153963058000	11
2016.01.29	1.43591	1.44128	1.41480	1.42422	435637	158826704000	11
2016.02.01	1.42505	1.44444	1.42269	1.44308	319183	125479786000	10
2016.02.02	1.44315	1.44453	1.43247	1.44069	314492	117442911000	11
2016.02.03	1.44088	1.46486	1.43824	1.46017	368221	131414072000	11
2016.02.04	1.46013	1.46679	1.45282	1.45866	411400	147774002000	11
2016.02.05	1.45867	1.45905	1.44506	1.45001	344742	158943388000	11
2016.02.08	1.44954	1.45463	1.43493	1.44290	404735	197985576000	11
2016.02.09	1.44297	1.45149	1.43767	1.44710	496231	209460058000	11
2016.02.10	1.44701	1.45778	1.44393	1.45187	455235	195798249000	11
