DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.53008	1.53185	1.50328	1.51571	1406570	0	10
2015.01.11	1.51782	1.52678	1.50734	1.51450	1625530	0	9
2015.01.18	1.51368	1.52114	1.49497	1.49876	1289264	0	8
2015.01.25	1.50095	1.52227	1.49858	1.50619	1098628	16422778000	1
2015.02.01	1.50940	1.53516	1.49866	1.52250	1039275	0	2
2015.02.08	1.52287	1.54215	1.51950	1.53928	964930	0	6
2015.02.15	1.54241	1.54787	1.53146	1.53983	975863	0	1
2015.02.22	1.53965	1.55516	1.53310	1.54365	813318	0	7
2015.03.01	1.54205	1.54281	1.50303	1.50333	808539	0	6
2015.03.08	1.50367	1.51366	1.46977	1.47397	1077449	0	5
2015.03.15	1.47453	1.51648	1.46330	1.49450	751907	0	1
2015.03.22	1.49709	1.49933	1.47952	1.48700	731628	0	6
2015.03.29	1.48853	1.49445	1.47381	1.49179	1015711	0	4
2015.04.05	1.49226	1.49806	1.45857	1.46310	944177	0	4
2015.04.12	1.46198	1.50527	1.45644	1.49595	1202995	0	4
2015.04.19	1.49609	1.51868	1.48549	1.51855	1168813	0	2
2015.04.26	1.51758	1.54977	1.51055	1.51473	1397660	0	2
2015.05.03	1.51461	1.55212	1.50875	1.54426	1169502	0	1
2015.05.10	1.54462	1.58149	1.53917	1.57271	1200386	0	7
2015.05.17	1.57435	1.57446	1.54451	1.54957	1394262	0	1
2015.05.24	1.54746	1.55069	1.52348	1.52842	1279005	0	6
2015.05.31	1.52953	1.54405	1.51687	1.52711	1466824	0	1
2015.06.07	1.52564	1.55975	1.52197	1.55571	1573471	0	1
2015.06.14	1.55470	1.59293	1.54859	1.58760	1481332	0	1
2015.06.21	1.58728	1.59093	1.56658	1.57455	1373042	0	8
2015.06.28	1.56969	1.57878	1.55556	1.55773	1670632	0	4
2015.07.05	1.55472	1.56278	1.53286	1.55129	1638355	0	5
2015.07.12	1.55011	1.56744	1.54494	1.56054	1571341	0	5
2015.07.19	1.56037	1.56701	1.54653	1.55127	1598065	206373944000	5
2015.07.26	1.55134	1.56891	1.54889	1.56201	1720791	667201687000	0
2015.08.02	1.56305	1.56507	1.54231	1.54958	1766778	717422221000	8
2015.08.09	1.54945	1.56594	1.54567	1.56407	1501416	505363249000	4
2015.08.16	1.56538	1.57228	1.55609	1.56853	1639675	678736357000	10
2015.08.23	1.56773	1.58186	1.53337	1.53897	2242989	742228764000	10
2015.08.30	1.54125	1.54363	1.51623	1.51675	1482437	600208865000	8
2015.09.06	1.51786	1.54756	1.51701	1.54270	1425597	580785363000	9
2015.09.13	1.54285	1.56579	1.53282	1.55243	1234639	572271607000	4
2015.09.20	1.55251	1.55674	1.51339	1.51773	1402699	620714436000	10
2015.09.27	1.51916	1.52406	1.51057	1.51768	1344703	579244753000	0
2015.10.04	1.51963	1.53828	1.51349	1.53238	1374552	608762667000	5
2015.10.11	1.53193	1.55081	1.51987	1.54357	1346168	593839148000	4
2015.10.18	1.54407	1.55101	1.53050	1.53120	1309433	599164086000	0
2015.10.25	1.53177	1.54673	1.52409	1.54275	1320004	570819174000	0
2015.11.01	1.54498	1.54971	1.50255	1.50430	1263901	578617740000	0
2015.11.08	1.50518	1.52648	1.50381	1.52299	1183544	616638329000	0
2015.11.15	1.52284	1.53351	1.51530	1.51892	1159449	560057875000	0
2015.11.22	1.51868	1.51957	1.50289	1.50331	1206287	586697865000	0
2015.11.29	1.50344	1.51586	1.48935	1.51049	1475393	674465322000	0
2015.12.06	1.51071	1.52391	1.49551	1.52226	1381254	629186380000	11
2015.12.13	1.52282	1.52311	1.48635	1.48867	1509843	642165825000	0
2015.12.20	1.49003	1.49438	1.48041	1.49406	851643	365900045000	0
2015.12.27	1.49089	1.49340	1.47313	1.47317	732835	312168749000	0
2016.01.03	1.47361	1.48152	1.45048	1.45156	1518311	656780790000	0
2016.01.10	1.45263	1.46040	1.42503	1.42543	1529336	646150181000	0
2016.01.17	1.42489	1.43620	1.40790	1.42645	1652701	733043963000	0
2016.01.24	1.42683	1.44128	1.41480	1.42422	1769831	762880679000	0
2016.01.31	1.42505	1.46679	1.42269	1.45001	1758038	681054159000	10
2016.02.07	1.44954	1.45778	1.43493	1.44921	2337404	992937462000	0
2016.02.14	1.45087	1.45349	1.42336	1.44026	1905999	834850543000	0
2016.02.21	1.42773	1.43059	1.38522	1.38594	1624219	922890780000	0
2016.02.28	1.38570	1.42479	1.38342	1.42293	1507955	900676853000	0
2016.03.06	1.42164	1.44361	1.41173	1.43791	1261961	669256275000	0
2016.03.13	1.43762	1.45139	1.40514	1.44697	1178629	665124114000	0
2016.03.20	1.44408	1.44673	1.40557	1.41238	741692	491235384000	0
2016.03.27	1.41290	1.44586	1.41188	1.42255	976986	746209357000	0
2016.04.03	1.42234	1.43211	1.40040	1.41139	1039146	821293731000	0
2016.04.10	1.41137	1.43482	1.40889	1.41981	999573	827116947000	0
2016.04.17	1.42015	1.44512	1.41299	1.43955	1003946	690666067000	0
2016.04.24	1.44654	1.46706	1.44015	1.46102	1099789	791364564000	0
2016.05.01	1.45859	1.47691	1.44134	1.44247	1136259	842810957000	0
2016.05.08	1.44138	1.45304	1.43389	1.43584	988842	745599590000	0
2016.05.15	1.43488	1.46631	1.43311	1.45037	1130783	819773636000	0
2016.05.22	1.45020	1.47391	1.44407	1.46182	1140323	802319673000	0
2016.05.29	1.46086	1.47241	1.43844	1.45140	1202575	824306562000	0
2016.06.05	1.44709	1.46593	1.41786	1.42512	1250030	828636680000	0
2016.06.12	1.42665	1.43872	1.40111	1.43558	1388791	878434340000	0
2016.06.19	1.44704	1.50171	1.32270	1.36303	1711350	1039984152000	0
2016.06.26	1.34394	1.35329	1.31193	1.32600	1480321	876099509000	0
2016.07.03	1.32458	1.33402	1.27950	1.29444	1234458	772633424000	0
2016.07.10	1.29484	1.34801	1.28493	1.31857	1479766	879409592000	0
2016.07.17	1.31965	1.33144	1.30629	1.31086	1197642	826494592000	0
2016.07.24	1.31416	1.33011	1.30564	1.32224	1052196	538405402000	11
2016.07.31	1.32248	1.33712	1.30200	1.30646	999943	457954745000	0
2016.08.07	1.30793	1.30960	1.29021	1.29167	834002	513064324000	0
2016.08.14	1.29257	1.31843	1.28645	1.30723	947174	530515330000	0
2016.08.21	1.30554	1.32786	1.30330	1.31270	894928	502329685000	0
2016.08.28	1.31184	1.33518	1.30544	1.32895	931629	482479584000	0
2016.09.04	1.32981	1.34445	1.32386	1.32637	942234	448498786000	0
2016.09.11	1.32669	1.33465	1.29954	1.29955	1102723	554381959000	0
2016.09.18	1.30018	1.31208	1.29130	1.29594	1064420	550579152000	0
2016.09.25	1.29658	1.30574	1.29148	1.29735	1028855	532221045000	0
2016.10.02	1.29215	1.29476	1.14754	1.24235	1309752	585135136000	0
2016.10.09	1.24001	1.24434	1.20848	1.21680	1333159	565609515000	0
2016.10.16	1.21540	1.23318	1.21347	1.22270	991256	385216590000	0
2016.10.23	1.22227	1.22708	1.20817	1.21686	1049099	411900308000	0
2016.10.30	1.21828	1.25568	1.21414	1.25090	1128942	519494017000	11
2016.11.06	1.24567	1.26765	1.23525	1.25773	1427457	625243203000	0
2016.11.13	1.25728	1.25972	1.23012	1.23337	1389754	635578299000	0
2016.11.20	1.23459	1.25179	1.23118	1.24673	1309257	672481613000	0
2016.11.27	1.24634	1.27362	1.23847	1.27203	1172019	435346505000	0
2016.12.04	1.26824	1.27742	1.25477	1.25656	982533	284306214000	0
2016.12.11	1.25789	1.27275	1.23756	1.24847	1178443	325433815000	0
2016.12.18	1.24858	1.25031	1.22264	1.22501	956447	308871485000	0
2016.12.25	1.22761	1.23877	1.19594	1.23245	776078	282822382000	0
2017.01.01	1.23423	1.24364	1.21974	1.22799	1076277	400798280000	0
2017.01.08	1.22494	1.23160	1.20328	1.21713	1318353	429501932000	0
2017.01.15	1.19985	1.24151	1.19844	1.23701	1465594	477916288000	0
2017.01.22	1.23724	1.26731	1.23651	1.25448	1322332	468555965000	0
2017.01.29	1.25802	1.27057	1.24073	1.24774	1304739	482578100000	0
2017.02.05	1.24826	1.25859	1.23412	1.24773	1159410	434244393000	0
2017.02.12	1.24757	1.25477	1.23792	1.24017	1124369	473248450000	0
2017.02.19	1.24061	1.25696	1.24002	1.24493	1006467	429850253000	0
2017.02.26	1.24721	1.24784	1.22100	1.22857	1043866	426923024000	0
2017.03.05	1.22826	1.23001	1.21270	1.21527	1047057	457922956000	0
2017.03.12	1.21611	1.24044	1.21068	1.23893	1108597	464080573000	0
2017.03.19	1.23819	1.25307	1.23320	1.24595	976119	423635904000	11
2017.03.26	1.24890	1.26148	1.23736	1.25342	989409	449752425000	0
2017.04.02	1.25414	1.25554	1.23581	1.23597	986724	386836405000	0
2017.04.09	1.23761	1.25737	1.23652	1.25162	877766	362474315000	0
2017.04.16	1.25276	1.29054	1.25145	1.27992	997840	413636137000	0
2017.04.23	1.28303	1.29649	1.27715	1.29246	1043870	405641690000	0
2017.04.30	1.29254	1.29835	1.28302	1.29748	878984	382745702000	0
2017.05.07	1.29779	1.29886	1.28440	1.28779	1019260	473434255000	0
2017.05.14	1.28775	1.30471	1.28648	1.30215	1120942	500326476000	0
2017.05.21	1.29878	1.30427	1.27746	1.27878	1012733	420066941000	0
2017.05.28	1.27983	1.29208	1.27684	1.28813	919233	378505041000	0
2017.06.04	1.28548	1.29773	1.26345	1.27130	1038036	0	11
2017.06.11	1.27043	1.28173	1.26380	1.27768	974271	0	11
2017.06.18	1.27592	1.28141	1.25885	1.27160	868376	0	11
2017.06.25	1.27320	1.30296	1.27056	1.30222	978310	0	11
2017.07.02	1.30090	1.30239	1.28663	1.28895	839913	0	11
2017.07.09	1.28740	1.31131	1.28113	1.30959	756767	0	11
2017.07.16	1.30964	1.31251	1.29323	1.29931	877940	0	11
2017.07.23	1.29856	1.31587	1.29855	1.31335	895631	0	11
2017.07.30	1.31193	1.32681	1.30233	1.30351	823068	0	11
2017.08.06	1.30339	1.30587	1.29389	1.30069	755580	0	11
2017.08.13	1.29796	1.30213	1.28310	1.28646	799017	0	11
