DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	1.16111	1.17848	1.16076	1.17826	115834	0	9
2015.01.05	1.17818	1.18419	1.17415	1.17608	176439	0	7
2015.01.06	1.17606	1.18385	1.17289	1.18344	177202	0	8
2015.01.07	1.18357	1.18727	1.18110	1.18133	207707	0	8
2015.01.08	1.18131	1.18432	1.17945	1.18266	162798	0	7
2015.01.09	1.18281	1.18891	1.18029	1.18638	184296	0	8
2015.01.12	1.18606	1.19734	1.18332	1.19734	157679	0	7
2015.01.13	1.19722	1.19929	1.19241	1.19576	181956	0	8
2015.01.14	1.19548	1.20166	1.19269	1.19488	215658	0	8
2015.01.15	1.19490	1.19945	1.18009	1.19569	308976	0	8
2015.01.16	1.19592	1.20457	1.19501	1.19824	218228	0	3
2015.01.19	1.19780	1.19851	1.19325	1.19378	182295	0	3
2015.01.20	1.19384	1.21135	1.19360	1.21109	169828	0	4
2015.01.21	1.21117	1.23931	1.20607	1.23380	188736	0	3
2015.01.22	1.23389	1.24186	1.23116	1.23778	200166	0	3
2015.01.23	1.23791	1.24556	1.23583	1.24168	186038	0	6
2015.01.26	1.24418	1.24881	1.24031	1.24723	142827	0	3
2015.01.27	1.24724	1.24997	1.23775	1.23972	156569	1603248000	1
2015.01.28	1.23970	1.25366	1.23864	1.25342	166783	0	1
2015.01.29	1.25336	1.26764	1.25095	1.26133	174366	4500000	3
2015.01.30	1.26147	1.27974	1.26055	1.27263	196438	0	3
2015.02.02	1.26993	1.27727	1.25542	1.25627	206407	0	5
2015.02.03	1.25606	1.26437	1.23498	1.24138	275201	0	5
2015.02.04	1.24131	1.25913	1.23885	1.25724	252127	0	5
2015.02.05	1.25720	1.25861	1.23915	1.24340	400352	0	5
2015.02.06	1.24319	1.25462	1.23654	1.25182	463848	0	5
2015.02.09	1.25369	1.25403	1.24262	1.24653	293474	0	3
2015.02.10	1.24647	1.26239	1.24491	1.25857	238078	0	5
2015.02.11	1.25852	1.26970	1.25699	1.26287	181614	0	3
2015.02.12	1.26301	1.26447	1.24361	1.25074	195961	0	5
2015.02.13	1.25065	1.25364	1.24201	1.24426	174054	0	5
2015.02.16	1.24417	1.24900	1.24187	1.24635	135191	0	5
2015.02.17	1.24641	1.24779	1.23605	1.23875	182647	0	5
2015.02.18	1.23860	1.24657	1.23794	1.24539	168196	0	5
2015.02.19	1.24521	1.25560	1.24350	1.24948	172736	0	5
2015.02.20	1.24935	1.25644	1.24204	1.25300	163264	0	2
2015.02.23	1.25287	1.26241	1.25219	1.25703	140071	0	5
2015.02.24	1.25688	1.26634	1.24767	1.24859	177888	0	5
2015.02.25	1.24840	1.24973	1.23990	1.24348	151302	0	5
2015.02.26	1.24335	1.25348	1.23857	1.25143	176971	0	5
2015.02.27	1.25126	1.25302	1.24466	1.25093	155123	0	5
