DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.17818	1.18891	1.17289	1.18638	908442	0	7
2015.01.11	1.18606	1.20457	1.18009	1.19824	1082497	0	3
2015.01.18	1.19780	1.24556	1.19325	1.24168	927063	0	3
2015.01.25	1.24418	1.27974	1.23775	1.27263	836983	1607748000	1
2015.02.01	1.26993	1.27727	1.23498	1.25182	1597935	0	5
2015.02.08	1.25369	1.26970	1.24201	1.24426	1083181	0	3
2015.02.15	1.24417	1.25644	1.23605	1.25300	822034	0	2
2015.02.22	1.25287	1.26634	1.23857	1.25093	801355	0	5
2015.03.01	1.25013	1.26268	1.24044	1.26219	751834	0	5
2015.03.08	1.26178	1.28232	1.25712	1.27796	813654	0	3
2015.03.15	1.27913	1.28345	1.24482	1.25470	521480	0	1
2015.03.22	1.25529	1.26201	1.24085	1.26064	517947	0	5
2015.03.29	1.26008	1.27835	1.24271	1.24832	759949	0	5
2015.04.05	1.24702	1.26668	1.23856	1.25606	728507	0	2
2015.04.12	1.25788	1.26458	1.20858	1.22407	1010879	0	2
2015.04.19	1.22088	1.23052	1.21010	1.21776	775123	0	2
2015.04.26	1.21883	1.22046	1.19428	1.21665	896807	0	4
2015.05.03	1.21544	1.21806	1.19382	1.20786	602382	0	1
2015.05.10	1.20792	1.21434	1.19176	1.20152	817309	0	3
2015.05.17	1.20033	1.23215	1.20032	1.22810	978814	0	1
2015.05.24	1.22847	1.25376	1.22738	1.24402	1024584	0	4
2015.05.31	1.24383	1.25625	1.23656	1.24280	1132478	0	2
2015.06.07	1.24376	1.24724	1.22001	1.23047	1278270	0	1
2015.06.14	1.23129	1.23598	1.21258	1.22692	1129156	0	1
2015.06.21	1.22561	1.24225	1.22162	1.23133	1130410	0	5
2015.06.28	1.23350	1.26329	1.23019	1.25699	1257947	0	2
2015.07.05	1.25953	1.27794	1.25612	1.26713	1302693	0	1
2015.07.12	1.27011	1.30066	1.26782	1.29721	1256925	0	1
2015.07.19	1.29745	1.31024	1.29147	1.30425	1460383	199421552000	3
2015.07.26	1.30378	1.30961	1.28593	1.30855	1589517	665504186000	5
2015.08.02	1.30883	1.32131	1.30465	1.31340	1678987	725811134000	4
2015.08.09	1.31180	1.31819	1.29499	1.30948	1469784	512500100000	4
2015.08.16	1.30905	1.31932	1.30224	1.31854	1554634	603271659000	9
2015.08.23	1.31791	1.33530	1.31376	1.31986	1936202	620553890000	9
2015.08.30	1.32106	1.33266	1.31139	1.32772	1776157	652800141000	7
2015.09.06	1.32746	1.33094	1.31525	1.32616	1350863	555046146000	8
2015.09.13	1.32534	1.32796	1.30104	1.32217	1220752	568634991000	7
2015.09.20	1.32293	1.34160	1.31739	1.33300	1212822	612472046000	8
2015.09.27	1.33343	1.34568	1.31506	1.31524	1251813	552510072000	6
2015.10.04	1.31499	1.31750	1.28989	1.29431	1782732	718731863000	8
2015.10.11	1.29603	1.30800	1.28301	1.29160	1420833	592654647000	4
2015.10.18	1.29033	1.31976	1.28978	1.31660	1357636	586644934000	9
2015.10.25	1.31644	1.32794	1.30536	1.30741	1615641	670443987000	0
2015.11.01	1.30748	1.33173	1.30360	1.33034	1506097	727689837000	0
2015.11.08	1.33025	1.33488	1.32230	1.33243	1297323	675968403000	0
2015.11.15	1.33014	1.33703	1.32445	1.33477	1331407	716052532000	0
2015.11.22	1.33352	1.34355	1.32780	1.33669	1309384	630730532000	9
2015.11.29	1.33588	1.34157	1.32915	1.33601	1731674	763537895000	4
2015.12.06	1.33692	1.37576	1.33642	1.37544	1655546	697020690000	9
2015.12.13	1.37178	1.40010	1.36714	1.39524	1877489	697085417000	0
2015.12.20	1.39364	1.39933	1.38161	1.38449	877862	359186642000	0
2015.12.27	1.38189	1.39396	1.38129	1.38273	769169	294921202000	0
2016.01.03	1.38129	1.41766	1.38118	1.41711	1757858	657301492000	0
2016.01.10	1.41669	1.45532	1.40629	1.45357	1986919	708877890000	0
2016.01.17	1.46020	1.46895	1.41128	1.41211	2394692	897948334000	0
2016.01.24	1.41444	1.43252	1.39455	1.39703	2529995	936344602000	0
2016.01.31	1.39704	1.41025	1.36373	1.39139	2296934	829973514000	7
2016.02.07	1.38999	1.40159	1.37843	1.38443	2696782	943810509000	0
2016.02.14	1.38532	1.39111	1.36516	1.37603	2061596	695606348000	0
2016.02.21	1.37730	1.38588	1.35029	1.35112	1528129	748626960000	0
2016.02.28	1.35200	1.35869	1.33110	1.33120	1376646	762289921000	0
2016.03.06	1.33308	1.34459	1.31670	1.32130	1268963	634744905000	0
2016.03.13	1.32255	1.34051	1.29214	1.30029	1253660	633415156000	0
2016.03.20	1.30207	1.32957	1.30185	1.32601	836977	538243028000	0
2016.03.27	1.32760	1.32845	1.28554	1.30118	1079404	770330033000	0
2016.04.03	1.30334	1.32184	1.29503	1.29700	1151752	817393266000	0
2016.04.10	1.29844	1.30155	1.27422	1.28148	1127035	774202737000	0
2016.04.17	1.29535	1.29894	1.25911	1.26715	1141378	773205783000	0
2016.04.24	1.26598	1.27170	1.24969	1.25495	1110642	751806516000	0
2016.05.01	1.25548	1.29515	1.24591	1.28986	1236174	887239477000	0
2016.05.08	1.29506	1.30150	1.27696	1.29354	1055707	762042702000	0
2016.05.15	1.29446	1.31618	1.28353	1.31087	1112263	734677946000	0
2016.05.22	1.31222	1.31877	1.29089	1.30258	977264	582219638000	0
2016.05.29	1.30249	1.31435	1.29135	1.29358	1080612	677817345000	0
2016.06.05	1.29442	1.29819	1.26526	1.27756	1133542	712143716000	0
2016.06.12	1.27901	1.30853	1.27483	1.28846	1197881	762574065000	0
2016.06.19	1.28443	1.30988	1.26762	1.30007	1156742	673689054000	0
2016.06.26	1.30420	1.31194	1.28633	1.29095	1226058	719745127000	0
2016.07.03	1.29139	1.30898	1.28296	1.30429	1137226	684603016000	0
2016.07.10	1.30450	1.31392	1.28603	1.29725	1132276	731866840000	0
2016.07.17	1.29417	1.31850	1.29252	1.31281	898502	664903142000	0
2016.07.24	1.31223	1.32534	1.30004	1.30373	942675	530453677000	0
2016.07.31	1.30308	1.32000	1.29948	1.31709	889785	420535065000	0
2016.08.07	1.31769	1.31896	1.29223	1.29552	882269	540689289000	0
2016.08.14	1.29510	1.29749	1.27618	1.28642	938839	517258150000	0
2016.08.21	1.28859	1.30113	1.28306	1.29987	893975	491936298000	0
2016.08.28	1.29919	1.31477	1.29788	1.29788	1007637	505618603000	0
2016.09.04	1.29919	1.30525	1.28205	1.30377	962321	453137920000	0
2016.09.11	1.30506	1.32476	1.30277	1.32109	1233009	585680470000	0
