DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	0.99719	1.00183	0.99265	1.00142	177217	0	19
2015.01.05	1.00617	1.01180	1.00311	1.00677	229776	0	19
2015.01.06	1.00669	1.01084	1.00393	1.01002	224456	0	19
2015.01.07	1.00995	1.01745	1.00926	1.01423	257502	0	19
2015.01.08	1.01418	1.02157	1.01348	1.01827	198691	0	19
2015.01.09	1.01821	1.02085	1.01359	1.01419	235397	0	19
2015.01.12	1.01341	1.01886	1.01159	1.01473	191924	0	19
2015.01.13	1.01466	1.02168	1.01241	1.01997	234022	0	19
2015.01.14	1.01992	1.02390	1.01358	1.01857	276589	0	19
2015.01.15	1.01850	1.02197	0.81889	0.89031	303125	0	13
2015.01.16	0.84119	0.88086	0.83894	0.85937	180668	0	50
2015.01.19	0.86059	0.87964	0.85411	0.87911	160571	0	4
2015.01.20	0.87927	0.88366	0.86830	0.87535	117791	0	17
2015.01.21	0.87556	0.87709	0.84985	0.85976	150721	0	17
2015.01.22	0.85936	0.87489	0.85243	0.87078	153516	0	10
2015.01.23	0.87066	0.88181	0.86777	0.87936	182945	0	16
2015.01.26	0.87990	0.90412	0.87619	0.90243	171230	0	16
2015.01.27	0.90297	0.91668	0.89319	0.90249	178724	6090660000	3
2015.01.28	0.90263	0.90892	0.89824	0.90454	133037	0	28
2015.01.29	0.90499	0.92509	0.90404	0.92342	135659	6500000	1
2015.01.30	0.92350	0.92878	0.91684	0.92017	163968	0	15
2015.02.02	0.92576	0.93459	0.91972	0.92774	147776	0	21
2015.02.03	0.92771	0.92951	0.91832	0.92336	138889	0	24
2015.02.04	0.92355	0.92776	0.92037	0.92574	151338	0	33
2015.02.05	0.92580	0.93106	0.92026	0.92102	160169	0	36
2015.02.06	0.92094	0.92866	0.91582	0.92340	140728	0	5
2015.02.09	0.92659	0.92856	0.91928	0.92334	131396	0	26
2015.02.10	0.92327	0.92769	0.92114	0.92613	140221	0	23
2015.02.11	0.92593	0.92982	0.92267	0.92823	108822	0	6
