DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	0.99719	1.00160	0.99265	0.99654	99981	0	19
2015.01.02	04:00:00	0.99654	0.99804	0.99644	0.99748	8204	0	19
2015.01.02	08:00:00	0.99748	0.99910	0.99603	0.99687	18838	0	19
2015.01.02	12:00:00	0.99688	0.99951	0.99679	0.99899	16851	0	19
2015.01.02	16:00:00	0.99900	1.00114	0.99876	1.00068	24928	0	19
2015.01.02	20:00:00	1.00066	1.00183	1.00025	1.00142	8415	0	19
2015.01.05	00:00:00	1.00617	1.01180	1.00311	1.00495	138745	0	25
2015.01.05	04:00:00	1.00494	1.00765	1.00407	1.00676	10020	0	20
2015.01.05	08:00:00	1.00674	1.00716	1.00332	1.00499	21845	0	19
2015.01.05	12:00:00	1.00501	1.01073	1.00480	1.00842	27675	0	19
2015.01.05	16:00:00	1.00842	1.00877	1.00602	1.00767	22779	0	19
2015.01.05	20:00:00	1.00769	1.00837	1.00535	1.00677	8712	0	19
2015.01.06	00:00:00	1.00669	1.01071	1.00393	1.00608	117421	0	19
2015.01.06	04:00:00	1.00609	1.00611	1.00485	1.00488	6646	0	19
2015.01.06	08:00:00	1.00488	1.00904	1.00403	1.00879	23084	0	19
2015.01.06	12:00:00	1.00878	1.01084	1.00789	1.00872	26669	0	19
2015.01.06	16:00:00	1.00872	1.01043	1.00426	1.00735	34060	0	19
2015.01.06	20:00:00	1.00735	1.01024	1.00608	1.01002	16576	0	19
2015.01.07	00:00:00	1.00995	1.01736	1.00926	1.01109	143653	0	19
2015.01.07	04:00:00	1.01109	1.01198	1.01089	1.01107	6750	0	19
2015.01.07	08:00:00	1.01110	1.01317	1.00935	1.01301	23817	0	19
2015.01.07	12:00:00	1.01303	1.01604	1.01113	1.01509	34479	0	19
2015.01.07	16:00:00	1.01509	1.01745	1.01464	1.01513	26270	0	19
2015.01.07	20:00:00	1.01514	1.01698	1.01256	1.01423	22533	0	19
2015.01.08	00:00:00	1.01418	1.02147	1.01348	1.01544	106670	0	19
2015.01.08	04:00:00	1.01543	1.01641	1.01503	1.01611	8280	0	19
2015.01.08	08:00:00	1.01613	1.01929	1.01575	1.01918	21416	0	19
2015.01.08	12:00:00	1.01920	1.02157	1.01858	1.01873	25784	0	19
2015.01.08	16:00:00	1.01875	1.01994	1.01608	1.01626	26092	0	19
