DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.00617	1.02157	1.00311	1.01419	1145822	0	19
2015.01.11	1.01341	1.02390	0.81889	0.85937	1186328	0	13
2015.01.18	0.86059	0.88366	0.84985	0.87936	765544	0	4
2015.01.25	0.87990	0.92878	0.87619	0.92017	782618	6097160000	1
2015.02.01	0.92576	0.93459	0.91582	0.92340	738900	0	5
2015.02.08	0.92659	0.93349	0.91928	0.93094	629970	0	5
2015.02.15	0.93154	0.95335	0.92806	0.93778	779950	0	12
2015.02.22	0.94068	0.95449	0.93841	0.95412	707037	0	11
2015.03.01	0.95412	0.98656	0.95278	0.98553	674903	0	7
2015.03.08	0.98693	1.01266	0.98226	1.00468	677564	0	3
2015.03.15	1.00694	1.00914	0.96267	0.97370	408586	0	1
2015.03.22	0.97498	0.98102	0.94860	0.96126	430898	0	1
2015.03.29	0.96170	0.97547	0.94757	0.94946	560481	0	1
2015.04.05	0.95129	0.98349	0.94952	0.97856	490918	0	1
2015.04.12	0.98097	0.98610	0.94925	0.95134	775796	0	1
2015.04.19	0.95116	0.97186	0.94997	0.95332	868557	0	1
2015.04.26	0.95464	0.95981	0.92743	0.93247	933427	0	1
2015.05.03	0.93378	0.94129	0.90699	0.93193	716604	0	1
2015.05.10	0.93167	0.93579	0.90768	0.91549	840138	0	1
2015.05.17	0.91576	0.94563	0.91479	0.94337	927981	0	1
2015.05.24	0.94326	0.95429	0.93464	0.94012	941096	0	1
2015.05.31	0.94065	0.95014	0.92761	0.93904	1118336	0	1
2015.06.07	0.94168	0.94290	0.92314	0.92862	1114037	0	1
2015.06.14	0.92996	0.93840	0.91487	0.91806	842837	0	1
2015.06.21	0.91670	0.94155	0.91550	0.93355	874014	0	1
2015.06.28	0.93791	0.95039	0.92414	0.93977	1141132	0	1
2015.07.05	0.94374	0.95152	0.93283	0.93815	1427338	0	1
2015.07.12	0.94147	0.96184	0.93656	0.96152	1249378	0	1
2015.07.19	0.96132	0.96483	0.95249	0.96238	1251328	175463748000	1
2015.07.26	0.96224	0.97188	0.95287	0.96529	1132938	466409457000	5
