DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	15.796	16.063	15.500	15.763	76870	956604000	0
2015.01.05	15.776	16.256	15.615	16.157	97873	897530400	0
2015.01.06	16.148	16.693	16.089	16.514	68613	263465150	0
2015.01.07	16.539	16.625	16.270	16.494	60503	198451100	0
2015.01.08	16.521	16.637	16.273	16.344	49410	157561800	0
2015.01.09	16.338	16.600	16.176	16.494	67291	358551350	0
2015.01.12	16.462	16.652	16.398	16.552	55757	347736300	0
2015.01.13	16.573	17.171	16.538	17.019	84511	407717600	0
2015.01.14	17.035	17.063	16.521	16.839	106260	361716160	0
2015.01.15	16.818	17.200	16.671	16.909	121856	374029860	0
2015.01.16	16.935	17.812	16.864	17.752	91832	244489100	0
2015.01.19	17.785	17.977	17.585	17.677	45676	331884500	0
2015.01.20	17.684	17.998	17.593	17.972	65716	0	0
2015.01.21	17.954	18.459	17.879	18.110	115742	490318575	0
2015.01.22	18.094	18.450	17.873	18.303	113205	569787560	0
2015.01.23	18.286	18.374	18.073	18.262	74178	271596650	0
2015.01.26	18.265	18.448	17.830	17.892	87663	365437582	0
2015.01.27	17.877	18.183	17.376	18.027	79858	427619026	0
2015.01.28	18.015	18.133	17.902	17.968	70982	196591649	0
2015.01.29	17.960	18.014	16.715	16.932	118474	451367670	0
2015.01.30	16.947	17.297	16.792	17.231	81582	392789850	0
2015.02.02	17.190	17.314	16.974	17.193	79059	353945370	0
2015.02.03	17.203	17.723	17.052	17.259	100225	485870320	0
2015.02.04	17.298	17.640	17.146	17.356	86353	218485380	0
2015.02.05	17.337	17.473	16.902	17.239	83098	310560310	0
2015.02.06	17.255	17.355	16.533	16.695	95170	476994180	0
2015.02.09	16.760	17.161	16.678	16.991	60068	361941000	0
2015.02.10	16.950	17.102	16.712	16.913	65505	398119000	0
2015.02.11	16.924	17.076	16.708	16.770	54976	214301250	0
2015.02.12	16.794	17.041	16.604	16.837	66176	291648064	0
2015.02.13	16.833	17.424	16.833	17.328	63688	249278650	0
2015.02.16	17.304	17.407	17.243	17.287	32620	202544000	0
2015.02.17	17.282	17.320	16.268	16.501	72578	367554250	0
2015.02.18	16.480	16.580	16.236	16.468	56797	360483846	0
2015.02.19	16.457	16.776	16.325	16.366	62292	488938650	0
2015.02.20	16.357	16.559	16.168	16.223	50641	240389950	0
2015.02.23	16.253	16.593	16.070	16.302	55717	205242040	0
2015.02.24	16.308	16.471	16.058	16.252	64332	213573680	0
2015.02.25	16.298	16.717	16.284	16.533	59616	400375740	0
2015.02.26	16.502	16.873	16.489	16.527	58087	348811130	0
2015.02.27	16.547	16.679	16.399	16.570	52701	248297060	0
2015.03.02	16.555	16.782	16.328	16.374	56360	383600000	0
2015.03.03	16.412	16.583	16.059	16.260	70694	485520000	0
2015.03.04	16.262	16.369	16.055	16.226	53207	373104000	0
2015.03.05	16.220	16.366	16.130	16.195	44783	302640000	0
2015.03.06	16.190	16.244	15.749	15.882	76754	490704000	0
2015.03.09	15.941	15.977	15.709	15.747	38836	260592000	0
2015.03.10	15.742	15.842	15.588	15.662	50042	329504000	0
2015.03.11	15.629	15.761	15.272	15.488	51657	389600000	0
2015.03.12	15.475	15.712	15.385	15.584	49165	349344000	0
2015.03.13	15.580	15.680	15.451	15.617	42267	310951000	0
2015.03.16	15.623	15.758	15.487	15.630	24489	94109197	0
2015.03.17	15.620	15.721	15.366	15.538	32289	111773709	0
2015.03.18	15.540	16.094	15.437	15.907	41015	134372260	0
2015.03.19	15.894	16.182	15.788	16.083	45073	163756435	0
2015.03.20	16.106	16.886	16.076	16.688	40762	212892099	0
2015.03.23	16.791	17.079	16.601	16.948	39608	290306960	0
2015.03.24	16.978	17.028	16.795	16.929	31730	114521370	0
2015.03.25	16.929	17.113	16.829	16.938	28269	146978180	0
2015.03.26	16.960	17.388	16.899	17.069	38124	105490754	0
2015.03.27	17.060	17.184	16.836	16.920	34860	175080774	0
2015.03.30	16.970	16.973	16.613	16.693	33832	85701759	0
2015.03.31	16.685	16.820	16.421	16.640	37050	92152105	0
2015.04.01	16.618	17.066	16.498	16.929	41300	108389570	0
2015.04.02	16.935	16.989	16.569	16.752	41619	121282420	0
2015.04.03	16.741	16.741	16.741	16.741	2	0	0
2015.04.06	16.993	17.297	16.919	16.950	42708	161894760	0
2015.04.07	16.943	16.960	16.711	16.826	30650	86623677	0
2015.04.08	16.825	16.898	16.368	16.487	44811	151892430	0
2015.04.09	16.497	16.514	16.116	16.154	41100	204156160	0
2015.04.10	16.168	16.660	16.150	16.441	42555	130736650	0
2015.04.13	16.438	16.514	16.228	16.228	38529	156203738	0
2015.04.14	16.270	16.358	15.975	16.141	47480	222090580	0
2015.04.15	16.158	16.384	16.052	16.322	37960	247625180	0
2015.04.16	16.307	16.493	16.114	16.254	45905	231714790	0
2015.04.17	16.280	16.506	16.200	16.252	37857	137880221	0
2015.04.20	16.268	16.363	15.841	15.954	43780	171722740	0
2015.04.21	15.945	16.189	15.885	15.995	32699	222463706	0
2015.04.22	15.993	16.108	15.671	15.782	42576	220620890	0
2015.04.23	15.775	15.947	15.731	15.854	31004	217415490	0
2015.04.24	15.857	15.917	15.577	15.703	38696	289124423	0
2015.04.27	15.715	16.470	15.702	16.356	46388	210475460	0
2015.04.28	16.376	16.679	16.286	16.608	53625	505810590	0
2015.04.29	16.593	16.708	16.397	16.534	57008	216912306	0
2015.04.30	16.545	16.722	15.791	16.116	64794	385875332	0
2015.05.01	16.107	16.265	15.885	16.141	38029	102868380	0
2015.05.04	16.135	16.752	16.119	16.394	45067	105025450	0
2015.05.05	16.374	16.702	16.324	16.503	33038	67286500	0
2015.05.06	16.525	16.647	16.366	16.492	44640	99565800	0
2015.05.07	16.496	16.546	16.152	16.314	43612	87000580	0
2015.05.08	16.305	16.542	16.245	16.455	54816	105425940	0
2015.05.11	16.433	17.315	16.190	16.287	32192	62533400	0
2015.05.12	16.279	16.588	16.125	16.519	43339	97879541	0
2015.05.13	16.497	17.217	16.469	17.105	58553	93001460	0
2015.05.14	17.116	17.568	17.047	17.434	50641	87336980	0
2015.05.15	17.434	17.562	17.176	17.484	40210	97090500	0
2015.05.18	17.479	17.767	17.446	17.698	37205	79170350	0
2015.05.19	17.687	17.715	16.850	17.096	46017	133137060	0
2015.05.20	17.093	17.276	16.922	17.106	41353	107992691	0
2015.05.21	17.095	17.243	16.989	17.137	34280	157262950	0
2015.05.22	17.118	17.325	16.920	17.094	36752	124948630	0
2015.05.25	17.017	17.175	16.985	17.110	17775	46926100	0
2015.05.26	17.090	17.130	16.628	16.729	48392	353186270	0
2015.05.27	16.731	16.813	16.572	16.675	34461	226641500	0
2015.05.28	16.663	16.775	16.522	16.670	34503	215208140	0
2015.05.29	16.663	16.826	16.630	16.732	32429	227918740	0
2015.06.01	16.677	17.172	16.582	16.730	54663	349468200	0
2015.06.02	16.723	16.851	16.613	16.764	39756	235102020	0
2015.06.03	16.770	16.807	16.383	16.506	46387	451341150	0
2015.06.04	16.492	16.526	16.101	16.145	42597	359877130	0
2015.06.05	16.098	16.200	15.934	16.097	46446	235979670	0
2015.06.08	16.055	16.147	15.911	15.977	35199	198085556	0
2015.06.09	15.941	16.177	15.934	15.966	29470	226651385	0
2015.06.10	15.943	16.232	15.929	16.011	36509	197838486	0
2015.06.11	16.003	16.064	15.802	16.032	33366	144519137	0
2015.06.12	16.010	16.052	15.817	15.967	29442	170075585	0
2015.06.15	15.935	16.269	15.839	16.066	39083	220226698	0
2015.06.16	16.055	16.140	15.872	16.023	25680	192390308	0
2015.06.17	15.990	16.266	15.907	16.117	38686	114939300	0
2015.06.18	16.095	16.451	16.045	16.151	42948	162368435	0
2015.06.19	16.155	16.218	15.882	16.085	25921	101285385	0
2015.06.22	16.085	16.262	16.009	16.198	29024	117782790	0
2015.06.23	16.156	16.206	15.728	15.849	36950	304805747	0
2015.06.24	15.836	15.927	15.754	15.883	31200	109203937	0
2015.06.25	15.878	15.958	15.760	15.839	25581	98852697	0
2015.06.26	15.837	15.906	15.497	15.797	31975	199354204	0
2015.06.29	15.933	16.035	15.667	15.739	44021	190988108	0
2015.06.30	15.766	15.875	15.466	15.694	54230	201152858	0
2015.07.01	15.682	15.717	15.523	15.559	34191	177236080	0
2015.07.02	15.546	15.792	15.480	15.667	37735	220532960	0
2015.07.03	15.660	15.723	15.586	15.679	17420	87578750	0
2015.07.06	15.735	15.857	15.519	15.737	35588	95643183	0
2015.07.07	15.695	15.732	14.653	15.072	67163	412964002	0
2015.07.08	15.045	15.257	14.747	15.109	57297	154159990	0
2015.07.09	15.140	15.566	15.007	15.402	56610	136239940	0
2015.07.10	15.393	15.657	15.360	15.556	37422	70879750	0
2015.07.13	15.558	15.931	15.293	15.487	44959	188111660	0
2015.07.14	15.495	15.500	15.255	15.357	30191	189524799	0
2015.07.15	15.340	15.384	14.981	15.092	38282	200075324	0
2015.07.16	15.072	15.173	14.873	15.002	36765	176851330	0
2015.07.17	14.993	15.042	14.828	14.855	33066	116400148	0
2015.07.20	14.857	15.014	14.498	14.683	87645	343934522	0
2015.07.21	14.650	14.960	14.632	14.822	52127	195106284	0
2015.07.22	14.820	14.898	14.612	14.787	52989	186931026	0
2015.07.23	14.767	14.986	14.565	14.667	53241	299811762	0
2015.07.24	14.625	14.725	14.354	14.672	69238	279571554	0
2015.07.27	14.710	14.768	14.516	14.548	55434	195590104	0
2015.07.28	14.535	14.709	14.525	14.672	39649	114088840	0
2015.07.29	14.670	14.909	14.594	14.802	49764	136814457	0
2015.07.30	14.791	14.849	14.607	14.737	47695	228886940	0
2015.07.31	14.710	14.994	14.526	14.767	50423	97355160	0
2015.08.03	14.767	14.782	14.407	14.517	45338	192190266	0
2015.08.04	14.467	14.659	14.362	14.583	46732	233666307	0
2015.08.05	14.572	14.703	14.481	14.580	46152	305701380	0
