DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.02	00:00:00	15.796	16.046	15.500	15.747	35196	0	0
2015.01.02	08:00:00	15.890	15.896	15.789	15.822	4952	100734000	23
2015.01.02	12:00:00	15.822	15.828	15.522	15.634	15424	326258000	21
2015.01.02	16:00:00	15.633	16.063	15.544	15.779	15748	390898000	19
2015.01.02	20:00:00	15.780	15.803	15.663	15.763	5550	138714000	25
2015.01.05	00:00:00	15.776	16.238	15.615	15.983	53035	128047000	0
2015.01.05	04:00:00	15.984	16.075	15.916	16.039	5885	142536000	25
2015.01.05	08:00:00	16.041	16.092	16.005	16.049	6659	115514000	22
2015.01.05	12:00:00	16.049	16.060	15.826	16.013	13905	250395000	23
2015.01.05	16:00:00	16.011	16.256	15.889	16.119	14438	193939100	23
2015.01.05	20:00:00	16.114	16.221	16.099	16.157	3951	67099300	51
2015.01.06	00:00:00	16.148	16.693	16.089	16.166	44488	11562500	0
2015.01.06	04:00:00	16.162	16.223	16.151	16.177	2035	17094550	47
2015.01.06	08:00:00	16.177	16.350	16.169	16.324	4628	30762500	50
2015.01.06	12:00:00	16.326	16.329	16.176	16.231	3807	33595850	48
2015.01.06	16:00:00	16.226	16.686	16.198	16.528	10589	130038200	48
2015.01.06	20:00:00	16.530	16.622	16.501	16.514	3066	40411550	48
2015.01.07	00:00:00	16.539	16.624	16.270	16.485	41368	11778550	0
2015.01.07	04:00:00	16.484	16.510	16.370	16.392	2210	33770500	46
2015.01.07	08:00:00	16.394	16.481	16.369	16.456	2260	13554500	47
2015.01.07	12:00:00	16.454	16.491	16.275	16.354	4224	33355000	51
2015.01.07	16:00:00	16.349	16.613	16.329	16.559	6062	42145050	50
2015.01.07	20:00:00	16.554	16.625	16.483	16.494	4379	63847500	49
2015.01.08	00:00:00	16.521	16.628	16.273	16.491	33075	10267000	0
2015.01.08	04:00:00	16.494	16.508	16.392	16.463	2417	27085000	47
2015.01.08	08:00:00	16.461	16.461	16.339	16.370	2725	35544650	47
2015.01.08	12:00:00	16.369	16.522	16.323	16.488	3290	22365200	48
2015.01.08	16:00:00	16.486	16.637	16.380	16.417	4874	41215150	49
2015.01.08	20:00:00	16.419	16.429	16.279	16.344	3029	21084800	53
2015.01.09	00:00:00	16.338	16.597	16.176	16.389	45149	13307500	0
2015.01.09	04:00:00	16.389	16.412	16.329	16.401	1452	13662500	48
2015.01.09	08:00:00	16.403	16.406	16.180	16.229	2189	30490100	53
2015.01.09	12:00:00	16.227	16.423	16.179	16.374	6319	83220200	48
2015.01.09	16:00:00	16.379	16.600	16.353	16.407	8556	138379050	52
2015.01.09	20:00:00	16.407	16.502	16.347	16.494	3626	79492000	53
2015.01.12	00:00:00	16.462	16.652	16.398	16.554	36863	86770700	0
2015.01.12	04:00:00	16.558	16.624	16.508	16.609	2578	35589800	47
2015.01.12	08:00:00	16.609	16.624	16.443	16.534	3634	58148100	49
2015.01.12	12:00:00	16.530	16.535	16.404	16.504	3138	37492600	52
2015.01.12	16:00:00	16.502	16.559	16.439	16.482	5672	73774800	52
2015.01.12	20:00:00	16.485	16.615	16.484	16.552	3872	55960300	51
2015.01.13	00:00:00	16.573	17.171	16.538	16.697	54335	29408950	0
2015.01.13	04:00:00	16.698	16.830	16.688	16.761	3377	42858650	46
2015.01.13	08:00:00	16.758	17.025	16.694	16.903	5604	76029450	49
2015.01.13	12:00:00	16.903	17.059	16.844	17.029	5710	56933250	47
2015.01.13	16:00:00	17.031	17.171	16.880	17.129	8854	108803200	49
2015.01.13	20:00:00	17.129	17.138	16.925	17.019	6631	93684100	53
2015.01.14	00:00:00	17.035	17.063	16.521	16.930	70438	19315000	0
2015.01.14	04:00:00	16.927	16.929	16.745	16.782	4689	30718450	46
2015.01.14	08:00:00	16.779	16.892	16.523	16.624	7096	84639300	48
2015.01.14	12:00:00	16.624	16.963	16.605	16.909	9196	81790160	48
2015.01.14	16:00:00	16.909	17.058	16.873	16.946	9367	73879900	52
2015.01.14	20:00:00	16.943	16.999	16.794	16.839	5474	71373350	50
2015.01.15	00:00:00	16.818	17.200	16.671	16.744	80303	29537500	0
2015.01.15	04:00:00	16.744	16.829	16.704	16.784	3320	33119700	48
2015.01.15	08:00:00	16.784	17.027	16.674	16.946	6694	59663010	51
2015.01.15	12:00:00	16.948	17.200	16.764	17.070	11709	83488900	51
2015.01.15	16:00:00	17.067	17.184	16.972	17.055	14806	112699200	50
2015.01.15	20:00:00	17.057	17.110	16.805	16.909	5024	55521550	53
2015.01.16	00:00:00	16.935	17.811	16.864	17.024	62449	24372500	0
2015.01.16	04:00:00	17.024	17.094	16.997	17.000	2149	17295300	47
2015.01.16	08:00:00	17.002	17.035	16.868	16.904	3157	23170650	52
2015.01.16	12:00:00	16.899	17.147	16.874	17.121	5791	48497950	52
2015.01.16	16:00:00	17.118	17.812	17.094	17.724	14704	107052850	47
2015.01.16	20:00:00	17.729	17.754	17.622	17.752	3582	24099850	46
2015.01.19	00:00:00	17.785	17.977	17.585	17.607	27774	45452500	0
2015.01.19	04:00:00	17.610	17.687	17.603	17.681	2511	40176000	27
2015.01.19	08:00:00	17.681	17.767	17.612	17.653	4768	76288000	28
2015.01.19	12:00:00	17.651	17.795	17.635	17.691	6252	100032000	27
2015.01.19	16:00:00	17.689	17.736	17.628	17.677	4371	69936000	27
2015.01.20	00:00:00	17.684	17.998	17.593	17.972	65716	0	0
2015.01.21	00:00:00	17.954	18.456	17.879	17.960	78799	54589400	0
2015.01.21	04:00:00	17.959	18.309	17.957	18.269	5210	65569745	48
2015.01.21	08:00:00	18.269	18.309	18.129	18.202	4730	49807850	50
2015.01.21	12:00:00	18.198	18.319	18.085	18.293	7795	98289450	52
2015.01.21	16:00:00	18.297	18.459	17.972	18.157	15679	170435780	52
2015.01.21	20:00:00	18.154	18.223	18.089	18.110	3529	51626350	56
2015.01.22	00:00:00	18.094	18.448	17.873	18.107	72982	12147500	0
2015.01.22	04:00:00	18.102	18.144	18.081	18.114	2070	24204950	54
2015.01.22	08:00:00	18.111	18.126	17.903	18.042	7062	56159130	51
2015.01.22	12:00:00	18.043	18.353	17.884	18.233	10675	121758880	50
2015.01.22	16:00:00	18.231	18.393	18.151	18.323	15604	255931300	54
2015.01.22	20:00:00	18.320	18.450	18.288	18.303	4812	99585800	52
2015.01.23	00:00:00	18.286	18.368	18.073	18.316	50343	33899800	0
2015.01.23	04:00:00	18.313	18.374	18.235	18.262	3035	54419600	46
2015.01.23	08:00:00	18.262	18.289	18.149	18.214	4748	49299900	50
2015.01.23	12:00:00	18.213	18.341	18.160	18.299	6076	51617200	49
2015.01.23	16:00:00	18.299	18.317	18.083	18.234	7757	54926850	52
2015.01.23	20:00:00	18.234	18.332	18.222	18.262	2219	27433300	53
2015.01.26	00:00:00	18.265	18.448	17.830	18.395	60778	27052050	0
2015.01.26	04:00:00	18.395	18.411	18.215	18.219	3032	37744500	50
2015.01.26	08:00:00	18.219	18.232	17.856	18.004	6596	83533350	50
2015.01.26	12:00:00	18.004	18.146	17.831	18.105	6830	66958052	51
2015.01.26	16:00:00	18.103	18.134	17.864	17.952	7725	102637130	0
2015.01.26	20:00:00	17.952	17.981	17.855	17.892	2702	47512500	36
2015.01.27	00:00:00	17.877	18.175	17.376	17.750	55869	110336070	0
2015.01.27	04:00:00	17.748	17.885	17.748	17.842	3374	55550400	54
2015.01.27	08:00:00	17.844	18.006	17.829	17.922	4136	64452050	54
2015.01.27	12:00:00	17.927	17.982	17.813	17.950	5409	64766850	53
2015.01.27	16:00:00	17.946	18.183	17.915	18.029	8011	88368106	53
2015.01.27	20:00:00	18.031	18.113	18.019	18.027	3059	44145550	54
2015.01.28	00:00:00	18.015	18.133	17.902	17.988	49157	19961100	0
2015.01.28	04:00:00	17.987	18.033	17.909	17.998	2684	15542210	52
2015.01.28	08:00:00	17.998	18.022	17.913	17.976	3053	25416650	52
2015.01.28	12:00:00	17.974	18.074	17.945	17.989	3776	34526170	52
2015.01.28	16:00:00	17.987	18.096	17.924	18.052	5780	43708315	51
2015.01.28	20:00:00	18.052	18.130	17.927	17.968	6532	57437204	53
2015.01.29	00:00:00	17.960	18.014	16.715	17.831	80656	29847100	0
2015.01.29	04:00:00	17.831	17.919	17.726	17.817	4013	41760280	54
2015.01.29	08:00:00	17.819	17.843	17.510	17.601	6277	80460700	54
2015.01.29	12:00:00	17.600	17.675	17.359	17.489	8027	66053760	52
2015.01.29	16:00:00	17.490	17.502	16.720	16.852	14359	142996430	52
2015.01.29	20:00:00	16.854	16.942	16.731	16.932	5142	90249400	57
2015.01.30	00:00:00	16.947	17.292	16.792	16.921	52994	17444200	0
2015.01.30	04:00:00	16.921	16.946	16.834	16.868	2206	17069050	47
2015.01.30	08:00:00	16.869	17.040	16.804	17.017	4131	76546800	47
2015.01.30	12:00:00	17.017	17.040	16.801	16.878	6587	96153750	52
2015.01.30	16:00:00	16.877	17.297	16.795	17.173	10386	89391900	53
2015.01.30	20:00:00	17.171	17.241	17.085	17.231	5278	96184150	57
2015.02.02	00:00:00	17.190	17.309	16.974	17.166	54710	69195750	0
2015.02.02	04:00:00	17.170	17.197	17.084	17.150	2485	38897500	55
2015.02.02	08:00:00	17.149	17.169	16.983	17.004	3326	59550500	55
2015.02.02	12:00:00	17.004	17.275	16.980	17.116	4992	31813520	54
2015.02.02	16:00:00	17.118	17.314	17.031	17.220	8964	69025500	53
2015.02.02	20:00:00	17.222	17.291	17.158	17.193	4582	85462600	54
2015.02.03	00:00:00	17.203	17.716	17.052	17.205	65511	37941400	0
2015.02.03	04:00:00	17.206	17.232	17.155	17.216	2180	14684950	53
2015.02.03	08:00:00	17.222	17.723	17.222	17.591	6967	77156150	55
2015.02.03	12:00:00	17.595	17.706	17.201	17.255	9033	138936600	55
2015.02.03	16:00:00	17.258	17.340	17.055	17.258	10454	145468600	54
2015.02.03	20:00:00	17.258	17.469	17.224	17.259	6080	71682620	54
2015.02.04	00:00:00	17.298	17.639	17.146	17.271	61393	47042250	0
2015.02.04	04:00:00	17.273	17.346	17.216	17.232	2952	28767050	51
2015.02.04	08:00:00	17.231	17.329	17.218	17.329	3725	35899000	53
2015.02.04	12:00:00	17.329	17.526	17.293	17.389	6776	41979580	50
2015.02.04	16:00:00	17.387	17.640	17.340	17.394	8793	48183700	52
2015.02.04	20:00:00	17.392	17.436	17.295	17.356	2714	16613800	56
2015.02.05	00:00:00	17.337	17.467	16.902	17.424	56584	19022500	0
2015.02.05	04:00:00	17.424	17.473	17.394	17.407	2267	13545500	52
2015.02.05	08:00:00	17.412	17.447	17.214	17.286	3853	27269950	52
2015.02.05	12:00:00	17.281	17.309	16.906	17.231	8320	79622860	53
2015.02.05	16:00:00	17.229	17.261	16.968	17.149	8315	113633700	50
2015.02.05	20:00:00	17.150	17.307	17.138	17.239	3759	57465800	54
2015.02.06	00:00:00	17.255	17.352	16.533	17.245	65024	30383350	0
2015.02.06	04:00:00	17.246	17.303	17.214	17.281	2019	18726500	54
2015.02.06	08:00:00	17.282	17.298	17.152	17.275	2211	21021400	52
2015.02.06	12:00:00	17.276	17.355	16.974	17.055	6681	70702430	52
2015.02.06	16:00:00	17.055	17.055	16.536	16.653	15460	280210500	56
2015.02.06	20:00:00	16.653	16.751	16.585	16.695	3775	55950000	51
2015.02.09	00:00:00	16.760	17.135	16.678	16.794	40303	45701000	0
2015.02.09	04:00:00	16.794	16.799	16.699	16.785	2273	36368000	22
2015.02.09	08:00:00	16.784	17.062	16.738	17.056	4383	70128000	22
2015.02.09	12:00:00	17.058	17.161	16.859	16.871	5195	83120000	22
2015.02.09	16:00:00	16.870	17.119	16.867	17.044	6478	103648000	22
2015.02.09	20:00:00	17.046	17.085	16.985	16.991	1436	22976000	27
2015.02.10	00:00:00	16.950	17.087	16.712	17.050	41840	19440000	0
2015.02.10	04:00:00	17.048	17.100	17.004	17.068	1920	30720000	22
2015.02.10	08:00:00	17.069	17.081	16.870	16.891	3121	49936000	22
2015.02.10	12:00:00	16.885	16.968	16.730	16.948	7491	119856000	22
2015.02.10	16:00:00	16.947	17.102	16.844	16.915	8664	138624000	23
2015.02.10	20:00:00	16.917	16.953	16.856	16.913	2469	39543000	27
2015.02.11	00:00:00	16.924	17.068	16.708	17.004	38010	19064000	0
2015.02.11	04:00:00	17.006	17.038	16.951	16.993	1709	15784450	22
2015.02.11	08:00:00	16.993	17.055	16.946	17.033	2028	34387500	52
2015.02.11	12:00:00	17.036	17.076	16.861	16.906	3634	33300460	52
2015.02.11	16:00:00	16.909	16.952	16.712	16.812	6142	55228300	53
2015.02.11	20:00:00	16.812	16.825	16.730	16.770	3453	56536540	53
2015.02.12	00:00:00	16.794	17.036	16.604	16.747	45128	30762500	0
2015.02.12	04:00:00	16.749	16.771	16.610	16.699	3238	52562300	52
2015.02.12	08:00:00	16.700	17.041	16.681	16.926	4619	35106290	50
2015.02.12	12:00:00	16.929	16.954	16.766	16.861	4790	49491524	53
2015.02.12	16:00:00	16.865	16.918	16.727	16.773	5051	56617150	55
2015.02.12	20:00:00	16.772	16.863	16.762	16.837	3350	67108300	58
2015.02.13	00:00:00	16.833	17.419	16.833	16.892	45453	19442150	0
2015.02.13	04:00:00	16.892	17.036	16.891	16.991	2234	20993750	50
2015.02.13	08:00:00	16.992	16.998	16.869	16.888	2416	23754150	53
2015.02.13	12:00:00	16.889	17.269	16.842	17.211	3726	29497550	52
2015.02.13	16:00:00	17.211	17.424	17.156	17.342	7309	112758650	54
2015.02.13	20:00:00	17.339	17.346	17.241	17.328	2550	42832400	48
2015.02.16	00:00:00	17.304	17.387	17.243	17.328	21951	31840000	0
2015.02.16	04:00:00	17.326	17.370	17.305	17.321	1770	28320000	22
2015.02.16	08:00:00	17.321	17.407	17.293	17.376	2329	37264000	22
2015.02.16	12:00:00	17.376	17.390	17.266	17.279	2926	46816000	22
2015.02.16	16:00:00	17.279	17.344	17.266	17.287	3644	58304000	22
2015.02.17	00:00:00	17.282	17.320	16.268	17.254	48031	9602500	0
2015.02.17	04:00:00	17.253	17.275	17.166	17.244	1992	12177500	53
2015.02.17	08:00:00	17.242	17.260	16.788	16.849	2995	28085000	53
2015.02.17	12:00:00	16.851	16.882	16.620	16.728	4269	59818100	53
2015.02.17	16:00:00	16.724	16.744	16.276	16.375	10799	161578550	50
2015.02.17	20:00:00	16.374	16.514	16.365	16.501	4492	96292600	58
2015.02.18	00:00:00	16.480	16.579	16.236	16.446	36040	13327500	0
2015.02.18	04:00:00	16.447	16.509	16.415	16.508	1478	17941100	46
2015.02.18	08:00:00	16.507	16.531	16.414	16.453	2324	19318430	50
2015.02.18	12:00:00	16.451	16.499	16.379	16.444	3190	34864716	49
2015.02.18	16:00:00	16.444	16.553	16.273	16.341	7286	119824400	49
2015.02.18	20:00:00	16.340	16.580	16.243	16.468	6479	155207700	53
2015.02.19	00:00:00	16.457	16.772	16.325	16.631	38670	22753210	0
2015.02.19	04:00:00	16.633	16.716	16.584	16.643	3466	75478790	54
2015.02.19	08:00:00	16.644	16.672	16.543	16.586	5296	130788000	51
2015.02.19	12:00:00	16.587	16.776	16.564	16.635	5523	123896050	52
2015.02.19	16:00:00	16.635	16.635	16.370	16.416	6318	92360750	56
2015.02.19	20:00:00	16.413	16.456	16.331	16.366	3019	43661850	55
2015.02.20	00:00:00	16.357	16.554	16.169	16.460	34553	15582500	0
2015.02.20	04:00:00	16.460	16.466	16.394	16.439	2394	47121100	55
2015.02.20	08:00:00	16.440	16.505	16.290	16.393	3823	71991600	53
2015.02.20	12:00:00	16.394	16.559	16.331	16.403	3312	34274550	54
2015.02.20	16:00:00	16.400	16.463	16.286	16.326	3647	40446650	53
2015.02.20	20:00:00	16.328	16.346	16.168	16.223	2912	30973550	55
2015.02.23	00:00:00	16.253	16.593	16.070	16.272	39265	20865000	0
2015.02.23	04:00:00	16.269	16.359	16.248	16.248	1402	11779530	53
2015.02.23	08:00:00	16.248	16.296	16.076	16.118	4927	35843420	53
2015.02.23	12:00:00	16.121	16.486	16.111	16.379	3525	43094060	51
2015.02.23	16:00:00	16.379	16.593	16.236	16.264	5368	70755030	53
2015.02.23	20:00:00	16.266	16.348	16.249	16.302	1230	22905000	52
2015.02.24	00:00:00	16.308	16.466	16.058	16.324	43811	20444770	0
2015.02.24	04:00:00	16.330	16.380	16.287	16.311	1327	12725820	52
2015.02.24	08:00:00	16.311	16.345	16.219	16.239	3482	20047110	51
2015.02.24	12:00:00	16.239	16.354	16.228	16.276	5338	41500460	53
2015.02.24	16:00:00	16.278	16.471	16.074	16.184	8434	80278670	53
2015.02.24	20:00:00	16.187	16.279	16.180	16.252	1940	38576850	55
2015.02.25	00:00:00	16.298	16.717	16.284	16.696	42387	142795990	0
2015.02.25	04:00:00	16.697	16.701	16.493	16.585	4113	38804310	49
2015.02.25	08:00:00	16.585	16.643	16.467	16.487	3460	47147230	53
2015.02.25	12:00:00	16.485	16.642	16.460	16.497	3049	37898210	51
2015.02.25	16:00:00	16.497	16.553	16.442	16.461	4270	92500000	49
2015.02.25	20:00:00	16.460	16.546	16.429	16.533	2337	41230000	51
2015.02.26	00:00:00	16.502	16.870	16.489	16.561	41681	11019360	0
2015.02.26	04:00:00	16.560	16.631	16.551	16.626	1658	12169550	54
2015.02.26	08:00:00	16.629	16.868	16.589	16.860	2943	50608840	52
