DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	15.776	16.693	15.615	16.494	343690	1875559800	0
2015.01.11	16.462	17.812	16.398	17.752	460216	1735689020	0
2015.01.18	17.785	18.459	17.585	18.262	414517	1663587285	0
2015.01.25	18.265	18.448	16.715	17.231	438559	1833805777	0
2015.02.01	17.190	17.723	16.533	16.695	443905	1845855560	0
2015.02.08	16.760	17.424	16.604	17.328	310413	1515287964	0
2015.02.15	17.304	17.407	16.168	16.223	274928	1659910696	0
2015.02.22	16.253	16.873	16.058	16.570	290453	1416299650	0
2015.03.01	16.555	16.782	15.749	15.882	301798	2035568000	0
2015.03.08	15.941	15.977	15.272	15.617	231967	1639991000	0
2015.03.15	15.623	16.886	15.366	16.688	183628	716903700	0
2015.03.22	16.791	17.388	16.601	16.920	172591	832378038	0
2015.03.29	16.970	17.066	16.421	16.741	153803	407525854	0
2015.04.05	16.993	17.297	16.116	16.441	201824	735303677	0
2015.04.12	16.438	16.514	15.975	16.252	207731	995514509	0
2015.04.19	16.268	16.363	15.577	15.703	188755	1121347249	0
2015.04.26	15.715	16.722	15.702	16.141	259844	1421942068	0
2015.05.03	16.135	16.752	16.119	16.455	221173	464304270	0
2015.05.10	16.433	17.568	16.125	17.484	224935	437841881	0
2015.05.17	17.479	17.767	16.850	17.094	195607	602511681	0
2015.05.24	17.017	17.175	16.522	16.732	167560	1069880750	0
2015.05.31	16.677	17.172	15.934	16.097	229849	1631768170	0
2015.06.07	16.055	16.232	15.802	15.967	163986	937170149	0
2015.06.14	15.935	16.451	15.839	16.085	172318	791210126	0
2015.06.21	16.085	16.262	15.497	15.797	154730	829999375	0
2015.06.28	15.933	16.035	15.466	15.679	187597	877488756	0
2015.07.05	15.735	15.857	14.653	15.556	254080	869886865	0
2015.07.12	15.558	15.931	14.828	14.855	183263	870963261	0
2015.07.19	14.857	15.014	14.354	14.672	315240	1305355148	0
2015.07.26	14.710	14.994	14.516	14.767	242965	772735501	0
2015.08.02	14.767	15.016	14.362	14.799	230335	1461651528	0
2015.08.09	14.765	15.606	14.722	15.227	301413	1862147646	0
2015.08.16	15.241	15.661	14.704	15.297	249352	1720350248	0
2015.08.23	15.339	15.402	13.952	14.572	424132	3555406977	0
2015.08.30	14.585	14.957	14.395	14.558	254678	2000023919	0
2015.09.06	14.557	14.933	14.269	14.572	222304	1866981625	0
2015.09.13	14.585	15.422	14.263	15.148	213229	1683170305	0
2015.09.20	15.165	15.247	14.693	15.081	215737	1891657830	0
2015.09.27	15.066	15.301	14.374	15.224	257955	1951885630	0
2015.10.04	15.240	16.107	15.093	15.821	290073	2416496287	0
2015.10.11	15.760	16.187	15.607	16.052	282349	1959351059	0
2015.10.18	16.012	16.091	15.609	15.801	271767	1637907466	0
2015.10.25	15.807	16.345	15.470	15.539	261401	1625867170	0
2015.11.01	15.525	15.550	14.698	14.762	210459	1389324799	0
2015.11.08	14.744	14.788	14.156	14.245	201572	1781313554	0
2015.11.15	14.287	14.445	14.014	14.168	230513	2037557990	0
2015.11.22	14.153	14.375	13.888	14.085	197247	1404854850	0
2015.11.29	14.041	14.605	13.813	14.536	242157	1943193783	0
2015.12.06	14.564	14.628	13.746	13.910	242387	1939007840	0
2015.12.13	13.897	14.302	13.617	14.073	233175	1329968370	0
2015.12.20	14.097	14.386	14.026	14.365	171389	1241969917	0
2015.12.27	14.343	14.403	13.756	13.832	142731	1276133920	0
2016.01.03	13.800	14.363	13.790	13.923	312636	2811923050	0
2016.01.10	13.938	14.189	13.719	13.898	251749	2326319080	0
2016.01.17	13.864	14.328	13.826	14.017	232846	2278051605	0
2016.01.24	14.030	14.550	13.995	14.251	243989	2327785301	0
2016.01.31	14.228	15.034	14.175	14.968	287097	2770064150	0
2016.02.07	14.979	15.930	14.862	15.726	464912	3358630890	0
2016.02.14	15.650	15.690	15.108	15.335	341911	2313908150	0
