id	symbol	type	entry	sl	tp	lots	spread	tradeid	stamp	activated	openprice	swap	profit	closed	commision	strategy
1	AUDNZD	buy	1.08067	1.0783508170702465	1.0829891829297535	0.1	0	0	2023-11-15 15:15:02.292424 +00:00	2023.11.15 18:26:19	1.08157	0	0	""	0	VHMA
2	EURCHF	buy	0.96323	0.9615023822239656	0.9649576177760345	0.1	0	0	2023-11-15 15:30:03.803475 +00:00	2023.11.15 18:26:24	0.96314	0	0	""	0	SSL Hybrid
3	XAGUSD	buy	23.372	23.120959764126194	23.623040235873805	0.1	0	0	2023-11-15 15:30:08.463294 +00:00	2023.11.15 18:26:30	23.45	0	0	""	0	VHMA
4	GBPUSD	buy	1.24421	1.2397726148020425	1.2486473851979576	0.1	0	0	2023-11-15 16:00:05.657811 +00:00	2023.11.15 18:26:34	1.24518	0	0	""	0	SSL Hybrid
5	GBPUSD	buy	1.24421	1.2405402544538608	1.2478797455461392	0.1	0	0	2023-11-15 16:00:07.176060 +00:00	2023.11.15 18:26:40	1.24513	0	0	""	0	VHMA
6	GBPUSD	buy	1.24421	1.239330652466654	1.249089347533346	0.1	0	0	2023-11-15 16:00:09.407986 +00:00	2023.11.15 18:26:45	1.24512	0	0	""	0	AI Volume Supertrend
7	EURUSD	buy	1.08654	1.0832414492393283	1.0898385507606718	0.1	0	0	2023-11-15 16:00:11.884361 +00:00	2023.11.15 18:26:50	1.08638	0	0	""	0	VHMA
8	EURUSD	buy	1.08654	1.0833631907353094	1.0897168092646907	0.1	0	0	2023-11-15 16:00:12.409424 +00:00	2023.11.15 18:26:56	1.08637	0	0	""	0	SSL Hybrid
9	EURUSD	buy	1.08654	1.0837473670194142	1.089332632980586	0.1	0	0	2023-11-15 16:00:16.877315 +00:00	2023.11.15 18:27:01	1.08632	0	0	""	0	AI Volume Supertrend
10	GBPUSD	buy	1.24486	1.241400523109556	1.2483194768904442	0.1	0	0	2023-11-15 16:15:02.378255 +00:00	2023.11.15 18:27:06	1.24512	0	0	""	0	Super AI Trend
11	EURCHF	buy	0.96325	0.9615932643723738	0.9649067356276263	0.1	0	0	2023-11-15 16:15:02.840231 +00:00	2023.11.15 18:27:11	0.96331	0	0	""	0	SSL Hybrid
16	XAGUSD	buy	23.477	23.288121609985662	23.66587839001434	0.1	0	0	2023-11-15 17:30:08.197012 +00:00	2023.11.15 19:30:12	23.486	-6.39	-93.18	2023.11.16 04:09	-0.05	SSL Hybrid
12	GBPUSD	buy	1.24297	1.2393001593707074	1.2466398406292925	0.1	0	0	2023-11-15 17:00:04.307848 +00:00	2023.11.15 19:00:04	1.24304	-0.55	-34.6	2023.11.16 04:32	-0.14	AI Volume Supertrend
22	USDCAD	buy	1.36752	1.364011875828864	1.3710281241711362	0.1	0	0	2023-11-15 18:15:07.980097 +00:00	2023.11.15 20:30:00	1.36738	0	24.77	2023.11.16 04:36	-0.14	SSL Hybrid
119	GBPUSD	buy	1.24064	1.2369704001349753	1.2443095998650247	0.1	0	0	2023-11-16 11:00:02.073707 +00:00	2023.11.16 13:15:00	1.2406	0	25.1	2023.11.16 15:53	-0.14	AI Volume Supertrend
14	XAGUSD	buy	23.4195	23.144534706437717	23.69446529356228	0.1	0	0	2023-11-15 17:00:12.209145 +00:00	2023.11.15 19:06:56	23.447	0	0	""	0	VHMA
17	EURUSD	buy	1.08524	1.0807425444759928	1.0897374555240071	0.1	0	0	2023-11-15 17:30:08.830530 +00:00	2023.11.15 19:30:17	1.08517	-1.94	23.54	2023.11.16 16:04	-0.14	SSL Hybrid
32	GBPUSD	buy	1.24184	1.238134396745374	1.2455456032546262	0.1	0	0	2023-11-15 20:00:11.472574 +00:00	2023.11.16 10:42:57	1.23871	0	-0.09	2023.11.16 14:19	-0.14	AI Volume Supertrend
34	GBPUSD	buy	1.24095	1.236298450483754	1.245601549516246	0.1	0	0	2023-11-15 21:00:04.639181 +00:00	2023.11.16 10:43:09	1.23877	0	-0.55	2023.11.16 14:19	-0.14	AI Volume Supertrend
28	XAGUSD	buy	23.465	23.27256365291994	23.65743634708006	0.1	0	0	2023-11-15 19:15:08.044786 +00:00	2023.11.16 10:42:34	23.572	0	39.15	2023.11.16 11:08	-0.05	SSL Hybrid
18	GBPUSD	buy	1.24227	1.2383672575144409	1.246172742485559	0.1	0	0	2023-11-15 18:00:02.176045 +00:00	2023.11.15 20:15:00	1.24172	-0.55	-30.92	2023.11.16 04:51	-0.14	AI Volume Supertrend
25	GBPUSD	buy	1.24161	1.2380507245783772	1.245169275421623	0.1	0	0	2023-11-15 19:00:11.312037 +00:00	2023.11.15 21:15:01	1.24174	-0.55	-34.34	2023.11.16 04:56	-0.14	AI Volume Supertrend
13	EURUSD	buy	1.08522	1.081680530465098	1.088759469534902	0.1	0	0	2023-11-15 17:00:11.559035 +00:00	2023.11.15 19:00:15	1.08522	-1.94	32.51	2023.11.16 17:06	-0.14	AI Volume Supertrend
